GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo
RotateLeft90, RotateLeft45, GetBattleInfo, GetBattleInfo, RotateRight90, RotateLeft45, RotateLeft45, RotateLeft45, RotateRight45, RotateRight90, RotateRight90, RotateLeft45, RotateLeft90, RotateLeft90, RotateRight90, RotateLeft45, RotateLeft90, RotateRight45, RotateLeft45, RotateLeft45, MoveForward, RotateRight90, MoveForward, RotateRight90, RotateRight90
RotateLeft45, MoveForward, RotateRight90, RotateRight90, GetBattleInfo, MoveForward, GetBattleInfo, MoveForward, MoveForward, RotateRight45, RotateRight45, MoveForward, RotateLeft45, Shoot (killed), RotateRight45, MoveForward, Shoot (killed), MoveForward, MoveForward (ignored), MoveForward, MoveForward, Shoot, MoveForward, RotateRight45, Shoot
MoveForward, RotateLeft45, RotateRight45, MoveForward, RotateLeft90, GetBattleInfo, MoveForward, GetBattleInfo, RotateLeft90, MoveForward, MoveForward, RotateLeft90, MoveForward, killed, MoveForward, MoveForward, killed, MoveForward, RotateRight90, MoveForward, RotateLeft45, RotateLeft45, MoveForward, MoveForward, MoveForward
MoveForward, MoveForward, MoveForward, RotateRight45, RotateLeft45, RotateRight90, MoveForward, RotateLeft90, GetBattleInfo, GetBattleInfo, MoveForward, MoveForward, RotateRight45, killed, MoveForward, RotateRight45, killed, RotateRight90, MoveForward (ignored), RotateRight45, MoveForward (ignored), MoveForward, MoveForward (ignored), RotateRight45, MoveForward
RotateRight90, RotateLeft45, RotateLeft45, Shoot, MoveForward, MoveForward, MoveForward, Shoot, RotateLeft90, RotateRight90, GetBattleInfo, GetBattleInfo, MoveForward, killed, MoveForward (killed), Shoot, killed, RotateRight45, MoveForward (ignored), Shoot, RotateRight90, RotateRight45, MoveForward (ignored), Shoot, RotateLeft90 (killed)
Shoot, Shoot, MoveForward, MoveForward, RotateRight90, MoveForward, RotateLeft90, RotateLeft90 (killed), MoveForward, RotateRight45, RotateRight90, MoveForward (ignored), GetBattleInfo, killed, killed, MoveForward, killed, Shoot, killed, RotateLeft45, MoveForward, MoveForward, MoveForward (ignored), MoveForward, killed
MoveForward, RotateLeft45, MoveForward, RotateLeft90, MoveForward, RotateLeft90, MoveForward, killed, RotateRight90, Shoot, RotateRight45, RotateRight45, MoveForward, killed, killed, GetBattleInfo, killed, RotateRight90, killed, MoveForward, RotateLeft45, RotateRight45, MoveForward (ignored), RotateLeft45, killed
RotateLeft90, RotateRight45, RotateRight45, RotateRight90, RotateLeft90, RotateLeft90, RotateRight90, killed, MoveForward (ignored), MoveForward, Shoot, Shoot, RotateLeft45, killed, killed, RotateLeft45, killed, GetBattleInfo, killed, RotateRight90, MoveForward, Shoot, RotateLeft90, MoveForward, killed
RotateRight90, GetBattleInfo, Shoot, GetBattleInfo, MoveForward, RotateRight90, MoveForward, killed, RotateLeft90, RotateLeft90, MoveForward (ignored), RotateLeft45, Shoot, killed, killed, GetBattleInfo, killed, RotateRight45, killed, GetBattleInfo, MoveForward, RotateLeft90, MoveForward, RotateRight90, killed
GetBattleInfo, RotateLeft90, RotateLeft90, RotateRight90, MoveForward, RotateRight90, RotateLeft90, killed, Shoot, RotateRight90, RotateLeft90, RotateRight45, GetBattleInfo, killed, killed, RotateRight90, killed, GetBattleInfo, killed, RotateLeft90, GetBattleInfo, RotateRight90, MoveForward, GetBattleInfo, killed
