GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo
RotateRight90, GetBattleInfo, RotateLeft90, MoveForward, RotateLeft90, RotateLeft90, RotateLeft90, RotateLeft45, RotateLeft45, RotateLeft45, RotateLeft90, RotateRight45, RotateLeft45, RotateLeft90, MoveForward, RotateLeft90, RotateRight45, RotateLeft45, RotateRight45, RotateLeft90, RotateLeft90, RotateRight45, MoveForward, RotateRight90, RotateRight45, MoveForward
MoveForward, RotateLeft90, GetBattleInfo, RotateRight45, Shoot (killed), Shoot (killed), RotateLeft90, MoveForward, RotateLeft90, MoveForward, RotateLeft45, MoveForward, RotateLeft90, RotateLeft90, RotateLeft90, RotateLeft45, MoveForward, RotateLeft90, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward (killed), RotateRight45, MoveForward (killed), RotateLeft45
GetBattleInfo, RotateLeft45, RotateLeft45, GetBattleInfo, killed, killed, MoveForward, GetBattleInfo, GetBattleInfo, MoveForward, MoveForward, GetBattleInfo, GetBattleInfo, MoveForward, GetBattleInfo, MoveForward, MoveForward, GetBattleInfo, GetBattleInfo, RotateRight45, GetBattleInfo, RotateRight90, killed, MoveForward, killed, GetBattleInfo
RotateRight90, Shoot, MoveForward (killed), RotateLeft90, killed, killed, GetBattleInfo, MoveForward (killed), MoveForward, RotateRight45, RotateRight45, RotateLeft45, RotateRight90, RotateRight45, Shoot, RotateRight90, RotateLeft45, Shoot, MoveForward, MoveForward, MoveForward, MoveForward, killed, RotateLeft90, killed, MoveForward
Shoot, MoveForward, killed, MoveForward, killed, killed, MoveForward, killed, MoveForward, GetBattleInfo, killed, RotateLeft90, MoveForward, killed, DoNothing, MoveForward (killed), Shoot, DoNothing, RotateRight45, MoveForward, RotateRight45 (killed), MoveForward, killed, MoveForward, killed, MoveForward
GetBattleInfo, MoveForward, killed, GetBattleInfo, killed, killed, MoveForward (killed), killed, GetBattleInfo (killed), RotateLeft90, killed, GetBattleInfo, GetBattleInfo, killed, GetBattleInfo, killed, MoveForward, GetBattleInfo, GetBattleInfo, RotateLeft90, killed, RotateLeft45, killed, MoveForward, killed, GetBattleInfo
RotateLeft90, RotateLeft45, killed, RotateRight45, killed, killed, killed, killed, killed, Shoot (killed), killed, Shoot (killed), RotateRight90, killed, RotateLeft90, killed, MoveForward, MoveForward, RotateRight90, Shoot, killed, MoveForward, killed, RotateRight45, killed, RotateLeft45
MoveForward, MoveForward, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, Shoot, killed, MoveForward, killed, RotateLeft90, MoveForward, Shoot, MoveForward, killed, MoveForward, killed, Shoot, killed, MoveForward
GetBattleInfo, RotateLeft90, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, GetBattleInfo, killed, GetBattleInfo, GetBattleInfo, GetBattleInfo, RotateLeft45, killed, RotateLeft45, killed, MoveForward, killed, GetBattleInfo
MoveForward, RotateLeft90, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight90, killed, MoveForward, killed, RotateLeft90, MoveForward, MoveForward, GetBattleInfo, killed, MoveForward, killed, MoveForward, killed, RotateLeft45
RotateLeft45, Shoot, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, RotateLeft90, killed, RotateLeft45, MoveForward, RotateRight45, MoveForward, killed, GetBattleInfo, killed, RotateLeft90, killed, MoveForward
GetBattleInfo, MoveForward, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo (killed), killed, GetBattleInfo, killed, Shoot, GetBattleInfo, GetBattleInfo, RotateLeft45, killed, MoveForward, killed, GetBattleInfo, killed, GetBattleInfo
MoveForward, RotateLeft90, killed, RotateRight45, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateLeft45, killed, RotateRight45, RotateRight90, MoveForward, MoveForward, killed, MoveForward, killed, RotateRight90, killed, RotateLeft45
RotateRight90, RotateLeft90, killed, Shoot, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward, killed, GetBattleInfo, MoveForward, RotateRight45, MoveForward, killed, RotateLeft90, killed, Shoot, killed, RotateLeft90
GetBattleInfo, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, MoveForward, GetBattleInfo, GetBattleInfo, GetBattleInfo, killed, MoveForward, killed, GetBattleInfo, killed, GetBattleInfo
MoveForward, killed, killed, RotateLeft45, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight90, killed, MoveForward, RotateRight90, Shoot, RotateLeft90, killed, GetBattleInfo, killed, RotateLeft90, killed, MoveForward
MoveForward, killed, killed, RotateLeft45, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, Shoot, killed, MoveForward, MoveForward, DoNothing, MoveForward (killed), killed, MoveForward, killed, killed, killed, RotateLeft45 (killed)
GetBattleInfo, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, RotateRight45, GetBattleInfo, GetBattleInfo, killed, killed, RotateLeft45, killed, killed, killed, killed
MoveForward, killed, killed, RotateLeft45, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateLeft90, killed, GetBattleInfo, RotateRight90, MoveForward, killed, killed, MoveForward, killed, killed, killed, killed
MoveForward, killed, killed, RotateLeft45, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward, killed, MoveForward, MoveForward, MoveForward, killed, killed, GetBattleInfo, killed, killed, killed, killed
GetBattleInfo, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, GetBattleInfo, GetBattleInfo, GetBattleInfo, killed, killed, Shoot, killed, killed, killed, killed
RotateLeft45, killed, killed, RotateLeft45, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward, MoveForward, RotateRight45, killed, killed, GetBattleInfo, killed, killed, killed, killed
Shoot, killed, killed, RotateLeft45, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, MoveForward, Shoot, killed, killed, RotateRight45, killed, killed, killed, killed
GetBattleInfo, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateLeft45, GetBattleInfo, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed
RotateLeft45, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, MoveForward, RotateLeft45, killed, killed, killed, killed, killed, killed, killed
RotateLeft45, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward, MoveForward, RotateLeft45, killed, killed, killed, killed, killed, killed, killed
GetBattleInfo, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward, GetBattleInfo, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed
RotateLeft45, killed, killed, RotateLeft45, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight45, RotateRight90, RotateLeft45, killed, killed, killed, killed, killed, killed, killed
RotateLeft45, killed, killed, RotateLeft45, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo (killed), Shoot, RotateLeft45, killed, killed, killed, killed, killed, killed, killed
