MoveForward, GetBattleInfo, GetBattleInfo, MoveForward, GetBattleInfo, MoveForward, GetBattleInfo, MoveForward, MoveForward, GetBattleInfo, GetBattleInfo, MoveForward, MoveForward, GetBattleInfo, MoveForward, GetBattleInfo, GetBattleInfo, MoveForward (ignored), MoveForward, GetBattleInfo, MoveForward, GetBattleInfo, MoveForward, GetBattleInfo, GetBattleInfo, MoveForward
MoveForward, RotateLeft90, GetBattleInfo, MoveForward, RotateLeft90, MoveForward (ignored), RotateRight90, MoveForward, MoveForward, RotateLeft45, RotateLeft90, MoveForward, MoveForward, RotateRight90, MoveForward (ignored), RotateLeft90, RotateRight45, MoveForward (ignored), MoveForward, RotateLeft90, MoveForward (ignored), MoveForward, MoveForward, RotateRight90, MoveForward, MoveForward
MoveForward, RotateLeft45, RotateLeft90, MoveForward (ignored), GetBattleInfo, MoveForward (ignored), MoveForward, MoveForward (ignored), MoveForward, MoveForward, RotateLeft45, MoveForward, MoveForward, RotateRight90, MoveForward (ignored), RotateLeft45, MoveForward, MoveForward (ignored), MoveForward, MoveForward, MoveForward (ignored), RotateRight45, MoveForward, RotateRight45, RotateRight45, MoveForward (ignored)
MoveForward (ignored), Shoot, RotateLeft45, MoveForward (ignored), RotateLeft45, MoveForward (ignored), GetBattleInfo, MoveForward (ignored), MoveForward, MoveForward, MoveForward, MoveForward (ignored), MoveForward (ignored), MoveForward, MoveForward (ignored), MoveForward, MoveForward, MoveForward (ignored), MoveForward, RotateRight45, MoveForward (ignored), MoveForward, MoveForward (killed), MoveForward, Shoot, MoveForward (ignored)
MoveForward (ignored), MoveForward, MoveForward, MoveForward (ignored), Shoot, MoveForward (ignored) (killed), RotateLeft45, MoveForward (ignored), MoveForward (ignored), GetBattleInfo, RotateRight45, MoveForward (ignored), MoveForward (ignored), RotateRight45, MoveForward (ignored), RotateRight45, RotateLeft45, MoveForward (ignored), MoveForward (ignored), MoveForward, MoveForward (ignored), MoveForward, killed, RotateLeft45, RotateRight45, MoveForward (ignored)
MoveForward (ignored), RotateLeft90, RotateRight45, MoveForward (ignored), RotateLeft90, killed, Shoot, MoveForward (ignored), MoveForward (ignored), RotateLeft90, GetBattleInfo, MoveForward (ignored), MoveForward (ignored), Shoot, MoveForward (ignored), MoveForward, Shoot, MoveForward (ignored), MoveForward (ignored), RotateLeft90, MoveForward (ignored), RotateLeft45, killed, Shoot, RotateLeft45, MoveForward (ignored)
killed, RotateRight90, Shoot, MoveForward (ignored), RotateRight90, killed, MoveForward, MoveForward (ignored), MoveForward (ignored), RotateLeft45, Shoot, MoveForward (ignored), MoveForward (ignored), GetBattleInfo, MoveForward (ignored), RotateRight45, RotateLeft45, killed, MoveForward (ignored), MoveForward, MoveForward (ignored), Shoot, killed, MoveForward, GetBattleInfo, MoveForward (ignored)
killed, GetBattleInfo, MoveForward, MoveForward (ignored), GetBattleInfo, killed, RotateLeft90, killed, MoveForward (ignored), Shoot, MoveForward, MoveForward (ignored), MoveForward (ignored), RotateRight90, killed, GetBattleInfo, RotateRight45, killed, MoveForward (ignored), RotateRight90, MoveForward (ignored), RotateLeft45, killed, MoveForward, MoveForward, MoveForward (ignored)
killed, RotateRight90, RotateRight45, MoveForward (ignored), RotateRight90, killed, RotateRight90, killed, MoveForward (ignored), RotateLeft45, RotateRight45, killed, MoveForward (ignored), RotateRight45, killed, MoveForward, GetBattleInfo, killed, MoveForward (ignored), Shoot, MoveForward (ignored), MoveForward (killed), killed, RotateLeft45 (killed), RotateLeft90, MoveForward (ignored)
killed, RotateRight45, RotateLeft45, MoveForward (ignored), MoveForward, killed, GetBattleInfo, killed, MoveForward (ignored), MoveForward, RotateLeft45, killed, MoveForward (ignored), MoveForward, killed, RotateLeft90, RotateRight90, killed, MoveForward (ignored), GetBattleInfo, MoveForward (ignored), killed, killed, killed, MoveForward, MoveForward (ignored)
killed, MoveForward, RotateRight45, MoveForward (ignored), RotateRight90, killed, RotateRight90, killed, MoveForward (ignored), RotateRight90, GetBattleInfo, killed, MoveForward (ignored), RotateLeft45, killed, Shoot, RotateRight90, killed, MoveForward (ignored), RotateLeft90, MoveForward (ignored) (killed), killed, killed, killed, RotateRight90, MoveForward (ignored)
killed, MoveForward, Shoot, MoveForward (ignored), MoveForward, killed, GetBattleInfo, killed, MoveForward (ignored), RotateLeft90, MoveForward, killed, MoveForward (ignored) (killed), MoveForward, killed, RotateLeft90, Shoot, killed, MoveForward (ignored), RotateLeft45, killed, killed, killed, killed, Shoot, MoveForward (ignored)
killed, RotateLeft45, GetBattleInfo, MoveForward (ignored), RotateLeft45, killed, RotateRight45, killed, MoveForward (ignored), RotateRight90, RotateLeft45, killed, killed, RotateRight45, killed, RotateRight90, RotateLeft90, killed, MoveForward (ignored), GetBattleInfo, killed, killed, killed, killed, GetBattleInfo, MoveForward (ignored)
killed, GetBattleInfo (killed), RotateLeft45, MoveForward (ignored), MoveForward (killed), killed, MoveForward, killed, MoveForward (ignored), Shoot, GetBattleInfo, killed, killed, MoveForward, killed, killed, RotateRight90, killed, MoveForward (ignored), RotateRight45, killed, killed, killed, killed, RotateLeft45, MoveForward (ignored)
killed, killed, GetBattleInfo, MoveForward (ignored), killed, killed, GetBattleInfo, killed, MoveForward (ignored), GetBattleInfo, MoveForward, killed, killed, RotateRight45, killed, killed, GetBattleInfo, killed, MoveForward (ignored), Shoot, killed, killed, killed, killed, RotateRight90, MoveForward (ignored) (killed)
killed, killed, MoveForward, MoveForward (ignored), killed, killed, RotateRight45, killed, MoveForward (ignored), RotateLeft90, RotateRight90, killed, killed, killed, killed, killed, RotateLeft90, killed, MoveForward (ignored), GetBattleInfo, killed, killed, killed, killed, GetBattleInfo, killed
killed, killed, GetBattleInfo, MoveForward (ignored), killed, killed, MoveForward, killed, MoveForward (ignored), RotateLeft90, MoveForward, killed, killed, killed, killed, killed, MoveForward, killed, MoveForward (ignored), RotateRight90, killed, killed, killed, killed, RotateLeft90, killed
killed, killed, MoveForward, MoveForward (ignored), killed, killed, GetBattleInfo, killed, MoveForward (ignored), RotateLeft45, RotateLeft90, killed, killed, killed, killed, killed, MoveForward, killed, MoveForward (ignored), MoveForward, killed, killed, killed, killed, MoveForward, killed
killed, killed, MoveForward, MoveForward (ignored), killed, killed, RotateLeft45, killed, MoveForward (ignored), GetBattleInfo, GetBattleInfo, killed, killed, killed, killed, killed, MoveForward, killed, MoveForward (ignored), RotateRight45, killed, killed, killed, killed, RotateRight45, killed
killed, killed, RotateLeft45, MoveForward (ignored), killed, killed, MoveForward, killed, MoveForward (ignored), MoveForward, GetBattleInfo, killed, killed, killed, killed, killed, GetBattleInfo, killed, MoveForward (ignored), MoveForward, killed, killed, killed, killed, MoveForward, killed
killed, killed, MoveForward, MoveForward (ignored), killed, killed, RotateRight45, killed, MoveForward (ignored), RotateRight45, GetBattleInfo, killed, killed, killed, killed, killed, MoveForward, killed, MoveForward (ignored), RotateRight90, killed, killed, killed, killed, MoveForward, killed
killed, killed, MoveForward, MoveForward (ignored), killed, killed, MoveForward, killed, MoveForward (ignored), Shoot, MoveForward, killed, killed, killed, killed, killed, GetBattleInfo, killed, MoveForward (ignored), GetBattleInfo, killed, killed, killed, killed, RotateLeft45, killed
killed, killed, RotateRight90, MoveForward (ignored), killed, killed, MoveForward, killed, killed, MoveForward, RotateLeft45, killed, killed, killed, killed, killed, RotateRight45, killed, MoveForward (ignored), MoveForward, killed, killed, killed, killed, GetBattleInfo, killed
killed, killed, GetBattleInfo, MoveForward (ignored), killed, killed, RotateLeft90, killed, killed, RotateLeft90, Shoot, killed, killed, killed, killed, killed, Shoot, killed, MoveForward (ignored) (killed), MoveForward, killed, killed, killed, killed, MoveForward, killed
