GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo
RotateRight90, RotateLeft45, RotateLeft90, GetBattleInfo, RotateLeft90, RotateLeft90, RotateLeft90, RotateLeft45, RotateRight90, MoveForward, MoveForward, RotateRight45, RotateRight90, RotateLeft90, RotateLeft90, RotateRight45, RotateLeft45, RotateLeft90, RotateRight45, RotateLeft45, RotateLeft90, RotateRight45, MoveForward, RotateRight45, RotateRight45, RotateLeft45
RotateRight45, Shoot, RotateLeft45, RotateRight45, Shoot, GetBattleInfo (killed), RotateLeft90, MoveForward, RotateRight90, RotateLeft45, RotateRight90, MoveForward, RotateRight90, RotateLeft90, MoveForward, RotateRight90, Shoot, RotateLeft45, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward (killed), RotateRight90, MoveForward (killed), MoveForward
MoveForward, GetBattleInfo, GetBattleInfo, MoveForward, GetBattleInfo, killed, GetBattleInfo, GetBattleInfo, MoveForward, GetBattleInfo, GetBattleInfo, MoveForward, MoveForward, GetBattleInfo, RotateRight45, GetBattleInfo, GetBattleInfo, MoveForward, MoveForward, GetBattleInfo, MoveForward, GetBattleInfo, killed, GetBattleInfo, killed, RotateLeft90
RotateRight45, MoveForward, RotateLeft45, MoveForward, RotateRight45, killed, MoveForward, MoveForward, GetBattleInfo, RotateLeft90, RotateRight45, RotateRight90, MoveForward, MoveForward (killed), MoveForward, MoveForward, GetBattleInfo, MoveForward (killed), RotateRight45, RotateLeft45, RotateRight45, MoveForward, killed, MoveForward, killed, MoveForward
Shoot, MoveForward, Shoot, RotateRight90, MoveForward, killed, MoveForward, RotateLeft90, MoveForward, killed, MoveForward, GetBattleInfo, MoveForward, killed, RotateLeft90, RotateRight45, RotateLeft90, killed, MoveForward (killed), MoveForward (killed), MoveForward, RotateLeft90, killed, RotateLeft45 (killed), killed, RotateRight45 (killed)
RotateLeft45, GetBattleInfo, GetBattleInfo (killed), MoveForward, GetBattleInfo, killed, GetBattleInfo, Shoot, RotateRight45, killed, GetBattleInfo, Shoot, GetBattleInfo, killed, Shoot, GetBattleInfo, RotateLeft90, killed, killed, killed, RotateLeft90, GetBattleInfo, killed, killed, killed, killed
MoveForward, GetBattleInfo, killed, MoveForward, RotateRight90, killed, MoveForward, RotateLeft90, Shoot, killed, MoveForward, MoveForward, Shoot (killed), killed, GetBattleInfo, Shoot (killed), killed, killed, killed, killed, Shoot, RotateRight45, killed, killed, killed, killed
RotateRight45, GetBattleInfo, killed, RotateLeft45, MoveForward, killed, RotateRight90, RotateRight90, MoveForward, killed, RotateLeft45, RotateLeft90, killed, killed, RotateRight45, killed, killed, killed, killed, killed, RotateLeft90, MoveForward, killed, killed, killed, killed
MoveForward (killed), Shoot, killed, Shoot, GetBattleInfo, killed, GetBattleInfo, GetBattleInfo (killed), RotateLeft45, killed, GetBattleInfo, RotateRight90, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, RotateRight90, GetBattleInfo, killed, killed, killed, killed
killed, GetBattleInfo, killed, RotateLeft45 (killed), MoveForward, killed, RotateRight45, killed, RotateRight45, killed, Shoot, GetBattleInfo, killed, killed, MoveForward, killed, killed, killed, killed, killed, GetBattleInfo, MoveForward, killed, killed, killed, killed
