MoveForward, GetBattleInfo, GetBattleInfo, MoveForward, GetBattleInfo, MoveForward, GetBattleInfo, MoveForward, MoveForward, GetBattleInfo, GetBattleInfo, MoveForward, MoveForward, GetBattleInfo, MoveForward, GetBattleInfo, GetBattleInfo, MoveForward (ignored), MoveForward, GetBattleInfo, MoveForward, GetBattleInfo, MoveForward, GetBattleInfo, GetBattleInfo, MoveForward
MoveForward, RotateLeft90, RotateLeft90, MoveForward, RotateRight45, MoveForward (ignored), RotateLeft90, MoveForward, MoveForward, RotateLeft90, RotateRight90, MoveForward, MoveForward, RotateLeft45, MoveForward (ignored), RotateLeft45, RotateRight90, MoveForward (ignored), MoveForward, RotateRight90, MoveForward (ignored), RotateRight45, MoveForward, RotateRight90, RotateRight90, MoveForward
MoveForward, GetBattleInfo, GetBattleInfo, MoveForward (ignored), MoveForward, MoveForward (ignored), MoveForward, MoveForward (ignored), MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward (ignored), MoveForward, RotateRight90, MoveForward (ignored), MoveForward, RotateRight45, MoveForward (ignored), MoveForward, MoveForward (killed), RotateRight90, MoveForward (killed), MoveForward (ignored)
MoveForward (ignored), RotateLeft45, RotateLeft45, MoveForward (ignored), GetBattleInfo, MoveForward (ignored), RotateRight45, MoveForward (ignored), MoveForward, MoveForward (killed), RotateRight45, MoveForward (ignored) (killed), MoveForward (ignored), MoveForward, MoveForward (ignored), RotateLeft45, MoveForward, MoveForward (ignored), MoveForward, MoveForward, MoveForward (ignored), RotateLeft90, killed, MoveForward, killed, MoveForward (ignored)
MoveForward (ignored), MoveForward, MoveForward, MoveForward (ignored), RotateLeft45, MoveForward (ignored), GetBattleInfo, MoveForward (ignored), MoveForward (ignored), killed, MoveForward, killed, MoveForward (ignored), RotateLeft45, MoveForward (ignored), MoveForward, RotateRight45, MoveForward (ignored), MoveForward (ignored), RotateLeft45, MoveForward (ignored), MoveForward, killed, MoveForward, killed, MoveForward (ignored)
MoveForward (ignored), RotateLeft45, RotateRight45, MoveForward (ignored), Shoot, MoveForward (ignored), RotateRight90, MoveForward (ignored), MoveForward (ignored), killed, RotateLeft45, killed, MoveForward (ignored), MoveForward (killed), MoveForward (ignored), RotateRight45, MoveForward, MoveForward (ignored), MoveForward (ignored), MoveForward (killed), MoveForward (ignored), MoveForward, killed, RotateLeft45, killed, MoveForward (ignored)
MoveForward (ignored), Shoot, MoveForward, MoveForward (ignored), DoNothing, MoveForward (ignored), MoveForward, MoveForward (ignored), MoveForward (ignored), killed, GetBattleInfo, killed, MoveForward (ignored), killed, MoveForward (ignored), MoveForward, MoveForward, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), RotateRight45, killed, MoveForward, killed, MoveForward (ignored)
MoveForward (ignored), DoNothing, RotateRight45, MoveForward (ignored), DoNothing, MoveForward (ignored), MoveForward, MoveForward (ignored), MoveForward (ignored), killed, MoveForward, killed, MoveForward (ignored), killed, MoveForward (ignored), MoveForward, MoveForward, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), MoveForward, killed, MoveForward, killed, MoveForward (ignored)
MoveForward (ignored), DoNothing, MoveForward, MoveForward (ignored), DoNothing, MoveForward (ignored), RotateLeft45, MoveForward (ignored), MoveForward (ignored), killed, RotateLeft45, killed, MoveForward (ignored), killed, MoveForward (ignored), MoveForward, RotateLeft90, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), RotateLeft45, killed, RotateRight45, killed, MoveForward (ignored)
MoveForward (ignored), DoNothing, RotateLeft45 (killed), MoveForward (ignored), DoNothing, MoveForward (ignored), Shoot, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (killed), killed, MoveForward (ignored), killed, MoveForward (ignored), GetBattleInfo, GetBattleInfo, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), Shoot, killed, Shoot, killed, MoveForward (ignored)
MoveForward (ignored), DoNothing, killed, MoveForward (ignored), Shoot, MoveForward (ignored), MoveForward, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, MoveForward, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), DoNothing, killed, DoNothing, killed, MoveForward (ignored)
MoveForward (ignored), Shoot, killed, MoveForward (ignored), DoNothing, MoveForward (ignored), MoveForward, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, MoveForward, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), DoNothing, killed, DoNothing, killed, MoveForward (ignored)
MoveForward (ignored), DoNothing, killed, MoveForward (ignored), DoNothing, MoveForward (ignored), RotateRight45, MoveForward (ignored), MoveForward (ignored), killed, killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, RotateLeft45, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), GetBattleInfo, killed, DoNothing, killed, MoveForward (ignored)
