RotateRight90, DoNothing, DoNothing, RotateRight90, DoNothing, RotateRight90, DoNothing, RotateRight90, RotateRight90, DoNothing, DoNothing, RotateRight90, RotateRight90, DoNothing, RotateRight90, DoNothing, DoNothing, RotateRight90, RotateRight90, DoNothing, RotateRight90, DoNothing, RotateRight90, DoNothing, DoNothing, RotateRight90
RotateLeft90, RotateRight45, RotateRight45, RotateLeft90, RotateRight45, RotateLeft90, RotateRight45, RotateLeft90, RotateLeft90, RotateRight45, RotateRight45, RotateLeft90, RotateLeft90, RotateRight45, RotateLeft90, RotateRight45, RotateRight45, RotateLeft90, RotateLeft90, RotateRight45, RotateLeft90, RotateRight45, RotateLeft90, RotateRight45, RotateRight45, RotateLeft90
Shoot, DoNothing, DoNothing, Shoot, DoNothing, Shoot, DoNothing, Shoot, Shoot, DoNothing, DoNothing, Shoot, Shoot, DoNothing, Shoot, DoNothing, DoNothing, Shoot, Shoot, DoNothing, Shoot, DoNothing, Shoot, DoNothing, DoNothing, Shoot
RotateRight90, RotateRight45, RotateRight45, RotateRight90, RotateRight45, RotateRight90, RotateRight45, RotateRight90, RotateRight90, RotateRight45, RotateRight45, RotateRight90, RotateRight90, RotateRight45, RotateRight90, RotateRight45, RotateRight45, RotateRight90, RotateRight90, RotateRight45, RotateRight90, RotateRight45, RotateRight90, RotateRight45, RotateRight45, RotateRight90
RotateLeft90, DoNothing, DoNothing, RotateLeft90, DoNothing, RotateLeft90, DoNothing, RotateLeft90, RotateLeft90, DoNothing, DoNothing, RotateLeft90, RotateLeft90, DoNothing, RotateLeft90, DoNothing, DoNothing, RotateLeft90, RotateLeft90, DoNothing, RotateLeft90, DoNothing, RotateLeft90, DoNothing, DoNothing, RotateLeft90
Shoot (ignored), RotateRight45, RotateRight45, Shoot (ignored), RotateRight45, Shoot (ignored), RotateRight45, Shoot (ignored), Shoot (ignored), RotateRight45, RotateRight45, Shoot (ignored), Shoot (ignored), RotateRight45, Shoot (ignored), RotateRight45, RotateRight45, Shoot (ignored), Shoot (ignored), RotateRight45, Shoot (ignored), RotateRight45, Shoot (ignored), RotateRight45, RotateRight45, Shoot (ignored)
RotateRight90, DoNothing, DoNothing, RotateRight90, DoNothing, RotateRight90, DoNothing, RotateRight90, RotateRight90, DoNothing, DoNothing, RotateRight90, RotateRight90, DoNothing, RotateRight90, DoNothing, DoNothing, RotateRight90, RotateRight90, DoNothing, RotateRight90, DoNothing, RotateRight90, DoNothing, DoNothing, RotateRight90
RotateLeft90, RotateRight45, RotateRight45, RotateLeft90, RotateRight45, RotateLeft90, RotateRight45, RotateLeft90, RotateLeft90, RotateRight45, RotateRight45, RotateLeft90, RotateLeft90, RotateRight45, RotateLeft90, RotateRight45, RotateRight45, RotateLeft90, RotateLeft90, RotateRight45, RotateLeft90, RotateRight45, RotateLeft90, RotateRight45, RotateRight45, RotateLeft90
Shoot, DoNothing, DoNothing, Shoot, DoNothing, Shoot, DoNothing, Shoot, Shoot, DoNothing, DoNothing, Shoot, Shoot, DoNothing, Shoot, DoNothing, DoNothing, Shoot, Shoot, DoNothing, Shoot, DoNothing, Shoot, DoNothing, DoNothing, Shoot
RotateRight90, RotateRight45, RotateRight45, RotateRight90, RotateRight45, RotateRight90, RotateRight45, RotateRight90, RotateRight90, RotateRight45, RotateRight45, RotateRight90, RotateRight90, RotateRight45, RotateRight90, RotateRight45, RotateRight45, RotateRight90, RotateRight90, RotateRight45, RotateRight90, RotateRight45, RotateRight90, RotateRight45, RotateRight45, RotateRight90
RotateLeft90, DoNothing, DoNothing, RotateLeft90, DoNothing, RotateLeft90, DoNothing, RotateLeft90, RotateLeft90, DoNothing, DoNothing, RotateLeft90, RotateLeft90, DoNothing, RotateLeft90, DoNothing, DoNothing, RotateLeft90, RotateLeft90, DoNothing, RotateLeft90, DoNothing, RotateLeft90, DoNothing, DoNothing, RotateLeft90
Shoot (ignored), RotateRight45, RotateRight45, Shoot (ignored), RotateRight45, Shoot (ignored), RotateRight45, Shoot (ignored), Shoot (ignored), RotateRight45, RotateRight45, Shoot (ignored), Shoot (ignored), RotateRight45, Shoot (ignored), RotateRight45, RotateRight45, Shoot (ignored), Shoot (ignored), RotateRight45, Shoot (ignored), RotateRight45, Shoot (ignored), RotateRight45, RotateRight45, Shoot (ignored)
RotateRight90, DoNothing, DoNothing, RotateRight90, DoNothing, RotateRight90, DoNothing, RotateRight90, RotateRight90, DoNothing, DoNothing, RotateRight90, RotateRight90, DoNothing, RotateRight90, DoNothing, DoNothing, RotateRight90, RotateRight90, DoNothing, RotateRight90, DoNothing, RotateRight90, DoNothing, DoNothing, RotateRight90
RotateLeft90, RotateRight45, RotateRight45, RotateLeft90, RotateRight45, RotateLeft90, RotateRight45, RotateLeft90, RotateLeft90, RotateRight45, RotateRight45, RotateLeft90, RotateLeft90, RotateRight45, RotateLeft90, RotateRight45, RotateRight45, RotateLeft90, RotateLeft90, RotateRight45, RotateLeft90, RotateRight45, RotateLeft90, RotateRight45, RotateRight45, RotateLeft90
Shoot, DoNothing, DoNothing, Shoot, DoNothing, Shoot, DoNothing, Shoot, Shoot, DoNothing, DoNothing, Shoot, Shoot, DoNothing, Shoot, DoNothing, DoNothing, Shoot, Shoot, DoNothing, Shoot, DoNothing, Shoot, DoNothing, DoNothing, Shoot
RotateRight90, RotateRight45, RotateRight45, RotateRight90, RotateRight45, RotateRight90, RotateRight45, RotateRight90, RotateRight90, RotateRight45, RotateRight45, RotateRight90, RotateRight90, RotateRight45, RotateRight90, RotateRight45, RotateRight45, RotateRight90, RotateRight90, RotateRight45, RotateRight90, RotateRight45, RotateRight90, RotateRight45, RotateRight45, RotateRight90
RotateLeft90, DoNothing, DoNothing, RotateLeft90, DoNothing, RotateLeft90, DoNothing, RotateLeft90, RotateLeft90, DoNothing, DoNothing, RotateLeft90, RotateLeft90, DoNothing, RotateLeft90, DoNothing, DoNothing, RotateLeft90, RotateLeft90, DoNothing, RotateLeft90, DoNothing, RotateLeft90, DoNothing, DoNothing, RotateLeft90
Shoot (ignored), RotateRight45, RotateRight45, Shoot (ignored), RotateRight45 (killed), Shoot (ignored), RotateRight45, Shoot (ignored), Shoot (ignored), RotateRight45, RotateRight45, Shoot (ignored), Shoot (ignored), RotateRight45, Shoot (ignored), RotateRight45, RotateRight45, Shoot (ignored), Shoot (ignored), RotateRight45, Shoot (ignored), RotateRight45, Shoot (ignored), RotateRight45, RotateRight45, Shoot (ignored)
RotateRight90, DoNothing, DoNothing, RotateRight90, killed, RotateRight90, DoNothing, RotateRight90, RotateRight90, DoNothing, DoNothing, RotateRight90, RotateRight90, DoNothing, RotateRight90, DoNothing, DoNothing, RotateRight90, RotateRight90, DoNothing, RotateRight90, DoNothing, RotateRight90, DoNothing, DoNothing, RotateRight90
RotateLeft90, RotateRight45, RotateRight45, RotateLeft90, killed, RotateLeft90, RotateRight45, RotateLeft90, RotateLeft90, RotateRight45, RotateRight45, RotateLeft90, RotateLeft90, RotateRight45, RotateLeft90, RotateRight45, RotateRight45, RotateLeft90, RotateLeft90, RotateRight45, RotateLeft90, RotateRight45, RotateLeft90, RotateRight45, RotateRight45, RotateLeft90
Shoot, DoNothing, DoNothing, Shoot, killed, Shoot, DoNothing, Shoot, Shoot, DoNothing, DoNothing, Shoot, Shoot, DoNothing, Shoot, DoNothing, DoNothing, Shoot, Shoot, DoNothing, Shoot, DoNothing, Shoot, DoNothing, DoNothing, Shoot
RotateRight90, RotateRight45, RotateRight45, RotateRight90, killed, RotateRight90, RotateRight45, RotateRight90, RotateRight90, RotateRight45, RotateRight45, RotateRight90, RotateRight90, RotateRight45, RotateRight90, RotateRight45, RotateRight45, RotateRight90, RotateRight90, RotateRight45, RotateRight90, RotateRight45, RotateRight90, RotateRight45, RotateRight45, RotateRight90
RotateLeft90, DoNothing, DoNothing, RotateLeft90, killed, RotateLeft90, DoNothing, RotateLeft90, RotateLeft90, DoNothing, DoNothing, RotateLeft90, RotateLeft90, DoNothing, RotateLeft90, DoNothing, DoNothing, RotateLeft90, RotateLeft90, DoNothing, RotateLeft90, DoNothing, RotateLeft90, DoNothing, DoNothing, RotateLeft90
Shoot (ignored), RotateRight45, RotateRight45, Shoot (ignored), killed, Shoot (ignored), RotateRight45, Shoot (ignored), Shoot (ignored), RotateRight45, RotateRight45, Shoot (ignored), Shoot (ignored), RotateRight45, Shoot (ignored), RotateRight45, RotateRight45, Shoot (ignored), Shoot (ignored), RotateRight45, Shoot (ignored), RotateRight45, Shoot (ignored), RotateRight45, RotateRight45, Shoot (ignored)
RotateRight90, DoNothing, DoNothing, RotateRight90, killed, RotateRight90, DoNothing, RotateRight90, RotateRight90, DoNothing, DoNothing, RotateRight90, RotateRight90, DoNothing, RotateRight90, DoNothing, DoNothing, RotateRight90, RotateRight90, DoNothing, RotateRight90, DoNothing, RotateRight90, DoNothing, DoNothing, RotateRight90
RotateLeft90, RotateRight45, RotateRight45, RotateLeft90, killed, RotateLeft90, RotateRight45, RotateLeft90, RotateLeft90, RotateRight45, RotateRight45, RotateLeft90, RotateLeft90, RotateRight45, RotateLeft90, RotateRight45, RotateRight45, RotateLeft90, RotateLeft90, RotateRight45, RotateLeft90, RotateRight45, RotateLeft90, RotateRight45, RotateRight45, RotateLeft90
Shoot, DoNothing, DoNothing, Shoot, killed, Shoot, DoNothing, Shoot, Shoot, DoNothing, DoNothing, Shoot, Shoot, DoNothing, Shoot, DoNothing, DoNothing, Shoot, Shoot, DoNothing, Shoot, DoNothing, Shoot, DoNothing, DoNothing, Shoot
RotateRight90, RotateRight45, RotateRight45, RotateRight90, killed, RotateRight90, RotateRight45, RotateRight90, RotateRight90, RotateRight45, RotateRight45, RotateRight90, RotateRight90, RotateRight45, RotateRight90, RotateRight45, RotateRight45, RotateRight90, RotateRight90, RotateRight45, RotateRight90, RotateRight45, RotateRight90, RotateRight45, RotateRight45, RotateRight90
RotateLeft90, DoNothing, DoNothing, RotateLeft90, killed, RotateLeft90, DoNothing, RotateLeft90, RotateLeft90, DoNothing, DoNothing, RotateLeft90, RotateLeft90, DoNothing, RotateLeft90, DoNothing, DoNothing, RotateLeft90, RotateLeft90, DoNothing, RotateLeft90, DoNothing, RotateLeft90, DoNothing, DoNothing, RotateLeft90
Shoot (ignored), RotateRight45, RotateRight45, Shoot (ignored), killed, Shoot (ignored), RotateRight45, Shoot (ignored), Shoot (ignored), RotateRight45, RotateRight45, Shoot (ignored), Shoot (ignored), RotateRight45, Shoot (ignored), RotateRight45, RotateRight45, Shoot (ignored), Shoot (ignored), RotateRight45, Shoot (ignored), RotateRight45, Shoot (ignored), RotateRight45, RotateRight45, Shoot (ignored)
RotateRight90, DoNothing, DoNothing, RotateRight90, killed, RotateRight90, DoNothing, RotateRight90, RotateRight90, DoNothing, DoNothing, RotateRight90, RotateRight90, DoNothing, RotateRight90, DoNothing, DoNothing, RotateRight90, RotateRight90, DoNothing, RotateRight90, DoNothing, RotateRight90, DoNothing, DoNothing, RotateRight90
RotateLeft90, RotateRight45, RotateRight45, RotateLeft90, killed, RotateLeft90, RotateRight45, RotateLeft90, RotateLeft90, RotateRight45, RotateRight45, RotateLeft90, RotateLeft90, RotateRight45, RotateLeft90, RotateRight45, RotateRight45, RotateLeft90, RotateLeft90, RotateRight45, RotateLeft90, RotateRight45, RotateLeft90, RotateRight45, RotateRight45, RotateLeft90
Shoot, DoNothing, DoNothing, Shoot, killed, Shoot, DoNothing, Shoot, Shoot, DoNothing, DoNothing, Shoot, Shoot, killed, Shoot, DoNothing, DoNothing, Shoot, Shoot, DoNothing, Shoot, DoNothing, Shoot, DoNothing, DoNothing, Shoot
RotateRight90, RotateRight45, RotateRight45, RotateRight90, killed, RotateRight90, RotateRight45, RotateRight90, RotateRight90, RotateRight45, RotateRight45, RotateRight90, RotateRight90, killed, RotateRight90, RotateRight45, RotateRight45, RotateRight90, RotateRight90, RotateRight45, RotateRight90, RotateRight45, RotateRight90, RotateRight45, RotateRight45, RotateRight90
RotateLeft90, DoNothing, DoNothing, RotateLeft90, killed, RotateLeft90, DoNothing, RotateLeft90, RotateLeft90, DoNothing, DoNothing, RotateLeft90, RotateLeft90, killed, RotateLeft90, DoNothing, DoNothing, RotateLeft90, RotateLeft90, DoNothing, RotateLeft90, DoNothing, RotateLeft90, DoNothing, DoNothing, RotateLeft90
Shoot (ignored), RotateRight45, RotateRight45, Shoot (ignored), killed, Shoot (ignored), RotateRight45, Shoot (ignored), Shoot (ignored), RotateRight45, RotateRight45, Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), RotateRight45, RotateRight45, Shoot (ignored), Shoot (ignored), RotateRight45, Shoot (ignored), RotateRight45, Shoot (ignored), RotateRight45, RotateRight45, Shoot (ignored)
RotateRight90, DoNothing, DoNothing, RotateRight90, killed, RotateRight90, DoNothing, RotateRight90, RotateRight90, DoNothing, DoNothing, RotateRight90, RotateRight90, killed, RotateRight90, DoNothing, DoNothing, RotateRight90, RotateRight90, DoNothing, RotateRight90, DoNothing, RotateRight90, DoNothing, DoNothing, RotateRight90
RotateLeft90, RotateRight45, RotateRight45, RotateLeft90, killed, RotateLeft90, RotateRight45, RotateLeft90, RotateLeft90, RotateRight45, RotateRight45, RotateLeft90, RotateLeft90, killed, RotateLeft90, RotateRight45, RotateRight45, RotateLeft90, RotateLeft90, RotateRight45, RotateLeft90, RotateRight45, RotateLeft90, RotateRight45, RotateRight45, RotateLeft90
Shoot, DoNothing, DoNothing, Shoot, killed, Shoot, DoNothing, Shoot, Shoot, DoNothing, DoNothing, Shoot, Shoot, killed, Shoot, DoNothing, DoNothing, Shoot, Shoot, DoNothing, Shoot, DoNothing, Shoot, DoNothing, DoNothing, Shoot
RotateRight90, RotateRight45, RotateRight45, RotateRight90, killed, RotateRight90, RotateRight45, RotateRight90, RotateRight90, RotateRight45, RotateRight45, RotateRight90, RotateRight90, killed, RotateRight90, RotateRight45, RotateRight45, RotateRight90, RotateRight90, RotateRight45, RotateRight90, RotateRight45, RotateRight90, RotateRight45, RotateRight45, RotateRight90
RotateLeft90, DoNothing, DoNothing, RotateLeft90, killed, RotateLeft90, DoNothing, RotateLeft90, RotateLeft90, DoNothing, DoNothing, RotateLeft90, RotateLeft90, killed, RotateLeft90, DoNothing, DoNothing, RotateLeft90, RotateLeft90, DoNothing, RotateLeft90, DoNothing, RotateLeft90, DoNothing, DoNothing, RotateLeft90
Shoot (ignored), RotateRight45, RotateRight45, Shoot (ignored), killed, Shoot (ignored), RotateRight45, Shoot (ignored), Shoot (ignored), RotateRight45, RotateRight45, Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), RotateRight45, RotateRight45, Shoot (ignored), Shoot (ignored), RotateRight45, Shoot (ignored), RotateRight45, Shoot (ignored), RotateRight45, RotateRight45, Shoot (ignored)
