Shoot, MoveForward, MoveForward, Shoot, MoveForward, Shoot, MoveForward, Shoot, Shoot, MoveForward, MoveForward, Shoot, Shoot, MoveForward, Shoot, MoveForward, MoveForward, Shoot, Shoot, MoveForward (ignored), Shoot, MoveForward, Shoot, MoveForward, MoveForward, Shoot
Shoot (ignored), MoveForward, MoveForward (ignored), Shoot (ignored), MoveForward, Shoot (ignored), MoveForward (killed), Shoot (ignored), Shoot (ignored), MoveForward (ignored), MoveForward (ignored), Shoot (ignored), Shoot (ignored), MoveForward, Shoot (ignored), MoveForward (ignored), MoveForward (ignored), Shoot (ignored), Shoot (ignored), MoveForward (ignored), Shoot (ignored), MoveForward, Shoot (ignored), MoveForward (ignored), MoveForward (ignored), Shoot (ignored)
Shoot (ignored), MoveForward, MoveForward (ignored), Shoot (ignored), MoveForward, Shoot (ignored), killed, Shoot (ignored), Shoot (ignored), MoveForward (ignored), MoveForward (ignored), Shoot (ignored), Shoot (ignored), MoveForward, Shoot (ignored), MoveForward (ignored), MoveForward (ignored), Shoot (ignored), Shoot (ignored), MoveForward (ignored), Shoot (ignored), MoveForward (ignored), Shoot (ignored), MoveForward (ignored), MoveForward (ignored), Shoot (ignored)
Shoot (ignored), MoveForward, MoveForward (ignored), Shoot (ignored), MoveForward (ignored), Shoot (ignored), killed, Shoot (ignored), Shoot (ignored), MoveForward (ignored), MoveForward (ignored), Shoot (ignored), Shoot (ignored), MoveForward, Shoot (ignored), MoveForward (ignored), MoveForward (ignored), Shoot (ignored), Shoot (ignored), MoveForward (ignored), Shoot (ignored), MoveForward (ignored), Shoot (ignored), MoveForward (ignored), MoveForward (ignored), Shoot (ignored)
Shoot (ignored), MoveForward (ignored), MoveForward (ignored), Shoot (ignored), MoveForward (ignored), Shoot (ignored), killed, Shoot (ignored), Shoot (ignored), MoveForward (ignored), MoveForward (ignored), Shoot (ignored), Shoot (ignored), MoveForward (ignored), Shoot (ignored), MoveForward (ignored), MoveForward (ignored), Shoot (ignored), Shoot (ignored), MoveForward (ignored), Shoot (ignored), MoveForward (ignored), Shoot (ignored), MoveForward (ignored), MoveForward (ignored), Shoot (ignored)
Shoot, MoveForward (ignored), MoveForward (ignored), Shoot, MoveForward (ignored), Shoot, killed, Shoot, Shoot, MoveForward (ignored), MoveForward (ignored), Shoot, Shoot, MoveForward (ignored), Shoot, MoveForward (ignored), MoveForward (ignored), Shoot, Shoot, MoveForward (ignored), Shoot, MoveForward (ignored), Shoot, MoveForward (ignored), MoveForward (ignored), Shoot
Shoot (ignored), MoveForward (ignored), MoveForward (ignored), Shoot (ignored), MoveForward (ignored), Shoot (ignored), killed, Shoot (ignored), Shoot (ignored), MoveForward (ignored), MoveForward (ignored), Shoot (ignored), Shoot (ignored), MoveForward (ignored), Shoot (ignored), MoveForward (ignored), MoveForward (ignored), Shoot (ignored), Shoot (ignored), MoveForward (ignored), Shoot (ignored), MoveForward (ignored), Shoot (ignored), MoveForward (ignored), MoveForward (ignored), Shoot (ignored)
Shoot (ignored), MoveForward (ignored), MoveForward (ignored), Shoot (ignored), MoveForward, Shoot (ignored), killed, Shoot (ignored), Shoot (ignored), MoveForward (ignored), MoveForward (ignored), Shoot (ignored), Shoot (ignored), MoveForward (ignored), Shoot (ignored), MoveForward (ignored), MoveForward (ignored), Shoot (ignored), Shoot (ignored), MoveForward (ignored), Shoot (ignored), MoveForward (ignored), Shoot (ignored), MoveForward (ignored), MoveForward (ignored), Shoot (ignored)
Shoot (ignored), MoveForward (ignored), MoveForward (ignored), Shoot (ignored), MoveForward, Shoot (ignored), killed, Shoot (ignored), Shoot (ignored), MoveForward (ignored), MoveForward (ignored), Shoot (ignored), Shoot (ignored), MoveForward (ignored), Shoot (ignored), MoveForward (ignored), MoveForward (ignored), Shoot (ignored), Shoot (ignored), MoveForward (ignored), Shoot (ignored), MoveForward (ignored), Shoot (ignored), MoveForward (ignored), MoveForward (ignored), Shoot (ignored)
Shoot (ignored), MoveForward (ignored), MoveForward (ignored), Shoot (ignored), MoveForward, Shoot (ignored), killed, Shoot (ignored), Shoot (ignored), MoveForward (ignored), MoveForward (ignored), Shoot (ignored), Shoot (ignored), MoveForward (ignored), Shoot (ignored), MoveForward (ignored), MoveForward (ignored), Shoot (ignored), Shoot (ignored), MoveForward (ignored), Shoot (ignored), MoveForward (ignored), Shoot (ignored), MoveForward (ignored), MoveForward (ignored), Shoot (ignored)
Shoot, MoveForward (ignored), MoveForward (ignored), Shoot (killed), MoveForward (killed), Shoot, killed, Shoot, Shoot, MoveForward (ignored), MoveForward (ignored), Shoot, Shoot, MoveForward (ignored), Shoot, MoveForward (ignored), MoveForward (ignored), Shoot, Shoot, MoveForward (ignored), Shoot, MoveForward (ignored), Shoot, MoveForward (ignored), MoveForward (ignored), Shoot
Shoot (ignored), MoveForward (ignored), MoveForward (ignored), killed, killed, Shoot (ignored), killed, Shoot (ignored), Shoot (ignored), MoveForward (ignored), MoveForward (ignored), Shoot (ignored), Shoot (ignored), MoveForward (ignored), Shoot (ignored), MoveForward (ignored), MoveForward (ignored), Shoot (ignored), Shoot (ignored), MoveForward (ignored), Shoot (ignored), MoveForward (ignored), Shoot (ignored), MoveForward (ignored), MoveForward (ignored), Shoot (ignored)
Shoot (ignored), MoveForward (ignored), MoveForward (ignored), killed, killed, Shoot (ignored), killed, Shoot (ignored), Shoot (ignored), MoveForward (ignored), MoveForward (ignored), Shoot (ignored), Shoot (ignored), MoveForward (ignored), Shoot (ignored), MoveForward (ignored), MoveForward (ignored), Shoot (ignored), Shoot (ignored), MoveForward (ignored), Shoot (ignored), MoveForward (ignored), Shoot (ignored), MoveForward (ignored), MoveForward (ignored), Shoot (ignored)
Shoot (ignored), MoveForward (ignored), MoveForward (ignored), killed, killed, Shoot (ignored), killed, Shoot (ignored), Shoot (ignored), MoveForward (ignored), MoveForward (ignored), Shoot (ignored), Shoot (ignored), MoveForward (ignored), Shoot (ignored), MoveForward (ignored), MoveForward (ignored), Shoot (ignored), Shoot (ignored), MoveForward (ignored), Shoot (ignored), MoveForward (ignored), Shoot (ignored), MoveForward (ignored), MoveForward (ignored), Shoot (ignored)
Shoot (ignored), MoveForward (ignored), MoveForward (ignored), killed, killed, Shoot (ignored), killed, Shoot (ignored), Shoot (ignored), MoveForward (ignored), MoveForward (ignored), Shoot (ignored), Shoot (ignored), MoveForward (ignored), Shoot (ignored), MoveForward (ignored), MoveForward (ignored), Shoot (ignored), Shoot (ignored), MoveForward (ignored), Shoot (ignored), MoveForward (ignored), Shoot (ignored), MoveForward (ignored), MoveForward (ignored), Shoot (ignored)
Shoot, MoveForward (ignored), MoveForward (ignored), killed, killed, Shoot, killed, Shoot, Shoot, MoveForward (ignored), MoveForward (ignored), Shoot, Shoot, MoveForward (ignored), Shoot, MoveForward (ignored), MoveForward (ignored), Shoot, Shoot, MoveForward (ignored), Shoot, MoveForward (ignored), Shoot, MoveForward (ignored), MoveForward (ignored), Shoot
Shoot (ignored), MoveForward (ignored), MoveForward (ignored), killed, killed, Shoot (ignored), killed, Shoot (ignored), Shoot (ignored), MoveForward (ignored), MoveForward (ignored), Shoot (ignored), Shoot (ignored), MoveForward (ignored), Shoot (ignored), MoveForward (ignored), MoveForward (ignored), Shoot (ignored), Shoot (ignored), MoveForward (ignored), Shoot (ignored), MoveForward (ignored), Shoot (ignored), MoveForward (ignored), MoveForward (ignored), Shoot (ignored)
Shoot (ignored), MoveForward (ignored), MoveForward (ignored), killed, killed, Shoot (ignored), killed, Shoot (ignored), Shoot (ignored), MoveForward (ignored), MoveForward (ignored), Shoot (ignored), Shoot (ignored), MoveForward (ignored), Shoot (ignored), MoveForward (ignored), MoveForward (ignored), Shoot (ignored), Shoot (ignored), MoveForward (ignored), Shoot (ignored), MoveForward (ignored), Shoot (ignored), MoveForward (ignored), MoveForward (ignored), Shoot (ignored)
Shoot (ignored), MoveForward (ignored), MoveForward (ignored), killed, killed, Shoot (ignored), killed, Shoot (ignored), Shoot (ignored), MoveForward (ignored), MoveForward (ignored), Shoot (ignored), Shoot (ignored), MoveForward (ignored), Shoot (ignored), MoveForward (ignored), MoveForward (ignored), Shoot (ignored), Shoot (ignored), MoveForward (ignored), Shoot (ignored), MoveForward (ignored), Shoot (ignored), MoveForward (ignored), MoveForward (ignored), Shoot (ignored)
Shoot (ignored), MoveForward (ignored), MoveForward (ignored), killed, killed, Shoot (ignored), killed, Shoot (ignored), Shoot (ignored), MoveForward (ignored), MoveForward (ignored), Shoot (ignored), Shoot (ignored), MoveForward, Shoot (ignored), MoveForward (ignored), MoveForward (ignored), Shoot (ignored), Shoot (ignored), MoveForward (ignored), Shoot (ignored), MoveForward (ignored), Shoot (ignored), MoveForward (ignored), MoveForward (ignored), Shoot (ignored)
Shoot, MoveForward (ignored), MoveForward (ignored), killed, killed, Shoot, killed, Shoot, Shoot, MoveForward (ignored), MoveForward (ignored), Shoot, Shoot, MoveForward, Shoot, MoveForward (ignored), MoveForward (ignored), Shoot, Shoot, MoveForward (ignored), Shoot, MoveForward (ignored), Shoot, MoveForward (ignored), MoveForward (ignored), Shoot
Shoot (ignored), MoveForward (ignored), MoveForward (ignored), killed, killed, Shoot (ignored), killed, Shoot (ignored), Shoot (ignored), MoveForward (ignored), MoveForward (ignored), Shoot (ignored), Shoot (ignored), MoveForward, Shoot (ignored), MoveForward (ignored), MoveForward (ignored), Shoot (ignored), Shoot (ignored), MoveForward (ignored), Shoot (ignored), MoveForward (ignored), Shoot (ignored), MoveForward (ignored), MoveForward (ignored), Shoot (ignored)
Shoot (ignored), MoveForward (ignored), MoveForward (ignored), killed, killed, Shoot (ignored), killed, Shoot (ignored), Shoot (ignored), MoveForward (ignored), MoveForward (ignored), Shoot (ignored), Shoot (ignored), MoveForward (killed), Shoot (ignored), MoveForward (ignored), MoveForward (ignored), Shoot (ignored), Shoot (ignored), MoveForward (ignored), Shoot (ignored), MoveForward (ignored), Shoot (ignored), MoveForward (ignored), MoveForward (ignored), Shoot (ignored)
Shoot (ignored), MoveForward (ignored), MoveForward (ignored), killed, killed, Shoot (ignored), killed, Shoot (ignored), Shoot (ignored), MoveForward (ignored), MoveForward (ignored), Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), MoveForward (ignored), MoveForward (ignored), Shoot (ignored), Shoot (ignored), MoveForward (ignored), Shoot (ignored), MoveForward (ignored), Shoot (ignored), MoveForward (ignored), MoveForward (ignored), Shoot (ignored)
Shoot (ignored), MoveForward (ignored), MoveForward (ignored), killed, killed, Shoot (ignored), killed, Shoot (ignored), Shoot (ignored), MoveForward (ignored), MoveForward (ignored), Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), MoveForward (ignored), MoveForward (ignored), Shoot (ignored), Shoot (ignored), MoveForward (ignored), Shoot (ignored), MoveForward (ignored), Shoot (ignored), MoveForward (ignored), MoveForward (ignored), Shoot (ignored)
Shoot, MoveForward (ignored), MoveForward (ignored), killed, killed, Shoot, killed, Shoot, Shoot, MoveForward (ignored), MoveForward (ignored), Shoot, Shoot, killed, Shoot, MoveForward (ignored), MoveForward (ignored), Shoot, Shoot, MoveForward (ignored), Shoot, MoveForward (ignored), Shoot, MoveForward (ignored), MoveForward (ignored), Shoot
Shoot (ignored), MoveForward (ignored), MoveForward (ignored), killed, killed, Shoot (ignored), killed, Shoot (ignored), Shoot (ignored), MoveForward (ignored), MoveForward (ignored), Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), MoveForward (ignored), MoveForward (ignored), Shoot (ignored), Shoot (ignored), MoveForward (ignored), Shoot (ignored), MoveForward (ignored), Shoot (ignored), MoveForward (ignored), MoveForward (ignored), Shoot (ignored)
Shoot (ignored), MoveForward (ignored), MoveForward (ignored), killed, killed, Shoot (ignored), killed, Shoot (ignored), Shoot (ignored), MoveForward (ignored), MoveForward (ignored), Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), MoveForward (ignored), MoveForward (ignored), Shoot (ignored), Shoot (ignored), MoveForward (ignored), Shoot (ignored), MoveForward (ignored), Shoot (ignored), MoveForward (ignored), MoveForward (ignored), Shoot (ignored)
Shoot (ignored), MoveForward (ignored), MoveForward (ignored), killed, killed, Shoot (ignored), killed, Shoot (ignored), Shoot (ignored), MoveForward (ignored), MoveForward (ignored), Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), MoveForward (ignored), MoveForward (ignored), Shoot (ignored), Shoot (ignored), MoveForward (ignored), Shoot (ignored), MoveForward (ignored), Shoot (ignored), MoveForward (ignored), MoveForward (ignored), Shoot (ignored)
Shoot (ignored), MoveForward (ignored), MoveForward (ignored), killed, killed, Shoot (ignored), killed, Shoot (ignored), Shoot (ignored), MoveForward (ignored), MoveForward (ignored), Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), MoveForward (ignored), MoveForward (ignored), Shoot (ignored), Shoot (ignored), MoveForward (ignored), Shoot (ignored), MoveForward (ignored), Shoot (ignored), MoveForward (ignored), MoveForward (ignored), Shoot (ignored)
Shoot, MoveForward (ignored), MoveForward (ignored), killed, killed, Shoot, killed, Shoot, Shoot, MoveForward (ignored), MoveForward (ignored), Shoot, Shoot, killed, Shoot, MoveForward (ignored), MoveForward (ignored), Shoot, Shoot, MoveForward (ignored), Shoot, MoveForward (ignored), Shoot, MoveForward, MoveForward (ignored), Shoot
Shoot (ignored), MoveForward (ignored), MoveForward (ignored), killed, killed, Shoot (ignored), killed, Shoot (ignored), Shoot (ignored), MoveForward (ignored), MoveForward (ignored), Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), MoveForward (ignored), MoveForward (ignored), Shoot (ignored), Shoot (ignored), MoveForward (ignored), Shoot (ignored), MoveForward (ignored), Shoot (ignored), MoveForward, MoveForward (ignored), Shoot (ignored)
Shoot (ignored), MoveForward (ignored), MoveForward (ignored), killed, killed, Shoot (ignored), killed, Shoot (ignored), Shoot (ignored), MoveForward (ignored), MoveForward (ignored), Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), MoveForward (ignored), MoveForward (ignored), Shoot (ignored), Shoot (ignored), MoveForward (ignored), Shoot (ignored), MoveForward (ignored), Shoot (ignored), MoveForward, MoveForward (ignored), Shoot (ignored)
Shoot (ignored), MoveForward (ignored), MoveForward (ignored), killed, killed, Shoot (ignored), killed, Shoot (ignored), Shoot (ignored), MoveForward (ignored), MoveForward (ignored), Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), MoveForward (ignored), MoveForward (ignored), Shoot (ignored), Shoot (ignored), MoveForward (ignored), Shoot (ignored), MoveForward (ignored), Shoot (ignored), MoveForward (killed), MoveForward (ignored), Shoot (ignored)
Shoot (ignored), MoveForward (ignored), MoveForward (ignored), killed, killed, Shoot (ignored), killed, Shoot (ignored), Shoot (ignored), MoveForward (ignored), MoveForward (ignored), Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), MoveForward (ignored), MoveForward (ignored), Shoot (ignored), Shoot (ignored), MoveForward (ignored), Shoot (ignored), MoveForward (ignored), Shoot (ignored), killed, MoveForward (ignored), Shoot (ignored)
Shoot, MoveForward (ignored), MoveForward (ignored), killed, killed, Shoot, killed, Shoot, Shoot, MoveForward (ignored), MoveForward (ignored), Shoot, Shoot, killed, Shoot, MoveForward (ignored), MoveForward (ignored), Shoot, Shoot, MoveForward (ignored), Shoot, MoveForward (ignored), Shoot, killed, MoveForward (ignored), Shoot
