MoveForward (ignored), DoNothing, DoNothing, MoveForward
MoveForward (ignored), RotateRight45, RotateRight45, MoveForward
MoveForward (ignored), DoNothing, DoNothing, MoveForward
MoveForward (ignored), RotateRight45, RotateRight45, MoveForward (killed)
MoveForward (ignored), DoNothing, DoNothing, killed
MoveForward (ignored), RotateRight45, RotateRight45, killed
MoveForward (ignored), DoNothing, DoNothing, killed
MoveForward (ignored), RotateRight45, RotateRight45, killed
MoveForward (ignored), DoNothing, DoNothing, killed
MoveForward (ignored), RotateRight45, RotateRight45, killed
MoveForward (ignored), DoNothing, DoNothing, killed
MoveForward (ignored), RotateRight45, RotateRight45, killed
MoveForward (ignored), DoNothing, DoNothing, killed
MoveForward (ignored), RotateRight45, RotateRight45, killed
MoveForward (ignored), DoNothing, DoNothing, killed
MoveForward (ignored), RotateRight45, RotateRight45, killed
MoveForward (ignored), DoNothing, DoNothing, killed
MoveForward (ignored), RotateRight45, RotateRight45, killed
MoveForward (ignored), DoNothing, DoNothing, killed
MoveForward (ignored), RotateRight45, RotateRight45, killed
MoveForward (ignored), DoNothing, DoNothing, killed
MoveForward (ignored), RotateRight45, RotateRight45, killed
MoveForward (ignored), DoNothing, DoNothing, killed
MoveForward (ignored), RotateRight45, RotateRight45, killed
MoveForward (ignored), DoNothing, DoNothing, killed
MoveForward (ignored), RotateRight45, RotateRight45, killed
MoveForward (ignored), DoNothing, DoNothing, killed
MoveForward (ignored), RotateRight45, RotateRight45, killed
MoveForward (ignored), DoNothing, DoNothing, killed
MoveForward (ignored), RotateRight45, RotateRight45, killed
MoveForward (ignored), DoNothing, DoNothing, killed
MoveForward (ignored), RotateRight45, RotateRight45, killed
MoveForward (ignored), DoNothing, DoNothing, killed
MoveForward (ignored), RotateRight45, RotateRight45, killed
MoveForward (ignored), DoNothing, DoNothing, killed
MoveForward (ignored), RotateRight45, RotateRight45, killed
MoveForward (ignored), DoNothing, DoNothing, killed
MoveForward (ignored), RotateRight45, RotateRight45, killed
MoveForward (ignored), DoNothing, DoNothing, killed
MoveForward (ignored), RotateRight45, RotateRight45, killed
MoveForward (ignored), DoNothing, DoNothing, killed
MoveForward (ignored), RotateRight45, RotateRight45, killed
MoveForward (ignored), DoNothing, DoNothing, killed
MoveForward (ignored), RotateRight45, RotateRight45, killed
MoveForward (ignored), DoNothing, DoNothing, killed
MoveForward (ignored), RotateRight45, RotateRight45, killed
MoveForward (ignored), DoNothing, DoNothing, killed
MoveForward (ignored), RotateRight45, RotateRight45, killed
MoveForward (ignored), DoNothing, DoNothing, killed
MoveForward (ignored), RotateRight45, RotateRight45, killed
MoveForward (ignored), DoNothing, DoNothing, killed
MoveForward (ignored), RotateRight45, RotateRight45, killed
MoveForward (ignored), DoNothing, DoNothing, killed
MoveForward (ignored), RotateRight45, RotateRight45, killed
MoveForward (ignored), DoNothing, DoNothing, killed
MoveForward (ignored), RotateRight45, RotateRight45, killed
MoveForward (ignored), DoNothing, DoNothing, killed
MoveForward (ignored), RotateRight45, RotateRight45, killed
MoveForward (ignored), DoNothing, DoNothing, killed
MoveForward (ignored), RotateRight45, RotateRight45, killed
MoveForward (ignored), DoNothing, DoNothing, killed
MoveForward (ignored), RotateRight45, RotateRight45, killed
MoveForward (ignored), DoNothing, DoNothing, killed
MoveForward (ignored), RotateRight45, RotateRight45, killed
MoveForward (ignored), DoNothing, DoNothing, killed
MoveForward (ignored), RotateRight45, RotateRight45, killed
MoveForward (ignored), DoNothing, DoNothing, killed
MoveForward (ignored), RotateRight45, RotateRight45, killed
MoveForward (ignored), DoNothing, DoNothing, killed
MoveForward (ignored), RotateRight45, RotateRight45, killed
MoveForward (ignored), DoNothing, DoNothing, killed
MoveForward (ignored), RotateRight45, RotateRight45, killed
MoveForward (ignored), DoNothing, DoNothing, killed
MoveForward (ignored), RotateRight45, RotateRight45, killed
MoveForward (ignored), DoNothing, DoNothing, killed
MoveForward (ignored), RotateRight45, RotateRight45, killed
MoveForward (ignored), DoNothing, DoNothing, killed
MoveForward (ignored), RotateRight45, RotateRight45, killed
MoveForward (ignored), DoNothing, DoNothing, killed
MoveForward (ignored), RotateRight45, RotateRight45, killed
MoveForward (ignored), DoNothing, DoNothing, killed
MoveForward (ignored), RotateRight45, RotateRight45, killed
MoveForward (ignored), DoNothing, DoNothing, killed
MoveForward (ignored), RotateRight45, RotateRight45, killed
MoveForward (ignored), DoNothing, DoNothing, killed
MoveForward (ignored), RotateRight45, RotateRight45, killed
MoveForward (ignored), DoNothing, DoNothing, killed
