Shoot, DoNothing, Shoot, DoNothing, DoNothing, Shoot
Shoot (ignored), RotateRight45, Shoot (ignored), RotateRight45, RotateRight45, Shoot (ignored)
killed, DoNothing, Shoot (ignored), DoNothing, DoNothing, Shoot (ignored)
killed, RotateRight45, Shoot (ignored), RotateRight45, RotateRight45, Shoot (ignored)
killed, DoNothing, Shoot (ignored), DoNothing, DoNothing, Shoot (ignored)
killed, RotateRight45, Shoot, RotateRight45, RotateRight45, Shoot
killed, DoNothing, Shoot (ignored), DoNothing, DoNothing, Shoot (ignored)
killed, RotateRight45, Shoot (ignored), RotateRight45, RotateRight45, Shoot (ignored)
killed, DoNothing, Shoot (ignored), DoNothing, DoNothing, Shoot (ignored)
killed, RotateRight45, Shoot (ignored), RotateRight45, RotateRight45, Shoot (ignored)
killed, DoNothing, Shoot, DoNothing, DoNothing, Shoot
killed, RotateRight45, Shoot (ignored), RotateRight45, RotateRight45, Shoot (ignored)
killed, DoNothing, Shoot (ignored), DoNothing, DoNothing, Shoot (ignored)
killed, RotateRight45, Shoot (ignored), RotateRight45, RotateRight45, Shoot (ignored)
killed, DoNothing, Shoot (ignored), DoNothing, DoNothing, Shoot (ignored)
killed, RotateRight45, Shoot, RotateRight45, RotateRight45, Shoot
killed, DoNothing, Shoot (ignored), DoNothing, DoNothing, Shoot (ignored)
killed, RotateRight45, Shoot (ignored), RotateRight45, RotateRight45, Shoot (ignored)
killed, DoNothing, Shoot (ignored), DoNothing, DoNothing, Shoot (ignored)
killed, RotateRight45, Shoot (ignored), RotateRight45, RotateRight45, Shoot (ignored)
killed, DoNothing, Shoot, DoNothing, DoNothing, Shoot
killed, RotateRight45, Shoot (ignored), RotateRight45, RotateRight45, Shoot (ignored)
killed, DoNothing, Shoot (ignored), DoNothing, DoNothing, Shoot (ignored)
killed, RotateRight45, Shoot (ignored), RotateRight45, RotateRight45, Shoot (ignored)
killed, DoNothing, Shoot (ignored), DoNothing, DoNothing, Shoot (ignored)
killed, killed, Shoot, RotateRight45, RotateRight45, Shoot
killed, killed, Shoot (ignored), DoNothing, DoNothing, Shoot (ignored)
killed, killed, Shoot (ignored), RotateRight45, RotateRight45, Shoot (ignored)
killed, killed, Shoot (ignored), DoNothing, DoNothing, Shoot (ignored)
killed, killed, Shoot (ignored), RotateRight45, RotateRight45, Shoot (ignored)
killed, killed, Shoot, DoNothing, DoNothing, Shoot
killed, killed, Shoot (ignored), RotateRight45, RotateRight45, Shoot (ignored)
killed, killed, Shoot (ignored), DoNothing, DoNothing, Shoot (ignored)
killed, killed, Shoot (ignored), RotateRight45, RotateRight45, Shoot (ignored)
killed, killed, Shoot (ignored), DoNothing, DoNothing, Shoot (ignored)
killed, killed, Shoot, RotateRight45, RotateRight45, Shoot
killed, killed, Shoot (ignored), DoNothing, DoNothing, Shoot (ignored)
killed, killed, Shoot (ignored), RotateRight45, RotateRight45, Shoot (ignored)
killed, killed, Shoot (ignored), DoNothing, DoNothing, Shoot (ignored)
killed, killed, Shoot (ignored), RotateRight45, RotateRight45, Shoot (ignored)
killed, killed, Shoot, DoNothing, DoNothing, Shoot
killed, killed, Shoot (ignored), RotateRight45, RotateRight45, Shoot (ignored)
killed, killed, Shoot (ignored), DoNothing, DoNothing, Shoot (ignored)
killed, killed, Shoot (ignored), RotateRight45, RotateRight45, Shoot (ignored)
killed, killed, Shoot (ignored), DoNothing, DoNothing, Shoot (ignored)
killed, killed, Shoot, RotateRight45, RotateRight45, Shoot
killed, killed, Shoot (ignored), DoNothing, DoNothing, Shoot (ignored)
killed, killed, Shoot (ignored), RotateRight45, RotateRight45, Shoot (ignored)
killed, killed, Shoot (ignored), DoNothing, DoNothing, Shoot (ignored)
killed, killed, Shoot (ignored), RotateRight45, RotateRight45, Shoot (ignored)
Tie, reached max steps = 50, player 1 has 2 tanks, player 2 has 2 tanks
