Shoot, MoveForward, Shoot, MoveForward, MoveForward, Shoot
Shoot (ignored), MoveForward (killed), Shoot (ignored), MoveForward (killed), MoveForward, Shoot (ignored)
Shoot (ignored), killed, Shoot (ignored), killed, RotateRight90, Shoot (ignored)
Shoot (ignored), killed, Shoot (ignored), killed, MoveForward, Shoot (ignored)
Shoot (ignored), killed, Shoot (ignored), killed, MoveForward, Shoot (ignored)
Shoot, killed, Shoot, killed, RotateRight90, Shoot
Shoot (ignored), killed, Shoot (ignored), killed, MoveForward, Shoot (ignored)
Shoot (ignored), killed, Shoot (ignored), killed, MoveForward, Shoot (ignored)
Shoot (ignored), killed, Shoot (ignored), killed, RotateRight90, Shoot (ignored)
Shoot (ignored), killed, Shoot (ignored), killed, MoveForward, Shoot (ignored)
Shoot, killed, Shoot, killed, MoveForward, Shoot
killed, killed, killed, killed, RotateRight90, Shoot (ignored)
killed, killed, killed, killed, MoveForward, Shoot (ignored)
killed, killed, killed, killed, MoveForward, Shoot (ignored)
killed, killed, killed, killed, RotateRight90, Shoot (ignored)
killed, killed, killed, killed, MoveForward, Shoot
killed, killed, killed, killed, MoveForward, Shoot (ignored)
killed, killed, killed, killed, RotateRight90, Shoot (ignored)
killed, killed, killed, killed, MoveForward, Shoot (ignored)
killed, killed, killed, killed, MoveForward, Shoot (ignored)
killed, killed, killed, killed, RotateRight90, Shoot
killed, killed, killed, killed, MoveForward (killed), Shoot (ignored)
Player 1 won with 1 tanks still alive
