GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo
MoveForward, GetBattleInfo, MoveForward, Shoot, RotateLeft90, RotateRight90, RotateRight90, RotateRight90
RotateRight45, Shoot, RotateLeft45, GetBattleInfo, RotateLeft45, Shoot (killed), RotateRight45, Shoot
GetBattleInfo (killed), RotateRight45, killed, killed, GetBattleInfo, killed, Shoot, GetBattleInfo
killed, MoveForward, killed, killed, RotateLeft45, killed, GetBattleInfo, MoveForward
killed, GetBattleInfo, killed, killed, MoveForward, killed, RotateRight90, MoveForward
killed, RotateRight45, killed, killed, GetBattleInfo (killed), killed, MoveForward (killed), GetBattleInfo
killed, MoveForward, killed, killed, killed, killed, killed, RotateLeft45
killed, GetBattleInfo, killed, killed, killed, killed, killed, Shoot
killed, RotateLeft45, killed, killed, killed, killed, killed, GetBattleInfo
killed, GetBattleInfo, killed, killed, killed, killed, killed, MoveForward
killed, MoveForward, killed, killed, killed, killed, killed, RotateLeft45
killed, GetBattleInfo, killed, killed, killed, killed, killed, GetBattleInfo
killed, RotateLeft90, killed, killed, killed, killed, killed, RotateLeft90
killed, GetBattleInfo (killed), killed, killed, killed, killed, killed, Shoot
Player 1 won with 1 tanks still alive
