GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo
GetBattleInfo, Shoot, RotateRight45, GetBattleInfo, RotateRight90, RotateLeft90
RotateRight90, RotateLeft45, GetBattleInfo, Shoot, GetBattleInfo, MoveForward
killed, GetBattleInfo, MoveForward, RotateRight45, RotateRight90, RotateLeft45
killed, RotateLeft90, MoveForward, GetBattleInfo, Shoot, GetBattleInfo
killed, RotateLeft45, MoveForward, MoveForward, GetBattleInfo, MoveForward
killed, GetBattleInfo, GetBattleInfo, RotateRight45, RotateLeft90, MoveForward
killed, MoveForward, RotateLeft90, GetBattleInfo, RotateLeft90, RotateLeft90
killed, Shoot, Shoot, RotateRight90, GetBattleInfo, GetBattleInfo
killed, GetBattleInfo, DoNothing, RotateRight90, RotateLeft90, MoveForward
killed, RotateLeft45, GetBattleInfo, GetBattleInfo, Shoot, RotateLeft90 (killed)
killed, MoveForward, MoveForward, RotateRight90, GetBattleInfo, killed
killed, GetBattleInfo, RotateRight45, RotateRight90, RotateRight90, killed
killed, RotateRight90, MoveForward, GetBattleInfo, killed, killed
killed, RotateRight90, GetBattleInfo, GetBattleInfo, killed, killed
killed, GetBattleInfo, Shoot, GetBattleInfo, killed, killed
killed, GetBattleInfo, DoNothing, RotateRight90, killed, killed
killed, RotateRight90, GetBattleInfo, GetBattleInfo, killed, killed
killed, GetBattleInfo, DoNothing, RotateRight90, killed, killed
killed, Shoot, DoNothing, GetBattleInfo, killed, killed
killed, GetBattleInfo, GetBattleInfo, MoveForward (killed), killed, killed
Player 2 won with 1 tanks still alive
