MoveForward, Shoot, MoveForward, Shoot, Shoot, MoveForward
MoveForward, Shoot (ignored), MoveForward (killed), Shoot (ignored), Shoot (ignored), MoveForward
MoveForward (killed), Shoot (ignored), killed, Shoot (ignored), Shoot (ignored), MoveForward
killed, Shoot (ignored), killed, Shoot (ignored), Shoot (ignored), MoveForward
killed, Shoot (ignored), killed, Shoot (ignored), Shoot (ignored), MoveForward (ignored)
killed, Shoot, killed, Shoot, Shoot, MoveForward (ignored)
killed, Shoot (ignored), killed, Shoot (ignored), Shoot (ignored), MoveForward (ignored)
killed, Shoot (ignored), killed, Shoot (ignored), Shoot (ignored), MoveForward (ignored)
killed, Shoot (ignored), killed, Shoot (ignored), Shoot (ignored), MoveForward (ignored)
killed, Shoot (ignored), killed, Shoot (ignored), Shoot (ignored), MoveForward (ignored)
killed, Shoot, killed, Shoot, Shoot, MoveForward (ignored)
killed, Shoot (ignored), killed, killed, killed, MoveForward (ignored)
killed, Shoot (ignored), killed, killed, killed, MoveForward (ignored)
killed, Shoot (ignored), killed, killed, killed, MoveForward (ignored)
killed, Shoot (ignored), killed, killed, killed, MoveForward (ignored)
killed, Shoot, killed, killed, killed, MoveForward (ignored)
killed, Shoot (ignored), killed, killed, killed, MoveForward (ignored)
killed, Shoot (ignored), killed, killed, killed, MoveForward (ignored)
killed, Shoot (ignored), killed, killed, killed, MoveForward
killed, Shoot (ignored), killed, killed, killed, MoveForward
killed, Shoot, killed, killed, killed, MoveForward
killed, Shoot (ignored), killed, killed, killed, MoveForward (killed)
Player 2 won with 1 tanks still alive
