MoveForward, DoNothing, MoveForward, DoNothing, DoNothing, MoveForward
MoveForward, RotateRight45, MoveForward, RotateRight45, RotateRight45, MoveForward
MoveForward, DoNothing, MoveForward, DoNothing, DoNothing, MoveForward
MoveForward (killed), RotateRight45 (killed), MoveForward, RotateRight45, RotateRight45, MoveForward
killed, killed, MoveForward (killed), DoNothing (killed), DoNothing, MoveForward (ignored)
killed, killed, killed, killed, RotateRight45, MoveForward (ignored)
killed, killed, killed, killed, DoNothing, MoveForward (ignored)
killed, killed, killed, killed, RotateRight45, MoveForward (ignored)
killed, killed, killed, killed, DoNothing, MoveForward (ignored)
killed, killed, killed, killed, RotateRight45, MoveForward (ignored)
killed, killed, killed, killed, DoNothing, MoveForward (ignored)
killed, killed, killed, killed, RotateRight45, MoveForward (ignored)
killed, killed, killed, killed, DoNothing, MoveForward (ignored)
killed, killed, killed, killed, RotateRight45, MoveForward (ignored)
killed, killed, killed, killed, DoNothing, MoveForward (ignored)
killed, killed, killed, killed, RotateRight45, MoveForward (ignored)
killed, killed, killed, killed, DoNothing, MoveForward (ignored)
killed, killed, killed, killed, RotateRight45, MoveForward (ignored)
killed, killed, killed, killed, DoNothing, MoveForward (ignored)
killed, killed, killed, killed, RotateRight45, MoveForward (ignored)
killed, killed, killed, killed, DoNothing, MoveForward (ignored)
killed, killed, killed, killed, RotateRight45, MoveForward (ignored)
killed, killed, killed, killed, DoNothing, MoveForward (ignored)
killed, killed, killed, killed, RotateRight45, MoveForward (ignored)
killed, killed, killed, killed, DoNothing, MoveForward (ignored)
killed, killed, killed, killed, RotateRight45, MoveForward (ignored)
killed, killed, killed, killed, DoNothing, MoveForward (ignored)
killed, killed, killed, killed, RotateRight45, MoveForward (ignored)
killed, killed, killed, killed, DoNothing, MoveForward (ignored)
killed, killed, killed, killed, RotateRight45, MoveForward (ignored)
killed, killed, killed, killed, DoNothing, MoveForward (ignored)
killed, killed, killed, killed, RotateRight45, MoveForward (ignored)
killed, killed, killed, killed, DoNothing, MoveForward (ignored)
killed, killed, killed, killed, RotateRight45, MoveForward (ignored)
killed, killed, killed, killed, DoNothing, MoveForward (ignored)
killed, killed, killed, killed, RotateRight45, MoveForward (ignored)
killed, killed, killed, killed, DoNothing, MoveForward (ignored)
killed, killed, killed, killed, RotateRight45, MoveForward (ignored)
killed, killed, killed, killed, DoNothing, MoveForward (ignored)
killed, killed, killed, killed, RotateRight45, MoveForward (ignored)
killed, killed, killed, killed, DoNothing, MoveForward (ignored)
killed, killed, killed, killed, RotateRight45, MoveForward (ignored)
killed, killed, killed, killed, DoNothing, MoveForward (ignored)
killed, killed, killed, killed, RotateRight45, MoveForward (ignored)
killed, killed, killed, killed, DoNothing, MoveForward (ignored)
killed, killed, killed, killed, RotateRight45, MoveForward (ignored)
killed, killed, killed, killed, DoNothing, MoveForward (ignored)
killed, killed, killed, killed, RotateRight45, MoveForward (ignored)
killed, killed, killed, killed, DoNothing, MoveForward (ignored)
killed, killed, killed, killed, RotateRight45, MoveForward (ignored)
Tie, reached max steps = 50, player 1 has 1 tanks, player 2 has 1 tanks
