MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward
MoveForward (killed), MoveForward (killed), MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward
killed, killed, MoveForward (killed), MoveForward (killed), MoveForward, MoveForward, MoveForward, MoveForward
killed, killed, killed, killed, MoveForward (ignored), MoveForward, MoveForward (ignored), MoveForward
killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
killed, killed, killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored)
Tie, reached max steps = 50, player 1 has 2 tanks, player 2 has 2 tanks
