MoveForward, DoNothing, MoveForward, DoNothing, DoNothing, MoveForward, DoNothing, MoveForward
MoveForward, RotateRight45, MoveForward, RotateRight45, RotateRight45, MoveForward, RotateRight45, MoveForward
RotateRight90, DoNothing, RotateRight90, DoNothing, DoNothing, RotateRight90, DoNothing, RotateRight90
MoveForward, RotateRight45, MoveForward, RotateRight45, RotateRight45, MoveForward (killed), RotateRight45, MoveForward
MoveForward, DoNothing, MoveForward, DoNothing, DoNothing, killed, DoNothing, MoveForward
RotateRight90, RotateRight45, RotateRight90, RotateRight45, RotateRight45, killed, RotateRight45, RotateRight90
MoveForward, DoNothing, MoveForward, DoNothing, DoNothing, killed, DoNothing, MoveForward
MoveForward, RotateRight45, MoveForward, RotateRight45, RotateRight45, killed, RotateRight45, MoveForward
RotateRight90, DoNothing, RotateRight90, DoNothing, DoNothing, killed, DoNothing, RotateRight90
MoveForward, RotateRight45, MoveForward, RotateRight45, RotateRight45, killed, RotateRight45, MoveForward
MoveForward, DoNothing, MoveForward, DoNothing, DoNothing, killed, DoNothing, MoveForward
RotateRight90, RotateRight45, RotateRight90, RotateRight45, RotateRight45, killed, RotateRight45, RotateRight90
MoveForward, DoNothing, MoveForward, DoNothing, DoNothing, killed, DoNothing, MoveForward
MoveForward, RotateRight45, MoveForward, RotateRight45, RotateRight45, killed, RotateRight45, MoveForward
RotateRight90, DoNothing, RotateRight90, DoNothing, DoNothing, killed, DoNothing, RotateRight90
MoveForward, RotateRight45, MoveForward, RotateRight45, RotateRight45, killed, RotateRight45, MoveForward
MoveForward, DoNothing, MoveForward, DoNothing, DoNothing, killed, DoNothing, MoveForward
RotateRight90, RotateRight45, RotateRight90, RotateRight45, RotateRight45, killed, RotateRight45, RotateRight90
MoveForward, DoNothing, MoveForward, DoNothing, DoNothing, killed, DoNothing, MoveForward
MoveForward, RotateRight45, MoveForward, RotateRight45, RotateRight45, killed, RotateRight45, MoveForward
RotateRight90, DoNothing, RotateRight90, DoNothing, DoNothing, killed, DoNothing, RotateRight90
MoveForward, RotateRight45, MoveForward, RotateRight45, RotateRight45, killed, RotateRight45, MoveForward
MoveForward, DoNothing, MoveForward, DoNothing, DoNothing, killed, DoNothing, MoveForward
RotateRight90, RotateRight45, RotateRight90, RotateRight45, RotateRight45, killed, RotateRight45, RotateRight90
MoveForward, DoNothing, MoveForward, DoNothing, DoNothing, killed, DoNothing, MoveForward
MoveForward, RotateRight45, MoveForward, RotateRight45, RotateRight45, killed, RotateRight45, MoveForward
RotateRight90, DoNothing, RotateRight90, DoNothing, DoNothing, killed, DoNothing, RotateRight90
MoveForward, RotateRight45, MoveForward, RotateRight45, RotateRight45, killed, RotateRight45, MoveForward
MoveForward, DoNothing, MoveForward, DoNothing, DoNothing, killed, DoNothing, MoveForward
RotateRight90, RotateRight45, RotateRight90, RotateRight45, RotateRight45, killed, RotateRight45, RotateRight90
MoveForward, DoNothing, MoveForward, DoNothing, DoNothing, killed, DoNothing, MoveForward
MoveForward, RotateRight45, MoveForward, RotateRight45, RotateRight45, killed, RotateRight45, MoveForward
RotateRight90, DoNothing, RotateRight90, DoNothing, DoNothing, killed, DoNothing, RotateRight90
MoveForward, RotateRight45, MoveForward, RotateRight45, RotateRight45, killed, RotateRight45, MoveForward
MoveForward, DoNothing, MoveForward, DoNothing, DoNothing, killed, DoNothing, MoveForward
RotateRight90, RotateRight45, RotateRight90, RotateRight45, RotateRight45, killed, RotateRight45, RotateRight90
MoveForward, DoNothing, MoveForward, DoNothing, DoNothing, killed, DoNothing, MoveForward
MoveForward, RotateRight45, MoveForward, RotateRight45, RotateRight45, killed, RotateRight45, MoveForward
RotateRight90, DoNothing, RotateRight90, DoNothing, DoNothing, killed, DoNothing, RotateRight90
MoveForward, RotateRight45, MoveForward, RotateRight45, RotateRight45, killed, RotateRight45, MoveForward
MoveForward, DoNothing, MoveForward, DoNothing, DoNothing, killed, DoNothing, MoveForward
RotateRight90, RotateRight45, RotateRight90, RotateRight45, RotateRight45, killed, RotateRight45, RotateRight90
MoveForward, DoNothing, MoveForward, DoNothing, DoNothing, killed, DoNothing, MoveForward
MoveForward, RotateRight45, MoveForward, RotateRight45, RotateRight45, killed, RotateRight45, MoveForward
RotateRight90, DoNothing, RotateRight90, DoNothing, DoNothing, killed, DoNothing, RotateRight90
MoveForward, RotateRight45, MoveForward, RotateRight45, RotateRight45, killed, RotateRight45, MoveForward
MoveForward, DoNothing, MoveForward, DoNothing, DoNothing, killed, DoNothing, MoveForward
RotateRight90, RotateRight45, RotateRight90, RotateRight45, RotateRight45, killed, RotateRight45, RotateRight90
MoveForward, DoNothing, MoveForward, DoNothing, DoNothing, killed, DoNothing, MoveForward
MoveForward, RotateRight45, MoveForward, RotateRight45, RotateRight45, killed, RotateRight45, MoveForward
Tie, reached max steps = 50, player 1 has 3 tanks, player 2 has 4 tanks
