RotateRight90, Shoot, RotateRight90, Shoot, Shoot, RotateRight90
RotateLeft90, Shoot (ignored), RotateLeft90, Shoot (ignored), Shoot (ignored), RotateLeft90
killed, Shoot (ignored), Shoot (killed), Shoot (ignored), Shoot (ignored), Shoot
killed, Shoot (ignored), killed, Shoot (ignored), Shoot (ignored), RotateRight90
killed, Shoot (ignored), killed, Shoot (ignored) (killed), Shoot (ignored), RotateLeft90
killed, Shoot, killed, killed, Shoot, Shoot (ignored)
killed, Shoot (ignored), killed, killed, Shoot (ignored), RotateRight90
killed, Shoot (ignored), killed, killed, Shoot (ignored), RotateLeft90
killed, Shoot (ignored), killed, killed, Shoot (ignored), Shoot
killed, Shoot (ignored), killed, killed, Shoot (ignored), RotateRight90
killed, Shoot, killed, killed, Shoot, RotateLeft90
killed, killed, killed, killed, Shoot (ignored), Shoot (ignored)
killed, killed, killed, killed, Shoot (ignored), RotateRight90
killed, killed, killed, killed, Shoot (ignored), RotateLeft90
killed, killed, killed, killed, Shoot (ignored), Shoot
killed, killed, killed, killed, Shoot, RotateRight90
killed, killed, killed, killed, Shoot (ignored), RotateLeft90
killed, killed, killed, killed, Shoot (ignored), Shoot (ignored)
killed, killed, killed, killed, Shoot (ignored), RotateRight90
killed, killed, killed, killed, Shoot (ignored), RotateLeft90
Player 2 won with 1 tanks still alive
