RotateRight90, MoveForward, RotateRight90, MoveForward, MoveForward, RotateRight90, MoveForward, RotateRight90
RotateLeft90, MoveForward, RotateLeft90, MoveForward, MoveForward, RotateLeft90, MoveForward, RotateLeft90
Shoot, MoveForward (killed), Shoot, MoveForward, MoveForward, Shoot, MoveForward, Shoot
RotateRight90, killed, RotateRight90, killed, MoveForward (ignored), RotateRight90, MoveForward (ignored), RotateRight90
RotateLeft90, killed, RotateLeft90, killed, MoveForward (ignored), RotateLeft90, MoveForward (ignored), RotateLeft90
Shoot (ignored), killed, Shoot (ignored), killed, MoveForward (ignored), Shoot (ignored), MoveForward (ignored), Shoot (ignored)
RotateRight90, killed, RotateRight90, killed, MoveForward (ignored), RotateRight90, MoveForward (ignored), RotateRight90
RotateLeft90, killed, RotateLeft90, killed, MoveForward (ignored), RotateLeft90, MoveForward (ignored), RotateLeft90
Shoot, killed, Shoot, killed, MoveForward (ignored), Shoot, MoveForward (ignored), Shoot
RotateRight90, killed, RotateRight90, killed, MoveForward (ignored), RotateRight90, MoveForward (ignored), RotateRight90
RotateLeft90, killed, RotateLeft90, killed, MoveForward (ignored), RotateLeft90, MoveForward (ignored), RotateLeft90
Shoot (ignored), killed, Shoot (ignored), killed, MoveForward (ignored), Shoot (ignored), MoveForward (ignored), Shoot (ignored)
RotateRight90, killed, RotateRight90, killed, MoveForward (ignored), RotateRight90, MoveForward (ignored), RotateRight90
RotateLeft90, killed, RotateLeft90, killed, MoveForward (ignored), RotateLeft90, MoveForward (ignored), RotateLeft90
killed, killed, killed, killed, MoveForward (ignored), Shoot, MoveForward (ignored), Shoot
killed, killed, killed, killed, MoveForward (ignored), RotateRight90, MoveForward (ignored), RotateRight90
killed, killed, killed, killed, MoveForward (ignored), RotateLeft90, MoveForward (ignored), RotateLeft90
killed, killed, killed, killed, MoveForward (ignored), Shoot (ignored), MoveForward (ignored), Shoot (ignored)
killed, killed, killed, killed, MoveForward (ignored), RotateRight90, MoveForward (ignored), RotateRight90
killed, killed, killed, killed, MoveForward (ignored), RotateLeft90, MoveForward (ignored), RotateLeft90
killed, killed, killed, killed, MoveForward (ignored), Shoot, MoveForward (ignored), Shoot
killed, killed, killed, killed, MoveForward (ignored), RotateRight90, MoveForward (ignored), RotateRight90
killed, killed, killed, killed, MoveForward (ignored), RotateLeft90, MoveForward (ignored), RotateLeft90
killed, killed, killed, killed, MoveForward, Shoot (ignored), MoveForward, Shoot (ignored)
killed, killed, killed, killed, MoveForward, RotateRight90, MoveForward, RotateRight90
killed, killed, killed, killed, MoveForward, RotateLeft90, MoveForward, RotateLeft90
killed, killed, killed, killed, MoveForward, Shoot, MoveForward, Shoot
killed, killed, killed, killed, MoveForward (killed), RotateRight90, MoveForward (killed), RotateRight90
Player 1 won with 2 tanks still alive
