Shoot, GetBattleInfo, Shoot, GetBattleInfo, Shoot, GetBattleInfo, GetBattleInfo, GetBattleInfo, Shoot, Shoot, Shoot, GetBattleInfo, GetBattleInfo, Shoot, Shoot, Shoot, Shoot, Shoot, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo (killed)
Shoot (ignored), RotateRight90, Shoot (ignored), RotateRight90, Shoot (ignored), GetBattleInfo, RotateRight90, RotateRight90, Shoot (ignored), Shoot (ignored), Shoot (ignored), RotateLeft90, RotateLeft90, Shoot (ignored), Shoot (ignored), Shoot (ignored), Shoot (ignored), Shoot (ignored), RotateRight90, RotateLeft45, RotateLeft90, killed
Shoot (ignored), Shoot, Shoot (ignored), RotateRight45, Shoot (ignored), RotateLeft90, GetBattleInfo, RotateRight45, Shoot (ignored), Shoot (ignored), Shoot (ignored), Shoot, MoveForward (killed), Shoot (ignored), Shoot (ignored), Shoot (ignored) (killed), Shoot (ignored), Shoot (ignored), RotateRight45, Shoot, RotateLeft45, killed
Shoot (ignored), RotateLeft45, Shoot (ignored), MoveForward, Shoot (ignored), Shoot, MoveForward, GetBattleInfo, Shoot (ignored), Shoot (ignored), Shoot (ignored), MoveForward, killed, Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), Shoot (ignored), MoveForward, MoveForward, Shoot, killed
Shoot (ignored), MoveForward, Shoot (ignored), MoveForward, Shoot (ignored), MoveForward, RotateRight45, MoveForward, Shoot (ignored), Shoot (ignored), Shoot (ignored), GetBattleInfo, killed, Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), Shoot (ignored), Shoot (killed), RotateLeft90, MoveForward, killed
Shoot, RotateRight45, Shoot, RotateLeft90, Shoot, MoveForward (killed), MoveForward, RotateRight90, Shoot, Shoot, Shoot, RotateLeft90, killed, Shoot, Shoot, killed, Shoot, Shoot, killed, RotateRight90, RotateRight45, killed
Shoot (ignored), MoveForward, Shoot (ignored), RotateLeft45, Shoot (ignored), killed, MoveForward, MoveForward, Shoot (ignored), Shoot (ignored), Shoot (ignored), MoveForward, killed, Shoot (ignored), Shoot (ignored) (killed), killed, Shoot (ignored), Shoot (ignored), killed, GetBattleInfo, MoveForward, killed
Shoot (ignored), RotateRight45 (killed), Shoot (ignored), Shoot, Shoot (ignored), killed, RotateLeft45, MoveForward, Shoot (ignored), Shoot (ignored), Shoot (ignored), RotateRight45, killed, Shoot (ignored), killed, killed, Shoot (ignored), Shoot (ignored), killed, GetBattleInfo, RotateLeft90, killed
Shoot (ignored), killed, Shoot (ignored), RotateRight90, Shoot (ignored), killed, MoveForward, RotateRight90, Shoot (ignored), Shoot (ignored), Shoot (ignored), GetBattleInfo, killed, Shoot (ignored), killed, killed, Shoot (ignored), Shoot (ignored), killed, RotateRight90, GetBattleInfo, killed
Shoot (ignored), killed, Shoot (ignored), killed, Shoot (ignored), killed, killed, GetBattleInfo, Shoot (ignored), Shoot (ignored), Shoot (ignored), RotateRight90, killed, Shoot (ignored), killed, killed, Shoot (ignored), Shoot (ignored), killed, Shoot, killed, killed
Shoot, killed, Shoot, killed, Shoot, killed, killed, RotateRight45, Shoot, Shoot, Shoot, MoveForward, killed, Shoot, killed, killed, Shoot, Shoot, killed, MoveForward, killed, killed
Shoot (ignored), killed, Shoot (ignored), killed, Shoot (ignored), killed, killed, Shoot, Shoot (ignored), Shoot (ignored), Shoot (ignored), RotateRight90, killed, Shoot (ignored), killed, killed, Shoot (ignored), Shoot (ignored), killed, MoveForward (killed), killed, killed
Shoot (ignored), killed, Shoot (ignored), killed, Shoot (ignored) (killed), killed, killed, GetBattleInfo, Shoot (ignored), Shoot (ignored), Shoot (ignored) (killed), Shoot, killed, Shoot (ignored), killed, killed, Shoot (ignored), Shoot (ignored) (killed), killed, killed, killed, killed
Shoot (ignored), killed, Shoot (ignored), killed, killed, killed, killed, RotateRight45, Shoot (ignored), Shoot (ignored), killed, GetBattleInfo (killed), killed, Shoot (ignored), killed, killed, Shoot (ignored), killed, killed, killed, killed, killed
Shoot (ignored), killed, Shoot (ignored), killed, killed, killed, killed, GetBattleInfo, Shoot (ignored), Shoot (ignored), killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, killed
Shoot, killed, Shoot, killed, killed, killed, killed, GetBattleInfo, Shoot, Shoot, killed, killed, killed, Shoot, killed, killed, killed, killed, killed, killed, killed, killed
Shoot (ignored), killed, Shoot (ignored), killed, killed, killed, killed, RotateLeft90, Shoot (ignored), Shoot (ignored), killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, killed
Shoot (ignored), killed, Shoot (ignored), killed, killed, killed, killed, RotateLeft45, Shoot (ignored), Shoot (ignored), killed, killed, killed, Shoot (ignored) (killed), killed, killed, killed, killed, killed, killed, killed, killed
Shoot (ignored), killed, Shoot (ignored), killed, killed, killed, killed, GetBattleInfo, Shoot (ignored), Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
Shoot (ignored), killed, Shoot (ignored), killed, killed, killed, killed, RotateRight45, Shoot (ignored), Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
Shoot, killed, Shoot, killed, killed, killed, killed, MoveForward, Shoot, Shoot, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
Shoot (ignored), killed, Shoot (ignored), killed, killed, killed, killed, GetBattleInfo, Shoot (ignored), Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
Shoot (ignored) (killed), killed, Shoot (ignored), killed, killed, killed, killed, MoveForward, Shoot (ignored), Shoot (ignored) (killed), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, killed, Shoot (ignored), killed, killed, killed, killed, MoveForward, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, killed, Shoot (ignored), killed, killed, killed, killed, GetBattleInfo, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, killed, Shoot, killed, killed, killed, killed, MoveForward, Shoot, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, killed, Shoot (ignored), killed, killed, killed, killed, MoveForward (killed), Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
Player 1 won with 2 tanks still alive
