Shoot, GetBattleInfo, GetBattleInfo, Shoot, GetBattleInfo, Shoot, Shoot, GetBattleInfo, GetBattleInfo, Shoot, Shoot, GetBattleInfo, GetBattleInfo, Shoot, Shoot, GetBattleInfo, GetBattleInfo, Shoot, Shoot, GetBattleInfo, GetBattleInfo, Shoot
Shoot (ignored), Shoot, GetBattleInfo, Shoot (ignored), Shoot, Shoot (ignored), Shoot (ignored), Shoot, Shoot, Shoot (ignored), Shoot (ignored), Shoot (killed), Shoot, Shoot (ignored), Shoot (ignored), Shoot, Shoot, Shoot (ignored), Shoot (ignored), Shoot, Shoot, Shoot (ignored)
Shoot (ignored), RotateLeft90, RotateLeft45, Shoot (ignored), GetBattleInfo, Shoot (ignored), Shoot (ignored), RotateLeft90, RotateRight90, Shoot (ignored), Shoot (ignored) (killed), killed, RotateLeft90, Shoot (ignored), Shoot (ignored), RotateLeft90, RotateRight90, Shoot (ignored), Shoot (ignored), RotateLeft45, RotateLeft90, Shoot (ignored)
Shoot (ignored), MoveForward, MoveForward, Shoot (ignored), MoveForward, Shoot (ignored), Shoot (ignored), GetBattleInfo, RotateRight45, Shoot (ignored), killed, killed, MoveForward, Shoot (ignored), Shoot (ignored), MoveForward, RotateRight45, Shoot (ignored), Shoot (ignored), MoveForward, RotateLeft45, Shoot (ignored)
Shoot (ignored), RotateRight45, MoveForward (killed), Shoot (ignored), MoveForward, Shoot (ignored), Shoot (ignored), MoveForward, GetBattleInfo, Shoot (ignored), killed, killed, RotateLeft90, Shoot (ignored), Shoot (ignored), RotateLeft90, MoveForward, Shoot (ignored), Shoot (ignored), RotateLeft45, MoveForward, Shoot (ignored)
Shoot, MoveForward, killed, Shoot, RotateLeft90, Shoot, Shoot, MoveForward, RotateRight90, Shoot, killed, killed, RotateRight90, Shoot, Shoot, MoveForward, RotateLeft90, Shoot, Shoot, MoveForward (killed), RotateLeft90, Shoot
Shoot (ignored), RotateRight90, killed, Shoot (ignored), MoveForward, Shoot (ignored), Shoot (ignored), MoveForward, RotateRight90, Shoot (ignored), killed, killed, GetBattleInfo, Shoot (ignored), Shoot (ignored), RotateRight45, RotateRight90, Shoot (ignored), Shoot (ignored), killed, RotateRight90, Shoot (ignored)
Shoot (ignored), Shoot, killed, Shoot (ignored), RotateRight90, Shoot (ignored), Shoot (ignored), RotateRight90, MoveForward, Shoot (ignored), killed, killed, Shoot, Shoot (ignored), Shoot (ignored), GetBattleInfo, Shoot, Shoot (ignored), Shoot (ignored) (killed), killed, Shoot, Shoot (ignored) (killed)
Shoot (ignored), RotateLeft90, killed, Shoot (ignored), Shoot, Shoot (ignored), Shoot (ignored), Shoot (killed), MoveForward, Shoot (ignored), killed, killed, GetBattleInfo, Shoot (ignored) (killed), Shoot (ignored), Shoot, GetBattleInfo, Shoot (ignored), killed, killed, GetBattleInfo, killed
Shoot (ignored), RotateRight90, killed, killed, RotateLeft45, Shoot (ignored), Shoot (ignored), killed, RotateRight45, Shoot (ignored), killed, killed, RotateLeft90, killed, Shoot (ignored), GetBattleInfo, RotateRight90, Shoot (ignored), killed, killed, GetBattleInfo, killed
Shoot, GetBattleInfo, killed, killed, MoveForward (killed), Shoot, Shoot, killed, Shoot, Shoot, killed, killed, RotateLeft45, killed, Shoot, GetBattleInfo, RotateRight90, Shoot, killed, killed, RotateLeft90, killed
Shoot (ignored), RotateLeft90, killed, killed, killed, Shoot (ignored), Shoot (ignored), killed, RotateLeft45, Shoot (ignored), killed, killed, MoveForward, killed, Shoot (ignored), RotateLeft90, MoveForward, Shoot (ignored), killed, killed, GetBattleInfo, killed
killed, GetBattleInfo, killed, killed, killed, Shoot (ignored), Shoot (ignored), killed, MoveForward, Shoot (ignored), killed, killed, MoveForward, killed, Shoot (ignored), MoveForward, MoveForward, Shoot (ignored), killed, killed, GetBattleInfo, killed
killed, GetBattleInfo, killed, killed, killed, Shoot (ignored), Shoot (ignored), killed, GetBattleInfo, Shoot (ignored), killed, killed, MoveForward, killed, Shoot (ignored), MoveForward, MoveForward, Shoot (ignored), killed, killed, RotateRight90, killed
killed, GetBattleInfo, killed, killed, killed, Shoot (ignored), Shoot (ignored), killed, GetBattleInfo, Shoot (ignored), killed, killed, GetBattleInfo (killed), killed, Shoot (ignored), GetBattleInfo, RotateRight45, Shoot (ignored), killed, killed, GetBattleInfo, killed
killed, GetBattleInfo, killed, killed, killed, Shoot, Shoot, killed, RotateRight90, Shoot, killed, killed, killed, killed, Shoot, GetBattleInfo, GetBattleInfo, Shoot, killed, killed, RotateRight90, killed
killed, RotateLeft45, killed, killed, killed, Shoot (ignored), Shoot (ignored), killed, GetBattleInfo, Shoot (ignored), killed, killed, killed, killed, Shoot (ignored), RotateRight90, killed, Shoot (ignored), killed, killed, GetBattleInfo, killed
killed, GetBattleInfo, killed, killed, killed, Shoot (ignored), Shoot (ignored) (killed), killed, Shoot, Shoot (ignored), killed, killed, killed, killed, Shoot (ignored), RotateRight45, killed, Shoot (ignored), killed, killed, GetBattleInfo, killed
killed, GetBattleInfo, killed, killed, killed, Shoot (ignored) (killed), killed, killed, RotateLeft90, Shoot (ignored) (killed), killed, killed, killed, killed, Shoot (ignored) (killed), GetBattleInfo, killed, Shoot (ignored), killed, killed, Shoot, killed
killed, MoveForward, killed, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, MoveForward, killed, Shoot (ignored), killed, killed, GetBattleInfo, killed
killed, MoveForward, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, Shoot, killed, killed, RotateRight90, killed
killed, MoveForward, killed, killed, killed, killed, killed, killed, RotateLeft90, killed, killed, killed, killed, killed, killed, RotateLeft45, killed, Shoot (ignored), killed, killed, RotateRight90, killed
killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, MoveForward, killed, Shoot (ignored), killed, killed, MoveForward, killed
killed, killed, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, MoveForward, killed, Shoot (ignored), killed, killed, GetBattleInfo, killed
killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, Shoot (ignored), killed, killed, GetBattleInfo, killed
killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, MoveForward, killed, Shoot, killed, killed, MoveForward, killed
