GetBattleInfo, DoNothing, DoNothing, GetBattleInfo, DoNothing, GetBattleInfo, GetBattleInfo, DoNothing, DoNothing, GetBattleInfo, GetBattleInfo, DoNothing, DoNothing, GetBattleInfo, GetBattleInfo, DoNothing, DoNothing, GetBattleInfo, GetBattleInfo, DoNothing, DoNothing, GetBattleInfo
RotateLeft90, RotateRight45, RotateRight45, RotateLeft45, RotateRight45, RotateRight90, MoveForward, RotateRight45, RotateRight45, RotateRight90, RotateLeft90, RotateRight45, RotateRight45, RotateLeft45, MoveForward, RotateRight45, RotateRight45, RotateLeft45, RotateRight45, RotateRight45, RotateRight45, MoveForward
Shoot, DoNothing, DoNothing, MoveForward, DoNothing, Shoot, MoveForward, DoNothing, DoNothing, Shoot, Shoot, DoNothing, DoNothing, RotateLeft90, MoveForward, DoNothing, DoNothing, Shoot, RotateRight90, DoNothing, DoNothing, MoveForward
GetBattleInfo, RotateRight45 (killed), RotateRight45, GetBattleInfo, RotateRight45 (killed), GetBattleInfo, GetBattleInfo, RotateRight45, RotateRight45, GetBattleInfo, GetBattleInfo, RotateRight45, killed, GetBattleInfo, GetBattleInfo, RotateRight45, RotateRight45, GetBattleInfo, GetBattleInfo, killed, RotateRight45, GetBattleInfo
DoNothing, killed, DoNothing, RotateRight45, killed, killed, RotateLeft45, DoNothing, DoNothing, DoNothing, RotateLeft45, DoNothing, killed, Shoot, RotateLeft45, DoNothing, DoNothing, RotateLeft90, Shoot, killed, DoNothing, RotateRight45
DoNothing, killed, RotateRight45, Shoot, killed, killed, Shoot, RotateRight45, RotateRight45, DoNothing, RotateLeft90, RotateRight45, killed, DoNothing, Shoot, killed, killed, MoveForward, DoNothing, killed, RotateRight45, RotateRight90
GetBattleInfo, killed, DoNothing, GetBattleInfo, killed, killed, GetBattleInfo, DoNothing, killed, GetBattleInfo, GetBattleInfo, DoNothing, killed, GetBattleInfo, GetBattleInfo, killed, killed, GetBattleInfo, GetBattleInfo, killed, DoNothing, GetBattleInfo
MoveForward, killed, RotateRight45, MoveForward, killed, killed, RotateRight90, RotateRight45, killed, MoveForward, MoveForward, RotateRight45, killed, MoveForward, RotateLeft45, killed, killed, RotateLeft90, killed, killed, RotateRight45, RotateRight45
RotateLeft45, killed, DoNothing, RotateRight90, killed, killed, MoveForward, DoNothing, killed, MoveForward, MoveForward, DoNothing, killed, RotateLeft90, MoveForward, killed, killed, Shoot, killed, killed, DoNothing, Shoot
GetBattleInfo, killed, RotateRight45, GetBattleInfo, killed, killed, GetBattleInfo, RotateRight45, killed, GetBattleInfo, GetBattleInfo, RotateRight45, killed, GetBattleInfo, GetBattleInfo, killed, killed, GetBattleInfo, killed, killed, RotateRight45, GetBattleInfo
RotateLeft90, killed, DoNothing, Shoot, killed, killed, RotateRight90, DoNothing, killed, RotateLeft90, RotateLeft45, DoNothing, killed, killed, RotateLeft45, killed, killed, DoNothing, killed, killed, DoNothing, DoNothing
Shoot, killed, RotateRight45, DoNothing, killed, killed, MoveForward, RotateRight45, killed, Shoot, MoveForward, RotateRight45, killed, killed, Shoot, killed, killed, DoNothing, killed, killed, RotateRight45, DoNothing
GetBattleInfo, killed, DoNothing, GetBattleInfo, killed, killed, GetBattleInfo, DoNothing, killed, GetBattleInfo, GetBattleInfo, DoNothing, killed, killed, GetBattleInfo, killed, killed, GetBattleInfo, killed, killed, killed, GetBattleInfo
RotateRight45, killed, RotateRight45, RotateLeft45, killed, killed, RotateRight90, RotateRight45, killed, DoNothing, MoveForward, RotateRight45, killed, killed, RotateRight90, killed, killed, Shoot, killed, killed, killed, RotateLeft45
DoNothing, killed, DoNothing, MoveForward, killed, killed, Shoot, DoNothing, killed, DoNothing, RotateLeft90, DoNothing, killed, killed, MoveForward, killed, killed, DoNothing, killed, killed, killed, RotateLeft90
GetBattleInfo, killed, RotateRight45, GetBattleInfo, killed, killed, GetBattleInfo, RotateRight45, killed, GetBattleInfo, GetBattleInfo, RotateRight45, killed, killed, GetBattleInfo, killed, killed, GetBattleInfo, killed, killed, killed, GetBattleInfo
Shoot, killed, DoNothing, RotateRight90, killed, killed, DoNothing, DoNothing, killed, Shoot, Shoot, DoNothing (killed), killed, killed, RotateRight90, killed, killed, DoNothing, killed, killed, killed, MoveForward
DoNothing, killed, RotateRight45, Shoot, killed, killed, DoNothing, RotateRight45, killed, DoNothing, DoNothing, killed, killed, killed, Shoot, killed, killed, DoNothing, killed, killed, killed, RotateRight90
GetBattleInfo, killed, DoNothing, GetBattleInfo, killed, killed, killed, DoNothing (killed), killed, GetBattleInfo, killed, killed, killed, killed, GetBattleInfo, killed, killed, GetBattleInfo, killed, killed, killed, GetBattleInfo
DoNothing, killed, RotateRight45, DoNothing, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed, killed, RotateRight90, killed, killed, RotateLeft90, killed, killed, killed, MoveForward
DoNothing, killed, DoNothing, DoNothing, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed, killed, MoveForward, killed, killed, DoNothing (killed), killed, killed, killed, RotateRight90
GetBattleInfo, killed, RotateRight45, GetBattleInfo, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, GetBattleInfo
Shoot, killed, DoNothing, Shoot, killed, killed, killed, killed, killed, RotateLeft45, killed, killed, killed, killed, RotateLeft90, killed, killed, killed, killed, killed, killed, RotateLeft90
DoNothing, killed, RotateRight45, DoNothing, killed, killed, killed, killed, killed, RotateLeft90, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, MoveForward
GetBattleInfo, killed, DoNothing, GetBattleInfo, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, GetBattleInfo
DoNothing, killed, RotateRight45, DoNothing, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed, killed, RotateLeft90, killed, killed, killed, killed, killed, killed, RotateRight90
DoNothing, killed, DoNothing, DoNothing, killed, killed, killed, killed, killed, RotateLeft90, killed, killed, killed, killed, Shoot, killed, killed, killed, killed, killed, killed, Shoot
GetBattleInfo, killed, RotateRight45 (killed), GetBattleInfo, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, GetBattleInfo
Player 1 won with 5 tanks still alive
