GetBattleInfo, MoveForward, GetBattleInfo, MoveForward, GetBattleInfo, MoveForward, MoveForward, MoveForward, GetBattleInfo, GetBattleInfo, GetBattleInfo, MoveForward, MoveForward, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, MoveForward, MoveForward, MoveForward, MoveForward
RotateRight90, MoveForward, GetBattleInfo, MoveForward, RotateRight90, MoveForward, MoveForward, MoveForward, RotateLeft45, RotateRight90, RotateLeft90, MoveForward, MoveForward, RotateLeft90, RotateLeft90, RotateLeft45, RotateLeft90, RotateRight90, MoveForward, MoveForward, MoveForward, MoveForward
Shoot, MoveForward (killed), MoveForward, MoveForward, GetBattleInfo, MoveForward, MoveForward, MoveForward, MoveForward (killed), Shoot, RotateLeft45, MoveForward, MoveForward, RotateLeft45, RotateLeft45, MoveForward, MoveForward, RotateRight45, MoveForward, MoveForward, MoveForward, MoveForward
RotateRight90, killed, RotateRight45, MoveForward, RotateLeft90, MoveForward, MoveForward, MoveForward, killed, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, Shoot, MoveForward, RotateRight45, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward
RotateRight45, killed, Shoot, MoveForward, RotateLeft45, MoveForward, MoveForward, MoveForward, killed, GetBattleInfo, RotateLeft90, MoveForward, MoveForward, RotateLeft90, MoveForward, RotateLeft90, Shoot, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward
MoveForward (killed), killed, MoveForward, MoveForward, Shoot, MoveForward, MoveForward, MoveForward, killed, RotateLeft90, GetBattleInfo, MoveForward, MoveForward, RotateLeft45, RotateLeft90, RotateLeft45, RotateLeft90, RotateRight45, MoveForward (killed), MoveForward, MoveForward, MoveForward
killed, killed, RotateLeft90, MoveForward, RotateLeft90, MoveForward, MoveForward, MoveForward, killed, RotateLeft45, RotateLeft45, MoveForward, MoveForward (killed), GetBattleInfo, RotateRight90, Shoot, RotateRight90, Shoot, killed, MoveForward, MoveForward, MoveForward
killed, killed, RotateRight90, MoveForward, RotateRight90, MoveForward, MoveForward, MoveForward, killed, MoveForward (killed), MoveForward, MoveForward, killed, Shoot, GetBattleInfo, RotateRight90, GetBattleInfo, RotateLeft90, killed, MoveForward, MoveForward (killed), MoveForward
killed, killed, GetBattleInfo, MoveForward, GetBattleInfo, MoveForward, MoveForward, MoveForward, killed, killed, MoveForward, MoveForward, killed, MoveForward, RotateLeft90, GetBattleInfo, MoveForward (killed), RotateRight90, killed, MoveForward, killed, MoveForward
killed, killed, RotateLeft90, MoveForward, GetBattleInfo, MoveForward, MoveForward, MoveForward, killed, killed, MoveForward (killed), MoveForward, killed, GetBattleInfo, RotateLeft45, RotateRight90, killed, GetBattleInfo, killed, MoveForward, killed, MoveForward
killed, killed, MoveForward (killed), MoveForward, RotateLeft90, MoveForward, MoveForward, MoveForward, killed, killed, killed, MoveForward, killed, RotateLeft45, GetBattleInfo, GetBattleInfo, killed, RotateLeft45 (killed), killed, MoveForward, killed, MoveForward (killed)
killed, killed, killed, MoveForward (killed), MoveForward, MoveForward, MoveForward, MoveForward, killed, killed, killed, MoveForward (killed), killed, MoveForward, MoveForward, GetBattleInfo, killed, killed, killed, MoveForward, killed, killed
killed, killed, killed, killed, MoveForward, MoveForward, MoveForward, MoveForward, killed, killed, killed, killed, killed, Shoot, RotateRight45, GetBattleInfo, killed, killed, killed, MoveForward, killed, killed
killed, killed, killed, killed, MoveForward, MoveForward, MoveForward, MoveForward, killed, killed, killed, killed, killed, RotateLeft90, MoveForward, GetBattleInfo, killed, killed, killed, MoveForward, killed, killed
killed, killed, killed, killed, GetBattleInfo, MoveForward, MoveForward, MoveForward, killed, killed, killed, killed, killed, RotateRight90, MoveForward, RotateRight90, killed, killed, killed, MoveForward, killed, killed
killed, killed, killed, killed, RotateRight90, MoveForward, MoveForward, MoveForward, killed, killed, killed, killed, killed, GetBattleInfo, GetBattleInfo, RotateRight45, killed, killed, killed, MoveForward, killed, killed
killed, killed, killed, killed, MoveForward (killed), MoveForward, MoveForward, MoveForward, killed, killed, killed, killed, killed, MoveForward, MoveForward, MoveForward, killed, killed, killed, MoveForward, killed, killed
killed, killed, killed, killed, killed, MoveForward, MoveForward, MoveForward, killed, killed, killed, killed, killed, Shoot, MoveForward, GetBattleInfo, killed, killed, killed, MoveForward, killed, killed
killed, killed, killed, killed, killed, MoveForward, MoveForward, MoveForward, killed, killed, killed, killed, killed, GetBattleInfo, MoveForward (ignored), GetBattleInfo, killed, killed, killed, MoveForward, killed, killed
killed, killed, killed, killed, killed, MoveForward, MoveForward, MoveForward, killed, killed, killed, killed, killed, GetBattleInfo, GetBattleInfo, MoveForward, killed, killed, killed, MoveForward, killed, killed
