GetBattleInfo, MoveForward, MoveForward, GetBattleInfo, MoveForward, GetBattleInfo, GetBattleInfo, MoveForward, MoveForward, GetBattleInfo, GetBattleInfo, MoveForward, MoveForward, GetBattleInfo, GetBattleInfo, MoveForward, MoveForward, GetBattleInfo, GetBattleInfo, MoveForward, MoveForward, GetBattleInfo
RotateLeft90, MoveForward, MoveForward, GetBattleInfo, MoveForward, Shoot, Shoot, MoveForward, MoveForward, Shoot, Shoot, MoveForward (killed), MoveForward, Shoot, Shoot, MoveForward, MoveForward, Shoot, Shoot, MoveForward, MoveForward, Shoot
Shoot, MoveForward, MoveForward, RotateLeft45, MoveForward, GetBattleInfo, RotateLeft45, MoveForward, MoveForward, RotateRight90, RotateLeft90, killed, MoveForward, RotateLeft90, RotateLeft45, MoveForward, MoveForward, RotateLeft45, RotateRight90, MoveForward, MoveForward, RotateLeft45
RotateLeft45, MoveForward, MoveForward, MoveForward, MoveForward, RotateLeft90, GetBattleInfo, MoveForward (killed), MoveForward, MoveForward, RotateLeft45, killed, MoveForward, RotateLeft45, MoveForward, MoveForward, MoveForward, MoveForward, RotateRight45, MoveForward, MoveForward, MoveForward
MoveForward, MoveForward, MoveForward, RotateRight45, MoveForward, RotateRight90, RotateLeft45, killed, MoveForward, GetBattleInfo, MoveForward, killed, MoveForward, MoveForward, MoveForward, MoveForward (killed), MoveForward, RotateLeft90, MoveForward, MoveForward, MoveForward, RotateRight45
RotateRight45 (killed), MoveForward, MoveForward (killed), Shoot, MoveForward, RotateRight90, MoveForward, killed, MoveForward (killed), MoveForward, GetBattleInfo, killed, MoveForward, RotateLeft90, MoveForward, killed, MoveForward (killed), RotateRight90, RotateLeft90, killed, MoveForward, RotateLeft90
killed, MoveForward, killed, MoveForward, killed, MoveForward, RotateRight45, killed, killed, RotateRight45, MoveForward, killed, MoveForward, GetBattleInfo, RotateRight90, killed, killed, Shoot, RotateRight90, killed, killed, RotateRight90
killed, MoveForward, killed, RotateLeft45, killed, RotateRight45, Shoot, killed, killed, MoveForward, RotateLeft45, killed, MoveForward (killed), MoveForward, GetBattleInfo, killed, killed, GetBattleInfo, Shoot, killed, killed, Shoot
killed, MoveForward, killed, RotateRight45, killed, Shoot, RotateLeft90, killed, killed, MoveForward, Shoot, killed, killed, MoveForward, RotateRight90, killed, killed, RotateLeft90, GetBattleInfo, killed, killed, GetBattleInfo
killed, MoveForward (ignored), killed, GetBattleInfo, killed, MoveForward, RotateRight90, killed, killed, MoveForward, RotateLeft45, killed, killed, MoveForward, MoveForward, killed, killed, RotateRight90, RotateRight90, killed, killed, RotateLeft90
killed, MoveForward (ignored), killed, MoveForward, killed, RotateLeft90, GetBattleInfo, killed, killed, RotateLeft45, MoveForward, killed, killed, GetBattleInfo, MoveForward, killed, killed, MoveForward, RotateRight90, killed, killed, RotateLeft90
killed, MoveForward (ignored), killed, RotateRight45, killed, RotateRight90, RotateRight90, killed, killed, MoveForward, RotateRight45, killed, killed, RotateLeft45, GetBattleInfo, killed, killed, RotateRight45, MoveForward, killed, killed, RotateLeft45
killed, MoveForward (ignored), killed, Shoot, killed, GetBattleInfo, MoveForward, killed, killed, RotateRight45, MoveForward, killed, killed, MoveForward, RotateRight90, killed, killed, GetBattleInfo, Shoot, killed, killed, MoveForward
killed, MoveForward (ignored) (killed), killed, MoveForward, killed, MoveForward, MoveForward, killed, killed, Shoot, RotateRight45, killed, killed, MoveForward, RotateRight90, killed, killed, RotateRight90, GetBattleInfo, killed, killed, MoveForward
Player 1 won with 10 tanks still alive
