GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo
GetBattleInfo, RotateRight45, RotateLeft45, RotateLeft90, Shoot, RotateLeft90, RotateRight90, RotateLeft45, RotateLeft90, RotateLeft90, RotateLeft90, RotateLeft45, Shoot, RotateRight45, RotateRight45, RotateLeft90, RotateLeft90, RotateLeft90, RotateLeft90, RotateRight90, RotateLeft90, RotateLeft90
RotateRight90, MoveForward, MoveForward, MoveForward, RotateRight45, Shoot, Shoot, MoveForward, RotateLeft45, RotateLeft45, RotateLeft45, MoveForward, RotateRight45, Shoot, MoveForward, RotateLeft45, RotateLeft45, MoveForward, Shoot, RotateRight45, RotateLeft45, MoveForward
Shoot (killed), RotateLeft45, MoveForward, killed, RotateRight90, MoveForward, MoveForward, MoveForward, MoveForward, Shoot, MoveForward, MoveForward, RotateRight90, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward
killed, RotateLeft45, MoveForward, killed, RotateRight45, GetBattleInfo, GetBattleInfo, MoveForward, MoveForward, killed, MoveForward, RotateLeft45, RotateRight45, MoveForward, MoveForward, RotateLeft90, MoveForward, RotateLeft45, killed, RotateLeft90, RotateRight90, RotateRight45
killed, GetBattleInfo, MoveForward, killed, MoveForward, RotateLeft90, MoveForward, MoveForward, MoveForward, killed, MoveForward, Shoot, MoveForward, MoveForward, MoveForward, MoveForward, RotateLeft45, Shoot, killed, MoveForward, MoveForward, Shoot
killed, RotateLeft45, GetBattleInfo, killed, MoveForward, RotateLeft45, MoveForward, MoveForward, RotateRight45 (killed), killed, GetBattleInfo, MoveForward, Shoot, DoNothing, MoveForward, RotateRight90, MoveForward, MoveForward, killed, RotateRight90, RotateLeft90, MoveForward
killed, MoveForward, RotateLeft90, killed, Shoot, MoveForward, MoveForward, MoveForward, killed, killed, RotateLeft90, RotateLeft45, RotateRight45, Shoot, RotateLeft90, RotateRight45, RotateRight45, DoNothing, killed, RotateRight45, RotateLeft45, DoNothing
killed, RotateRight45, RotateLeft45, killed, GetBattleInfo, RotateLeft45, MoveForward, GetBattleInfo, killed, killed, MoveForward, MoveForward, MoveForward, GetBattleInfo, GetBattleInfo, Shoot, MoveForward, DoNothing, killed, MoveForward, MoveForward, DoNothing
killed, MoveForward, MoveForward, killed, RotateLeft90, MoveForward (killed), MoveForward, MoveForward, killed, killed, RotateLeft90, MoveForward, RotateRight45, RotateRight90, RotateLeft45, MoveForward, RotateRight45, DoNothing, killed, Shoot, Shoot, DoNothing (killed)
killed, Shoot, MoveForward (killed), killed, RotateLeft45, killed, MoveForward, MoveForward, killed, killed, Shoot, GetBattleInfo, RotateRight45, MoveForward, MoveForward, RotateLeft45, Shoot, GetBattleInfo, killed, RotateLeft90, RotateRight45, killed
killed, GetBattleInfo, killed, killed, MoveForward, killed, MoveForward, RotateLeft45, killed, killed, MoveForward, RotateLeft45, killed, MoveForward, killed, MoveForward, MoveForward, RotateRight45, killed, MoveForward, MoveForward, killed
killed, MoveForward, killed, killed, RotateRight45, killed, MoveForward, MoveForward, killed, killed, DoNothing, MoveForward, killed, RotateLeft45, killed, GetBattleInfo, MoveForward, Shoot, killed, MoveForward, MoveForward, killed
killed, RotateLeft45, killed, killed, Shoot, killed, MoveForward, MoveForward, killed, killed, DoNothing, MoveForward, killed, MoveForward, killed, RotateLeft45, GetBattleInfo, MoveForward, killed, RotateRight90, MoveForward, killed
killed, MoveForward, killed, killed, MoveForward, killed, MoveForward, MoveForward, killed, killed, DoNothing, MoveForward, killed, RotateLeft45, killed, MoveForward, RotateLeft90, MoveForward, killed, GetBattleInfo, MoveForward, killed
killed, MoveForward, killed, killed, GetBattleInfo, killed, MoveForward, RotateRight45, killed, killed, Shoot, MoveForward, killed, Shoot, killed, MoveForward, RotateLeft45, MoveForward, killed, RotateRight45, GetBattleInfo, killed
killed, GetBattleInfo, killed, killed, RotateLeft45, killed, GetBattleInfo, GetBattleInfo, killed, killed, DoNothing, RotateLeft45, killed, MoveForward, killed, RotateRight45, MoveForward, MoveForward, killed, MoveForward, RotateLeft90, killed
killed, RotateLeft90, killed, killed, RotateLeft45, killed, RotateLeft45 (killed), MoveForward (killed), killed, killed, DoNothing, Shoot, killed, DoNothing, killed, RotateRight90, MoveForward, MoveForward, killed, MoveForward, RotateLeft45, killed
