GetBattleInfo, MoveForward, MoveForward, GetBattleInfo, MoveForward, GetBattleInfo, GetBattleInfo, MoveForward, MoveForward, GetBattleInfo, GetBattleInfo, MoveForward, MoveForward, GetBattleInfo, GetBattleInfo, MoveForward, MoveForward, GetBattleInfo, GetBattleInfo, MoveForward, MoveForward, GetBattleInfo
GetBattleInfo, MoveForward, MoveForward, RotateLeft90, MoveForward, RotateLeft90, RotateRight90, MoveForward, MoveForward, RotateLeft90, RotateLeft90, MoveForward, MoveForward, RotateRight45, RotateRight45, MoveForward, MoveForward, RotateLeft90, RotateLeft90, MoveForward, MoveForward, RotateLeft90
RotateRight90, MoveForward, MoveForward, MoveForward, MoveForward, Shoot, Shoot, MoveForward, MoveForward, RotateLeft45, RotateLeft45 (killed), MoveForward (killed), MoveForward, Shoot, MoveForward, MoveForward, MoveForward, Shoot, Shoot, MoveForward, MoveForward, MoveForward
Shoot (killed), MoveForward, MoveForward, GetBattleInfo (killed), MoveForward (killed), MoveForward, MoveForward, MoveForward, MoveForward, Shoot, killed, killed, MoveForward (killed), MoveForward, MoveForward (killed), MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward
killed, MoveForward, MoveForward, killed, killed, GetBattleInfo, GetBattleInfo, MoveForward, MoveForward, killed, killed, killed, killed, MoveForward, killed, MoveForward, MoveForward, MoveForward, killed, MoveForward, MoveForward, RotateRight45
killed, MoveForward, MoveForward, killed, killed, MoveForward, MoveForward, MoveForward, MoveForward, killed, killed, killed, killed, MoveForward, killed, MoveForward, MoveForward, RotateLeft45, killed, MoveForward, MoveForward, Shoot
killed, MoveForward, MoveForward (killed), killed, killed, MoveForward, MoveForward, MoveForward, MoveForward, killed, killed, killed, killed, DoNothing, killed, MoveForward, MoveForward, MoveForward, killed, MoveForward, MoveForward, MoveForward
killed, MoveForward, killed, killed, killed, MoveForward (killed), MoveForward, MoveForward, MoveForward, killed, killed, killed, killed, Shoot, killed, MoveForward, MoveForward, Shoot, killed, MoveForward, MoveForward, DoNothing
killed, MoveForward, killed, killed, killed, killed, MoveForward, MoveForward, MoveForward, killed, killed, killed, killed, GetBattleInfo, killed, MoveForward, MoveForward, DoNothing, killed, MoveForward, MoveForward, DoNothing
killed, MoveForward (ignored), killed, killed, killed, killed, RotateRight45, MoveForward, MoveForward, killed, killed, killed, killed, RotateRight90, killed, MoveForward, MoveForward, DoNothing, killed, MoveForward, MoveForward, DoNothing
killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward, MoveForward, MoveForward, killed, killed, killed, killed, MoveForward, killed, MoveForward, MoveForward, GetBattleInfo, killed, MoveForward, MoveForward, Shoot
