MoveForward, DoNothing, MoveForward (killed), DoNothing, MoveForward, DoNothing, DoNothing, DoNothing, MoveForward, MoveForward, MoveForward, DoNothing, DoNothing, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, DoNothing, DoNothing, DoNothing, DoNothing (killed)
MoveForward, RotateRight45, killed, RotateRight45, MoveForward, RotateRight45, RotateRight45, RotateRight45, MoveForward, MoveForward, MoveForward, RotateRight45, RotateRight45, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, RotateRight45, RotateRight45, RotateRight45, killed
MoveForward, DoNothing, killed, DoNothing, MoveForward, DoNothing, DoNothing, DoNothing, MoveForward, MoveForward, MoveForward, DoNothing, DoNothing, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, DoNothing, DoNothing, DoNothing, killed
MoveForward, RotateRight45, killed, RotateRight45, MoveForward, RotateRight45, RotateRight45, RotateRight45, MoveForward, MoveForward, MoveForward, RotateRight45, RotateRight45, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, RotateRight45, RotateRight45, RotateRight45, killed
MoveForward, DoNothing, killed, DoNothing, MoveForward, DoNothing, DoNothing, DoNothing, MoveForward, MoveForward, MoveForward, DoNothing, DoNothing, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, DoNothing, DoNothing, DoNothing, killed
MoveForward, RotateRight45, killed, RotateRight45, MoveForward, RotateRight45, RotateRight45, RotateRight45, MoveForward, MoveForward, MoveForward, RotateRight45, RotateRight45, MoveForward (killed), MoveForward, MoveForward, MoveForward, MoveForward, RotateRight45, RotateRight45, RotateRight45, killed
MoveForward, DoNothing, killed, DoNothing, MoveForward, DoNothing, DoNothing, DoNothing, MoveForward (ignored), MoveForward (killed), MoveForward, DoNothing, DoNothing, killed, MoveForward, MoveForward, MoveForward, MoveForward, DoNothing, DoNothing, DoNothing (killed), killed
MoveForward, RotateRight45, killed, RotateRight45, MoveForward, RotateRight45, RotateRight45, RotateRight45, MoveForward (ignored), killed, MoveForward, RotateRight45, RotateRight45, killed, MoveForward, MoveForward, MoveForward, MoveForward (killed), RotateRight45, RotateRight45, killed, killed
MoveForward (killed), DoNothing, killed, DoNothing, MoveForward, DoNothing, DoNothing, DoNothing, MoveForward (ignored), killed, MoveForward (killed), DoNothing, DoNothing (killed), killed, MoveForward, MoveForward, MoveForward, killed, DoNothing, DoNothing (killed), killed, killed
killed, RotateRight45, killed, RotateRight45, MoveForward, RotateRight45, RotateRight45, RotateRight45, MoveForward (ignored), killed, killed, RotateRight45, killed, killed, MoveForward, MoveForward, MoveForward, killed, RotateRight45, killed, killed, killed
killed, DoNothing, killed, DoNothing, MoveForward (killed), DoNothing, DoNothing, DoNothing, MoveForward (ignored), killed, killed, DoNothing (killed), killed, killed, MoveForward, MoveForward, MoveForward, killed, DoNothing, killed, killed, killed
