DoNothing, RotateRight90, DoNothing, RotateRight90, DoNothing, RotateRight90, RotateRight90, RotateRight90, DoNothing, DoNothing, DoNothing, RotateRight90, RotateRight90, DoNothing, DoNothing, DoNothing, DoNothing, DoNothing, RotateRight90, RotateRight90, RotateRight90, RotateRight90
RotateRight45, RotateLeft90, RotateRight45, RotateLeft90, RotateRight45, RotateLeft90, RotateLeft90, RotateLeft90, RotateRight45, RotateRight45, RotateRight45, RotateLeft90, RotateLeft90, RotateRight45, RotateRight45, RotateRight45, RotateRight45, RotateRight45, RotateLeft90, RotateLeft90, RotateLeft90, RotateLeft90
DoNothing, Shoot, DoNothing, Shoot, DoNothing, Shoot, Shoot, Shoot, DoNothing, DoNothing, DoNothing, Shoot, Shoot, DoNothing, DoNothing, DoNothing, DoNothing, DoNothing, Shoot, Shoot, Shoot, Shoot
RotateRight45, RotateRight90, RotateRight45 (killed), RotateRight90, RotateRight45, RotateRight90, RotateRight90, RotateRight90, RotateRight45, RotateRight45, RotateRight45, RotateRight90, RotateRight90, RotateRight45, RotateRight45, RotateRight45, RotateRight45, RotateRight45, RotateRight90, RotateRight90, RotateRight90, RotateRight90
DoNothing, RotateLeft90, killed, RotateLeft90, DoNothing, RotateLeft90, RotateLeft90, RotateLeft90, DoNothing, DoNothing, DoNothing, RotateLeft90, RotateLeft90, DoNothing, DoNothing, DoNothing, DoNothing, DoNothing, RotateLeft90, RotateLeft90, RotateLeft90, RotateLeft90
RotateRight45, Shoot (ignored), killed, Shoot (ignored), RotateRight45, Shoot (ignored), Shoot (ignored), Shoot (ignored), RotateRight45, RotateRight45, RotateRight45, Shoot (ignored), Shoot (ignored), RotateRight45, RotateRight45, RotateRight45, RotateRight45, RotateRight45, Shoot (ignored), Shoot (ignored), Shoot (ignored), Shoot (ignored)
DoNothing, RotateRight90, killed, RotateRight90, DoNothing, RotateRight90, RotateRight90, RotateRight90, DoNothing, DoNothing (killed), DoNothing, RotateRight90, RotateRight90, DoNothing, DoNothing, DoNothing, DoNothing, DoNothing, RotateRight90, RotateRight90, RotateRight90, RotateRight90
RotateRight45, RotateLeft90, killed, RotateLeft90, RotateRight45, RotateLeft90, RotateLeft90, RotateLeft90, RotateRight45, killed, RotateRight45 (killed), RotateLeft90, RotateLeft90, RotateRight45, RotateRight45, RotateRight45, RotateRight45, RotateRight45, RotateLeft90, RotateLeft90, RotateLeft90, RotateLeft90
DoNothing, Shoot, killed, Shoot, DoNothing (killed), Shoot, Shoot, Shoot, DoNothing, killed, killed, Shoot, Shoot, DoNothing, DoNothing, DoNothing, DoNothing, DoNothing, Shoot, Shoot, Shoot, Shoot
RotateRight45, RotateRight90, killed, RotateRight90, killed, RotateRight90, RotateRight90, RotateRight90, RotateRight45, killed, killed, RotateRight90, RotateRight90, RotateRight45, killed, killed, RotateRight45, RotateRight45, RotateRight90, RotateRight90, RotateRight90, RotateRight90
DoNothing, RotateLeft90, killed, RotateLeft90, killed, RotateLeft90, RotateLeft90, RotateLeft90, DoNothing, killed, killed, RotateLeft90, RotateLeft90, killed, killed, killed, killed, DoNothing, RotateLeft90, RotateLeft90, RotateLeft90, RotateLeft90
RotateRight45, Shoot (ignored), killed, Shoot (ignored), killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), RotateRight45, killed, killed, Shoot (ignored), Shoot (ignored), killed, killed, killed, killed, RotateRight45, Shoot (ignored), Shoot (ignored), Shoot (ignored), Shoot (ignored)
DoNothing, RotateRight90, killed, RotateRight90, killed, RotateRight90, RotateRight90, RotateRight90, DoNothing, killed, killed, RotateRight90, RotateRight90, killed, killed, killed, killed, killed, RotateRight90, RotateRight90, RotateRight90, RotateRight90
RotateRight45, RotateLeft90, killed, RotateLeft90, killed, RotateLeft90, RotateLeft90, RotateLeft90, RotateRight45, killed, killed, RotateLeft90, RotateLeft90, killed, killed, killed, killed, killed, RotateLeft90, RotateLeft90, RotateLeft90, RotateLeft90
DoNothing, Shoot, killed, Shoot, killed, Shoot, Shoot, Shoot, DoNothing, killed, killed, Shoot, Shoot, killed, killed, killed, killed, killed, Shoot, Shoot, Shoot, Shoot
RotateRight45, RotateRight90, killed, RotateRight90, killed, RotateRight90, RotateRight90, RotateRight90, RotateRight45, killed, killed, RotateRight90, RotateRight90, killed, killed, killed, killed, killed, RotateRight90 (killed), RotateRight90, RotateRight90, RotateRight90
