DoNothing, RotateRight90, RotateRight90, DoNothing, RotateRight90, DoNothing, DoNothing, RotateRight90, RotateRight90, DoNothing, DoNothing, RotateRight90, RotateRight90, DoNothing, DoNothing, RotateRight90, RotateRight90, DoNothing, DoNothing, RotateRight90, RotateRight90, DoNothing
RotateRight45, RotateLeft90, RotateLeft90, RotateRight45, RotateLeft90, RotateRight45, RotateRight45, RotateLeft90, RotateLeft90, RotateRight45, RotateRight45, RotateLeft90, RotateLeft90, RotateRight45, RotateRight45, RotateLeft90, RotateLeft90, RotateRight45, RotateRight45, RotateLeft90, RotateLeft90, RotateRight45
DoNothing, Shoot, Shoot, DoNothing, Shoot, DoNothing, DoNothing, Shoot, Shoot, DoNothing, DoNothing, Shoot, Shoot, DoNothing, DoNothing, Shoot, Shoot, DoNothing, DoNothing, Shoot, Shoot, DoNothing
RotateRight45, RotateRight90, RotateRight90, RotateRight45, RotateRight90, RotateRight45, RotateRight45, RotateRight90, RotateRight90, RotateRight45, RotateRight45 (killed), RotateRight90, RotateRight90, RotateRight45, RotateRight45, RotateRight90, RotateRight90, RotateRight45, RotateRight45, RotateRight90, RotateRight90, RotateRight45
DoNothing, RotateLeft90, RotateLeft90, DoNothing, RotateLeft90, DoNothing, DoNothing, RotateLeft90, RotateLeft90, DoNothing, killed, RotateLeft90, RotateLeft90, DoNothing, DoNothing, RotateLeft90, RotateLeft90, DoNothing, DoNothing, RotateLeft90, RotateLeft90, DoNothing
RotateRight45, Shoot (ignored), Shoot (ignored), RotateRight45, Shoot (ignored), RotateRight45, RotateRight45, Shoot (ignored), Shoot (ignored), RotateRight45, killed, Shoot (ignored), Shoot (ignored), RotateRight45, RotateRight45, Shoot (ignored), Shoot (ignored), RotateRight45, RotateRight45, Shoot (ignored), Shoot (ignored), RotateRight45
DoNothing, RotateRight90, RotateRight90, DoNothing, RotateRight90, DoNothing, DoNothing (killed), RotateRight90, RotateRight90, DoNothing, killed, RotateRight90, RotateRight90, DoNothing, DoNothing, RotateRight90, RotateRight90, DoNothing, DoNothing, RotateRight90, RotateRight90, DoNothing
RotateRight45, RotateLeft90, RotateLeft90, RotateRight45, RotateLeft90, RotateRight45, killed, RotateLeft90, RotateLeft90, RotateRight45, killed, RotateLeft90, RotateLeft90, RotateRight45, RotateRight45 (killed), RotateLeft90, RotateLeft90, RotateRight45, RotateRight45, RotateLeft90, RotateLeft90, RotateRight45
DoNothing, Shoot, Shoot, DoNothing, Shoot, DoNothing, killed, Shoot, Shoot, DoNothing, killed, Shoot, Shoot, DoNothing, killed, Shoot, Shoot, DoNothing, DoNothing (killed), Shoot, Shoot, DoNothing
RotateRight45, RotateRight90, RotateRight90, RotateRight45, RotateRight90, RotateRight45, killed, RotateRight90, RotateRight90, killed, killed, RotateRight90, RotateRight90, RotateRight45, killed, RotateRight90, RotateRight90, killed, killed, RotateRight90, RotateRight90, RotateRight45
DoNothing, RotateLeft90, RotateLeft90, DoNothing, RotateLeft90, killed, killed, RotateLeft90, RotateLeft90, killed, killed, RotateLeft90, RotateLeft90, DoNothing, killed, RotateLeft90, RotateLeft90, killed, killed, RotateLeft90, RotateLeft90, killed
RotateRight45, Shoot (ignored), Shoot (ignored), RotateRight45, Shoot (ignored), killed, killed, Shoot (ignored), Shoot (ignored), killed, killed, Shoot (ignored), Shoot (ignored), RotateRight45, killed, Shoot (ignored), Shoot (ignored), killed, killed, Shoot (ignored), Shoot (ignored), killed
DoNothing, RotateRight90, RotateRight90, DoNothing, RotateRight90, killed, killed, RotateRight90, RotateRight90, killed, killed, RotateRight90, RotateRight90, killed, killed, RotateRight90, RotateRight90, killed, killed, RotateRight90, RotateRight90, killed
RotateRight45, RotateLeft90, RotateLeft90, RotateRight45, RotateLeft90, killed, killed, RotateLeft90, RotateLeft90, killed, killed, RotateLeft90, RotateLeft90, killed, killed, RotateLeft90, RotateLeft90, killed, killed, RotateLeft90, RotateLeft90, killed
DoNothing, Shoot, Shoot, DoNothing, Shoot, killed, killed, Shoot, Shoot, killed, killed, Shoot, Shoot, killed, killed, Shoot, Shoot, killed, killed, Shoot, Shoot, killed
RotateRight45, RotateRight90, RotateRight90 (killed), RotateRight45, RotateRight90, killed, killed, RotateRight90, RotateRight90, killed, killed, RotateRight90, RotateRight90, killed, killed, RotateRight90, RotateRight90, killed, killed, RotateRight90, RotateRight90, killed
DoNothing, RotateLeft90, killed, DoNothing, RotateLeft90, killed, killed, RotateLeft90, RotateLeft90, killed, killed, RotateLeft90, RotateLeft90, killed, killed, RotateLeft90, RotateLeft90, killed, killed, RotateLeft90, RotateLeft90, killed
RotateRight45, Shoot (ignored), killed, RotateRight45, Shoot (ignored), killed, killed, Shoot (ignored), Shoot (ignored), killed, killed, Shoot (ignored), Shoot (ignored), killed, killed, Shoot (ignored), Shoot (ignored), killed, killed, Shoot (ignored), Shoot (ignored), killed
DoNothing, RotateRight90, killed, DoNothing, RotateRight90, killed, killed, RotateRight90, RotateRight90, killed, killed, RotateRight90, RotateRight90, killed, killed, RotateRight90, RotateRight90, killed, killed, RotateRight90, RotateRight90, killed
RotateRight45 (killed), RotateLeft90, killed, RotateRight45, RotateLeft90, killed, killed, RotateLeft90, RotateLeft90, killed, killed, RotateLeft90, RotateLeft90, killed, killed, RotateLeft90, RotateLeft90, killed, killed, RotateLeft90, RotateLeft90, killed
killed, Shoot, killed, DoNothing, Shoot, killed, killed, Shoot, Shoot, killed, killed, Shoot, Shoot, killed, killed, Shoot, Shoot, killed, killed, Shoot, Shoot, killed
killed, RotateRight90, killed, RotateRight45, RotateRight90 (killed), killed, killed, RotateRight90 (killed), RotateRight90 (killed), killed, killed, RotateRight90, RotateRight90 (killed), killed, killed, RotateRight90 (killed), RotateRight90 (killed), killed, killed, RotateRight90 (killed), RotateRight90 (killed), killed
killed, RotateLeft90, killed, DoNothing, killed, killed, killed, killed, killed, killed, killed, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, Shoot (ignored), killed, RotateRight45, killed, killed, killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, RotateRight90, killed, DoNothing, killed, killed, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, RotateLeft90, killed, RotateRight45, killed, killed, killed, killed, killed, killed, killed, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, Shoot, killed, DoNothing, killed, killed, killed, killed, killed, killed, killed, Shoot, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, RotateRight90, killed, RotateRight45, killed, killed, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, RotateLeft90, killed, DoNothing, killed, killed, killed, killed, killed, killed, killed, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, Shoot (ignored), killed, RotateRight45, killed, killed, killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, RotateRight90, killed, DoNothing, killed, killed, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, RotateLeft90, killed, RotateRight45, killed, killed, killed, killed, killed, killed, killed, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, Shoot, killed, DoNothing, killed, killed, killed, killed, killed, killed, killed, Shoot, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, RotateRight90, killed, RotateRight45, killed, killed, killed, killed, killed, killed, killed, RotateRight90 (killed), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, RotateLeft90, killed, DoNothing, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
