MoveForward (ignored), Shoot, Shoot, MoveForward, Shoot, MoveForward, MoveForward, Shoot, Shoot, MoveForward, MoveForward, Shoot, Shoot, MoveForward, MoveForward, Shoot, Shoot, MoveForward, MoveForward, Shoot, Shoot, MoveForward
MoveForward (ignored), Shoot (ignored), Shoot (ignored), MoveForward, Shoot (ignored), MoveForward, MoveForward, Shoot (ignored), Shoot (ignored), MoveForward, killed, Shoot (ignored), Shoot (ignored), MoveForward, MoveForward, Shoot (ignored), Shoot (ignored), MoveForward, MoveForward, Shoot (ignored), Shoot (ignored), MoveForward
MoveForward (ignored), Shoot (ignored), Shoot (ignored), MoveForward, Shoot (ignored), MoveForward, MoveForward, Shoot (ignored), Shoot (ignored), MoveForward, killed, Shoot (ignored), Shoot (ignored), MoveForward, MoveForward, Shoot (ignored), Shoot (ignored), MoveForward, MoveForward, Shoot (ignored), Shoot (ignored), MoveForward
MoveForward (ignored), Shoot (ignored), Shoot (ignored), MoveForward, Shoot (ignored), MoveForward, killed, Shoot (ignored), Shoot (ignored), MoveForward, killed, Shoot (ignored), Shoot (ignored), MoveForward, MoveForward (killed), Shoot (ignored), Shoot (ignored), MoveForward, MoveForward, Shoot (ignored), Shoot (ignored), MoveForward
MoveForward (ignored), Shoot (ignored), Shoot (ignored), MoveForward, Shoot (ignored), MoveForward, killed, Shoot (ignored), Shoot (ignored), MoveForward (killed), killed, Shoot (ignored), Shoot (ignored), MoveForward, killed, Shoot (ignored), Shoot (ignored), MoveForward (killed), MoveForward (killed), Shoot (ignored), Shoot (ignored), MoveForward
MoveForward (ignored), Shoot, Shoot, MoveForward, Shoot, MoveForward (killed), killed, Shoot, Shoot, killed, killed, Shoot, Shoot, MoveForward, killed, Shoot, Shoot, killed, killed, Shoot, Shoot, MoveForward (killed)
MoveForward (ignored), Shoot (ignored), Shoot (ignored), MoveForward, Shoot (ignored), killed, killed, Shoot (ignored), Shoot (ignored), killed, killed, Shoot (ignored), Shoot (ignored), MoveForward (killed), killed, Shoot (ignored), Shoot (ignored), killed, killed, Shoot (ignored), Shoot (ignored), killed
MoveForward (ignored), Shoot (ignored), Shoot (ignored), MoveForward, Shoot (ignored), killed, killed, Shoot (ignored), Shoot (ignored), killed, killed, Shoot (ignored), Shoot (ignored), killed, killed, Shoot (ignored), Shoot (ignored), killed, killed, Shoot (ignored), Shoot (ignored), killed
MoveForward (ignored), Shoot (ignored), Shoot (ignored), MoveForward (ignored), Shoot (ignored), killed, killed, Shoot (ignored), Shoot (ignored), killed, killed, Shoot (ignored), Shoot (ignored), killed, killed, Shoot (ignored), Shoot (ignored), killed, killed, Shoot (ignored), Shoot (ignored), killed
MoveForward (ignored), Shoot (ignored), Shoot (ignored), MoveForward (ignored), Shoot (ignored), killed, killed, Shoot (ignored), Shoot (ignored), killed, killed, Shoot (ignored), Shoot (ignored), killed, killed, Shoot (ignored), Shoot (ignored), killed, killed, Shoot (ignored), Shoot (ignored), killed
MoveForward, Shoot, Shoot, MoveForward (ignored), Shoot, killed, killed, Shoot, Shoot, killed, killed, Shoot, Shoot, killed, killed, Shoot, Shoot, killed, killed, Shoot, Shoot, killed
MoveForward, Shoot (ignored), Shoot (ignored), MoveForward (ignored), Shoot (ignored), killed, killed, Shoot (ignored), Shoot (ignored), killed, killed, Shoot (ignored), Shoot (ignored), killed, killed, Shoot (ignored), Shoot (ignored), killed, killed, Shoot (ignored), Shoot (ignored), killed
MoveForward, Shoot (ignored), Shoot (ignored), MoveForward (ignored), Shoot (ignored), killed, killed, Shoot (ignored), Shoot (ignored), killed, killed, Shoot (ignored), Shoot (ignored), killed, killed, Shoot (ignored), Shoot (ignored), killed, killed, Shoot (ignored), Shoot (ignored), killed
MoveForward (killed), Shoot (ignored), Shoot (ignored) (killed), MoveForward (ignored), Shoot (ignored), killed, killed, Shoot (ignored), Shoot (ignored), killed, killed, Shoot (ignored), Shoot (ignored), killed, killed, Shoot (ignored), Shoot (ignored), killed, killed, Shoot (ignored), Shoot (ignored), killed
killed, Shoot (ignored), killed, MoveForward (ignored), Shoot (ignored), killed, killed, Shoot (ignored), Shoot (ignored), killed, killed, Shoot (ignored), Shoot (ignored), killed, killed, Shoot (ignored), Shoot (ignored), killed, killed, Shoot (ignored), Shoot (ignored), killed
killed, Shoot, killed, MoveForward (ignored), Shoot, killed, killed, Shoot, Shoot, killed, killed, Shoot, Shoot, killed, killed, Shoot, Shoot, killed, killed, Shoot, Shoot, killed
killed, Shoot (ignored), killed, MoveForward (ignored), Shoot (ignored), killed, killed, Shoot (ignored), Shoot (ignored), killed, killed, Shoot (ignored), Shoot (ignored), killed, killed, Shoot (ignored), Shoot (ignored), killed, killed, Shoot (ignored), Shoot (ignored), killed
killed, Shoot (ignored), killed, MoveForward (ignored), Shoot (ignored), killed, killed, Shoot (ignored), Shoot (ignored), killed, killed, Shoot (ignored), Shoot (ignored), killed, killed, Shoot (ignored), Shoot (ignored), killed, killed, Shoot (ignored), Shoot (ignored), killed
killed, Shoot (ignored), killed, MoveForward (ignored), Shoot (ignored) (killed), killed, killed, Shoot (ignored) (killed), Shoot (ignored) (killed), killed, killed, Shoot (ignored), Shoot (ignored) (killed), killed, killed, Shoot (ignored) (killed), Shoot (ignored) (killed), killed, killed, Shoot (ignored) (killed), Shoot (ignored) (killed), killed
killed, Shoot (ignored), killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, Shoot, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, Shoot, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, Shoot (ignored), killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, Shoot (ignored), killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, Shoot (ignored), killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, Shoot (ignored), killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, Shoot, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, Shoot, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, Shoot (ignored), killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, Shoot (ignored), killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, Shoot (ignored), killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, Shoot (ignored) (killed), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, Shoot (ignored), killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, Shoot, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, Shoot (ignored), killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, Shoot (ignored), killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, Shoot (ignored), killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, Shoot (ignored), killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, Shoot, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, Shoot (ignored), killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, Shoot (ignored), killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
killed, Shoot (ignored) (killed), killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed
Player 1 won with 1 tanks still alive
