MoveForward (ignored), MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward
MoveForward (ignored), MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward (killed), MoveForward (killed), MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward
RotateRight90, MoveForward, MoveForward, RotateRight90, MoveForward, RotateRight90, RotateRight90, MoveForward, MoveForward, RotateRight90, killed, killed, MoveForward, RotateRight90, RotateRight90, MoveForward, MoveForward, RotateRight90, RotateRight90, MoveForward, MoveForward, RotateRight90
MoveForward, MoveForward, MoveForward, MoveForward (killed), MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward (ignored), killed, killed, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward
MoveForward, MoveForward, MoveForward, killed, MoveForward, MoveForward (killed), MoveForward, MoveForward, MoveForward, MoveForward (ignored), killed, killed, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward
RotateRight90, MoveForward, MoveForward, killed, MoveForward, killed, RotateRight90, MoveForward, MoveForward, RotateRight90, killed, killed, MoveForward, RotateRight90, RotateRight90, MoveForward, MoveForward, RotateRight90, RotateRight90, MoveForward, MoveForward, RotateRight90
MoveForward, MoveForward, MoveForward, killed, MoveForward, killed, MoveForward, MoveForward, MoveForward, MoveForward, killed, killed, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward
MoveForward (ignored), MoveForward, MoveForward, killed, MoveForward, killed, MoveForward, MoveForward, MoveForward, MoveForward, killed, killed, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward
RotateRight90, MoveForward, MoveForward, killed, MoveForward, killed, RotateRight90, MoveForward, MoveForward, RotateRight90, killed, killed, MoveForward, RotateRight90, RotateRight90, MoveForward, MoveForward, RotateRight90, RotateRight90, MoveForward, MoveForward, RotateRight90
MoveForward, MoveForward (ignored), MoveForward, killed, MoveForward (killed), killed, MoveForward, MoveForward, MoveForward, MoveForward, killed, killed, MoveForward, MoveForward, MoveForward (ignored), MoveForward, MoveForward, MoveForward (ignored), MoveForward, MoveForward, MoveForward, MoveForward
MoveForward, MoveForward (ignored), MoveForward, killed, killed, killed, MoveForward, MoveForward, MoveForward, MoveForward (ignored), killed, killed, MoveForward, MoveForward, MoveForward (ignored), MoveForward, MoveForward, MoveForward (ignored), MoveForward, MoveForward, MoveForward, MoveForward
RotateRight90, MoveForward (ignored), MoveForward, killed, killed, killed, RotateRight90, MoveForward, MoveForward, RotateRight90, killed, killed, MoveForward (killed), RotateRight90, RotateRight90, MoveForward, MoveForward, RotateRight90, RotateRight90, MoveForward, MoveForward, RotateRight90
MoveForward, MoveForward (ignored), MoveForward, killed, killed, killed, MoveForward, MoveForward, MoveForward, MoveForward, killed, killed, killed, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward (killed), MoveForward (killed), MoveForward, MoveForward
MoveForward (ignored), MoveForward (ignored), MoveForward, killed, killed, killed, MoveForward, MoveForward, MoveForward, MoveForward, killed, killed, killed, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, killed, killed, MoveForward (killed), MoveForward (killed)
RotateRight90, MoveForward (ignored), MoveForward, killed, killed, killed, RotateRight90, MoveForward, MoveForward, RotateRight90, killed, killed, killed, RotateRight90, RotateRight90, MoveForward, MoveForward, RotateRight90, killed, killed, killed, killed
MoveForward, MoveForward (ignored), MoveForward, killed, killed, killed, MoveForward, MoveForward, MoveForward, MoveForward, killed, killed, killed, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, killed, killed, killed, killed
MoveForward, MoveForward (ignored), MoveForward, killed, killed, killed, MoveForward, MoveForward (killed), MoveForward, MoveForward (ignored), killed, killed, killed, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, killed, killed, killed, killed
RotateRight90, MoveForward (ignored), MoveForward, killed, killed, killed, RotateRight90, killed, MoveForward, RotateRight90, killed, killed, killed, RotateRight90, RotateRight90, MoveForward, MoveForward, RotateRight90, killed, killed, killed, killed
MoveForward, MoveForward (ignored), MoveForward, killed, killed, killed, MoveForward, killed, MoveForward, MoveForward, killed, killed, killed, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, killed, killed, killed, killed
MoveForward (ignored), MoveForward (ignored), MoveForward, killed, killed, killed, MoveForward, killed, MoveForward, MoveForward, killed, killed, killed, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, killed, killed, killed, killed
RotateRight90, MoveForward (ignored), MoveForward, killed, killed, killed, RotateRight90, killed, MoveForward, RotateRight90, killed, killed, killed, RotateRight90, RotateRight90, MoveForward, MoveForward, RotateRight90, killed, killed, killed, killed
MoveForward, MoveForward (ignored), MoveForward, killed, killed, killed, MoveForward, killed, MoveForward, MoveForward, killed, killed, killed, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, killed, killed, killed, killed
