MoveForward (ignored), GetBattleInfo, GetBattleInfo, MoveForward, GetBattleInfo, MoveForward, MoveForward, GetBattleInfo, GetBattleInfo, MoveForward, MoveForward, GetBattleInfo, GetBattleInfo, MoveForward, MoveForward, GetBattleInfo, GetBattleInfo, MoveForward, MoveForward, GetBattleInfo, GetBattleInfo, MoveForward
MoveForward (ignored), RotateRight90, RotateRight45, MoveForward, RotateLeft90, MoveForward, MoveForward, MoveForward, RotateRight45, MoveForward, MoveForward (killed), MoveForward (killed), RotateLeft90, MoveForward, MoveForward, RotateLeft45, RotateRight45, MoveForward, MoveForward, RotateLeft45, RotateLeft45, MoveForward
MoveForward (ignored), Shoot, MoveForward, MoveForward, Shoot, MoveForward, MoveForward, RotateRight45, RotateRight90, MoveForward, killed, killed, Shoot, MoveForward, MoveForward, RotateLeft90, RotateRight90, MoveForward, MoveForward, Shoot, RotateLeft90, MoveForward
MoveForward (ignored) (killed), GetBattleInfo, GetBattleInfo, MoveForward, GetBattleInfo, MoveForward, MoveForward, GetBattleInfo, GetBattleInfo, MoveForward, killed, killed, GetBattleInfo, MoveForward, MoveForward, GetBattleInfo, GetBattleInfo, MoveForward, MoveForward, GetBattleInfo, GetBattleInfo, MoveForward
killed, RotateRight45, MoveForward, MoveForward, RotateRight45, MoveForward, MoveForward, RotateRight90, RotateLeft90, MoveForward, killed, killed, MoveForward, MoveForward, MoveForward, RotateLeft90, MoveForward, MoveForward, MoveForward, MoveForward, Shoot, MoveForward
killed, DoNothing, RotateLeft45, MoveForward, DoNothing, MoveForward (killed), MoveForward, MoveForward, MoveForward, MoveForward, killed, killed, RotateRight45, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, DoNothing, MoveForward
killed, GetBattleInfo, GetBattleInfo, MoveForward, killed, killed, MoveForward, GetBattleInfo, GetBattleInfo, MoveForward, killed, killed, GetBattleInfo, MoveForward, MoveForward, GetBattleInfo, GetBattleInfo, MoveForward, MoveForward, GetBattleInfo, GetBattleInfo, MoveForward
killed, RotateRight90, RotateLeft45, MoveForward, killed, killed, MoveForward, RotateLeft90, RotateLeft90, MoveForward, killed, killed, RotateLeft45, MoveForward (killed), MoveForward, RotateLeft45, RotateLeft45, MoveForward, MoveForward, RotateRight45, MoveForward, MoveForward
killed, Shoot, Shoot, MoveForward (ignored), killed, killed, MoveForward, MoveForward, RotateLeft90, MoveForward, killed, killed, Shoot, killed, MoveForward, Shoot, Shoot, MoveForward, MoveForward, Shoot, RotateLeft45, MoveForward
killed, GetBattleInfo, GetBattleInfo, MoveForward (ignored), killed, killed, MoveForward, GetBattleInfo, GetBattleInfo, MoveForward, killed, killed, GetBattleInfo, killed, MoveForward, GetBattleInfo, GetBattleInfo, MoveForward, MoveForward, GetBattleInfo, GetBattleInfo, MoveForward
killed, RotateLeft90, RotateLeft90, MoveForward (ignored), killed, killed, MoveForward, MoveForward, MoveForward, MoveForward, killed, killed, MoveForward, killed, MoveForward, RotateLeft45, RotateLeft45, MoveForward, MoveForward, RotateRight45, RotateRight45, MoveForward
