MoveForward (ignored), DoNothing, DoNothing, MoveForward, DoNothing, MoveForward, MoveForward, DoNothing, DoNothing, MoveForward, MoveForward, DoNothing, DoNothing, MoveForward, MoveForward, DoNothing, DoNothing, MoveForward, MoveForward, DoNothing, DoNothing, MoveForward
MoveForward (ignored), RotateRight45, RotateRight45, MoveForward, RotateRight45, MoveForward, MoveForward, RotateRight45, RotateRight45, MoveForward, MoveForward, RotateRight45, RotateRight45, MoveForward, MoveForward, RotateRight45, RotateRight45, MoveForward, MoveForward, RotateRight45, RotateRight45, MoveForward
MoveForward (ignored), DoNothing, DoNothing, MoveForward, DoNothing, MoveForward, MoveForward, DoNothing, DoNothing, MoveForward, MoveForward (killed), DoNothing (killed), DoNothing, MoveForward, MoveForward, DoNothing, DoNothing, MoveForward, MoveForward, DoNothing, DoNothing, MoveForward
MoveForward (ignored), RotateRight45, RotateRight45, MoveForward, RotateRight45, MoveForward, MoveForward, RotateRight45, RotateRight45, MoveForward, killed, killed, RotateRight45, MoveForward, MoveForward, RotateRight45, RotateRight45, MoveForward, MoveForward, RotateRight45, RotateRight45, MoveForward
MoveForward (ignored), DoNothing, DoNothing, MoveForward, DoNothing, MoveForward, MoveForward, DoNothing, DoNothing, MoveForward, killed, killed, DoNothing, MoveForward, MoveForward, DoNothing, DoNothing, MoveForward, MoveForward, DoNothing, DoNothing, MoveForward
MoveForward (ignored), RotateRight45, RotateRight45, MoveForward, RotateRight45, MoveForward (killed), MoveForward, RotateRight45, RotateRight45, MoveForward, killed, killed, RotateRight45, MoveForward, MoveForward, RotateRight45, RotateRight45, MoveForward, MoveForward, RotateRight45, RotateRight45, MoveForward
MoveForward (ignored), DoNothing, DoNothing, MoveForward, DoNothing, killed, MoveForward, DoNothing, DoNothing, MoveForward, killed, killed, DoNothing, MoveForward, MoveForward, DoNothing, DoNothing, MoveForward, MoveForward, DoNothing, DoNothing, MoveForward
MoveForward (ignored), RotateRight45, RotateRight45, MoveForward, RotateRight45, killed, MoveForward, RotateRight45, RotateRight45, MoveForward, killed, killed, RotateRight45, MoveForward (killed), MoveForward, RotateRight45, RotateRight45, MoveForward, MoveForward, RotateRight45, RotateRight45, MoveForward
MoveForward (ignored), DoNothing, DoNothing, MoveForward (ignored), DoNothing, killed, MoveForward (killed), DoNothing (killed), DoNothing, MoveForward, killed, killed, DoNothing, killed, MoveForward, DoNothing, DoNothing, MoveForward, MoveForward, DoNothing, DoNothing, MoveForward
MoveForward (ignored), RotateRight45, RotateRight45, MoveForward (ignored), RotateRight45, killed, killed, killed, RotateRight45, MoveForward, killed, killed, RotateRight45, killed, MoveForward, RotateRight45, RotateRight45, MoveForward, MoveForward, RotateRight45, RotateRight45, MoveForward
MoveForward (ignored), DoNothing, DoNothing, MoveForward (ignored), DoNothing, killed, killed, killed, DoNothing, MoveForward, killed, killed, DoNothing, killed, MoveForward (killed), DoNothing (killed), DoNothing, MoveForward, MoveForward, DoNothing, DoNothing, MoveForward
MoveForward (ignored), RotateRight45, RotateRight45, MoveForward (ignored), RotateRight45, killed, killed, killed, RotateRight45, MoveForward, killed, killed, RotateRight45, killed, killed, killed, RotateRight45, MoveForward, MoveForward, RotateRight45, RotateRight45, MoveForward
MoveForward (ignored), DoNothing, DoNothing, MoveForward (ignored), DoNothing, killed, killed, killed, DoNothing, MoveForward, killed, killed, DoNothing, killed, killed, killed, DoNothing, MoveForward, MoveForward (killed), DoNothing (killed), DoNothing, MoveForward
MoveForward (ignored), RotateRight45, RotateRight45, MoveForward (ignored), RotateRight45, killed, killed, killed, RotateRight45 (killed), MoveForward (killed), killed, killed, RotateRight45, killed, killed, killed, RotateRight45 (killed), MoveForward (killed), killed, killed, RotateRight45, MoveForward
MoveForward (ignored), DoNothing, DoNothing, MoveForward (ignored), DoNothing, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed, killed, killed, killed, killed, DoNothing, MoveForward
MoveForward (ignored), RotateRight45, RotateRight45, MoveForward (ignored), RotateRight45, killed, killed, killed, killed, killed, killed, killed, RotateRight45, killed, killed, killed, killed, killed, killed, killed, RotateRight45 (killed), MoveForward (killed)
MoveForward (ignored), DoNothing, DoNothing, MoveForward (ignored), DoNothing, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed, killed, killed, killed, killed, killed, killed
MoveForward (ignored), RotateRight45, RotateRight45, MoveForward (ignored), RotateRight45, killed, killed, killed, killed, killed, killed, killed, RotateRight45, killed, killed, killed, killed, killed, killed, killed, killed, killed
MoveForward (ignored), DoNothing, DoNothing, MoveForward (ignored), DoNothing, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed, killed, killed, killed, killed, killed, killed
MoveForward (ignored), RotateRight45, RotateRight45, MoveForward (ignored), RotateRight45, killed, killed, killed, killed, killed, killed, killed, RotateRight45, killed, killed, killed, killed, killed, killed, killed, killed, killed
MoveForward (ignored), DoNothing, DoNothing, MoveForward (ignored), DoNothing, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed, killed, killed, killed, killed, killed, killed
MoveForward (ignored), RotateRight45, RotateRight45, MoveForward (ignored), RotateRight45, killed, killed, killed, killed, killed, killed, killed, RotateRight45, killed, killed, killed, killed, killed, killed, killed, killed, killed
MoveForward (ignored), DoNothing, DoNothing, MoveForward (ignored), DoNothing, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed, killed, killed, killed, killed, killed, killed
MoveForward (ignored), RotateRight45, RotateRight45, MoveForward (ignored), RotateRight45, killed, killed, killed, killed, killed, killed, killed, RotateRight45, killed, killed, killed, killed, killed, killed, killed, killed, killed
MoveForward (ignored), DoNothing, DoNothing, MoveForward (ignored), DoNothing, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed, killed, killed, killed, killed, killed, killed
MoveForward (ignored), RotateRight45, RotateRight45, MoveForward (ignored), RotateRight45, killed, killed, killed, killed, killed, killed, killed, RotateRight45, killed, killed, killed, killed, killed, killed, killed, killed, killed
MoveForward (ignored), DoNothing, DoNothing, MoveForward (ignored), DoNothing, killed, killed, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed, killed, killed, killed, killed, killed, killed
MoveForward (ignored), RotateRight45, RotateRight45, MoveForward (ignored), RotateRight45, killed, killed, killed, killed, killed, killed, killed, RotateRight45, killed, killed, killed, killed, killed, killed, killed, killed, killed
