RotateRight90, Shoot, RotateRight90, Shoot, RotateRight90, Shoot, Shoot, Shoot, RotateRight90, RotateRight90, RotateRight90, Shoot, Shoot, RotateRight90, RotateRight90, RotateRight90, RotateRight90, RotateRight90, Shoot, Shoot, Shoot, Shoot
RotateLeft90, Shoot (ignored), RotateLeft90 (killed), Shoot (ignored), RotateLeft90, Shoot (ignored), Shoot (ignored), Shoot (ignored), RotateLeft90, RotateLeft90, RotateLeft90, Shoot (ignored), Shoot (ignored), RotateLeft90, RotateLeft90, RotateLeft90, RotateLeft90, RotateLeft90, Shoot (ignored), Shoot (ignored), Shoot (ignored), Shoot (ignored)
Shoot, Shoot (ignored), killed, Shoot (ignored), Shoot, Shoot (ignored), Shoot (ignored), Shoot (ignored), Shoot, Shoot, Shoot, Shoot (ignored), Shoot (ignored), Shoot, Shoot, Shoot, Shoot, Shoot, Shoot (ignored), Shoot (ignored), Shoot (ignored), Shoot (ignored)
RotateRight90, Shoot (ignored), killed, Shoot (ignored), RotateRight90, Shoot (ignored), Shoot (ignored), Shoot (ignored), RotateRight90, RotateRight90, RotateRight90, Shoot (ignored), Shoot (ignored), RotateRight90, RotateRight90, RotateRight90, RotateRight90, RotateRight90, Shoot (ignored), Shoot (ignored), Shoot (ignored), Shoot (ignored)
RotateLeft90, Shoot (ignored), killed, Shoot (ignored), RotateLeft90, Shoot (ignored), Shoot (ignored), Shoot (ignored), RotateLeft90, RotateLeft90, RotateLeft90, Shoot (ignored), Shoot (ignored), RotateLeft90, RotateLeft90, RotateLeft90, RotateLeft90, RotateLeft90, Shoot (ignored), Shoot (ignored), Shoot (ignored), Shoot (ignored)
Shoot (ignored), Shoot, killed, Shoot, Shoot (ignored), Shoot, Shoot, Shoot, Shoot (ignored), Shoot (ignored), Shoot (ignored), Shoot, Shoot, Shoot (ignored), Shoot (ignored), Shoot (ignored), Shoot (ignored), Shoot (ignored), Shoot, Shoot, Shoot, Shoot
RotateRight90, Shoot (ignored), killed, Shoot (ignored), RotateRight90, Shoot (ignored), Shoot (ignored), Shoot (ignored), RotateRight90, RotateRight90, RotateRight90, Shoot (ignored), Shoot (ignored), RotateRight90, RotateRight90, RotateRight90, RotateRight90, RotateRight90, Shoot (ignored), Shoot (ignored), Shoot (ignored), Shoot (ignored)
RotateLeft90, Shoot (ignored), killed, Shoot (ignored), RotateLeft90, Shoot (ignored), Shoot (ignored), Shoot (ignored), RotateLeft90, RotateLeft90, RotateLeft90, Shoot (ignored), Shoot (ignored), RotateLeft90, RotateLeft90, RotateLeft90, RotateLeft90, RotateLeft90, Shoot (ignored), Shoot (ignored), Shoot (ignored), Shoot (ignored)
Shoot, Shoot (ignored), killed, Shoot (ignored), Shoot, Shoot (ignored), Shoot (ignored), Shoot (ignored), Shoot, Shoot, Shoot, Shoot (ignored), Shoot (ignored), Shoot, Shoot, Shoot, Shoot, Shoot, Shoot (ignored), Shoot (ignored), Shoot (ignored), Shoot (ignored)
RotateRight90, Shoot (ignored), killed, Shoot (ignored), RotateRight90, Shoot (ignored), Shoot (ignored), Shoot (ignored), RotateRight90, RotateRight90, RotateRight90, Shoot (ignored), Shoot (ignored), RotateRight90, RotateRight90, RotateRight90, RotateRight90, RotateRight90, Shoot (ignored), Shoot (ignored), Shoot (ignored), Shoot (ignored)
RotateLeft90, Shoot, killed, Shoot, RotateLeft90, Shoot, Shoot, Shoot, RotateLeft90, RotateLeft90, RotateLeft90, Shoot, Shoot, RotateLeft90, RotateLeft90, RotateLeft90, RotateLeft90, RotateLeft90, Shoot, Shoot, Shoot, Shoot
Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), Shoot (ignored), Shoot (ignored), Shoot (ignored), Shoot (ignored), Shoot (ignored), Shoot (ignored), Shoot (ignored), Shoot (ignored), Shoot (ignored), Shoot (ignored), Shoot (ignored), Shoot (ignored), Shoot (ignored), Shoot (ignored), Shoot (ignored), Shoot (ignored)
RotateRight90, Shoot (ignored), killed, Shoot (ignored), RotateRight90, Shoot (ignored), Shoot (ignored), Shoot (ignored), RotateRight90, RotateRight90, RotateRight90, Shoot (ignored), Shoot (ignored), RotateRight90, RotateRight90, RotateRight90, RotateRight90, RotateRight90, Shoot (ignored), Shoot (ignored), Shoot (ignored), Shoot (ignored)
RotateLeft90, Shoot (ignored), killed, Shoot (ignored), RotateLeft90, Shoot (ignored), Shoot (ignored), Shoot (ignored), RotateLeft90, RotateLeft90, RotateLeft90, Shoot (ignored), Shoot (ignored), RotateLeft90, RotateLeft90, RotateLeft90, RotateLeft90, RotateLeft90, Shoot (ignored) (killed), Shoot (ignored), Shoot (ignored), Shoot (ignored)
Shoot, Shoot (ignored), killed, Shoot (ignored), Shoot, Shoot (ignored), Shoot (ignored), Shoot (ignored), Shoot, Shoot (killed), Shoot, Shoot (ignored), Shoot (ignored), Shoot, Shoot, Shoot, Shoot, Shoot, killed, Shoot (ignored), Shoot (ignored), Shoot (ignored)
RotateRight90, Shoot, killed, Shoot, RotateRight90, Shoot, Shoot, Shoot, RotateRight90, killed, RotateRight90, Shoot, Shoot, RotateRight90, RotateRight90, RotateRight90, RotateRight90, RotateRight90, killed, Shoot, Shoot, Shoot
RotateLeft90, Shoot (ignored), killed, Shoot (ignored), RotateLeft90, Shoot (ignored), Shoot (ignored), Shoot (ignored), RotateLeft90, killed, RotateLeft90, Shoot (ignored), Shoot (ignored), RotateLeft90, RotateLeft90, RotateLeft90, RotateLeft90, RotateLeft90, killed, Shoot (ignored), Shoot (ignored), Shoot (ignored)
Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), Shoot (ignored), Shoot (ignored), Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), Shoot (ignored), Shoot (ignored)
RotateRight90, Shoot (ignored), killed, Shoot (ignored), RotateRight90, Shoot (ignored), Shoot (ignored), Shoot (ignored), RotateRight90, killed, RotateRight90, Shoot (ignored), Shoot (ignored), RotateRight90, RotateRight90, RotateRight90, RotateRight90, RotateRight90, killed, Shoot (ignored), Shoot (ignored), Shoot (ignored)
RotateLeft90, Shoot (ignored), killed, Shoot (ignored), RotateLeft90, Shoot (ignored), Shoot (ignored), Shoot (ignored), RotateLeft90, killed, RotateLeft90, Shoot (ignored), Shoot (ignored), RotateLeft90, RotateLeft90, RotateLeft90, RotateLeft90, RotateLeft90, killed, Shoot (ignored), Shoot (ignored), Shoot (ignored)
