RotateRight90, GetBattleInfo, GetBattleInfo, RotateRight90, GetBattleInfo, RotateRight90, RotateRight90, GetBattleInfo, GetBattleInfo, RotateRight90, RotateRight90, GetBattleInfo, GetBattleInfo, RotateRight90, RotateRight90, GetBattleInfo, GetBattleInfo, RotateRight90, RotateRight90, GetBattleInfo, GetBattleInfo, RotateRight90
RotateLeft90, GetBattleInfo, RotateLeft90, RotateLeft90, Shoot, RotateLeft90, RotateLeft90, Shoot, Shoot, RotateLeft90, RotateLeft90, Shoot, Shoot, RotateLeft90, RotateLeft90, Shoot, Shoot, RotateLeft90, RotateLeft90, Shoot, Shoot, RotateLeft90
Shoot, MoveForward, GetBattleInfo, Shoot, RotateLeft45, Shoot, Shoot, RotateRight90, RotateRight90, Shoot, Shoot (killed), RotateRight45, RotateLeft45, Shoot, Shoot, RotateLeft90, RotateRight90, Shoot, Shoot, RotateLeft45, RotateLeft90, Shoot
RotateRight90, RotateLeft45, RotateLeft45, RotateRight90, GetBattleInfo, RotateRight90, RotateRight90, MoveForward, RotateRight45, RotateRight90, killed, MoveForward (killed), MoveForward, RotateRight90, RotateRight90, RotateLeft45, RotateRight45, RotateRight90, RotateRight90, MoveForward, RotateLeft45, RotateRight90
RotateLeft90, Shoot, Shoot, RotateLeft90, MoveForward, RotateLeft90, RotateLeft90, GetBattleInfo, MoveForward, RotateLeft90, killed, killed, RotateLeft90, RotateLeft90, RotateLeft90, MoveForward, MoveForward, RotateLeft90, RotateLeft90, DoNothing, MoveForward, RotateLeft90 (killed)
Shoot (ignored), DoNothing, MoveForward, Shoot (ignored), RotateRight45, Shoot (ignored), Shoot (ignored), MoveForward, GetBattleInfo, Shoot (ignored), killed, killed, DoNothing, Shoot (ignored), Shoot (ignored), DoNothing, DoNothing, Shoot (ignored), Shoot (ignored), DoNothing, DoNothing, killed
RotateRight90, DoNothing, MoveForward, RotateRight90, MoveForward, RotateRight90, RotateRight90, MoveForward, RotateLeft90, RotateRight90, killed, killed, Shoot, RotateRight90 (killed), RotateRight90, Shoot, Shoot, RotateRight90 (killed), RotateRight90 (killed), Shoot, Shoot, killed
RotateLeft90, DoNothing, MoveForward, RotateLeft90, MoveForward, RotateLeft90, RotateLeft90, RotateRight90, Shoot, RotateLeft90, killed, killed, GetBattleInfo, killed, RotateLeft90, DoNothing, DoNothing, killed, killed, DoNothing, DoNothing, killed
Shoot, DoNothing, RotateLeft90, Shoot (killed), Shoot (killed), Shoot, Shoot, MoveForward, MoveForward, Shoot, killed, killed, RotateRight90, killed, Shoot, GetBattleInfo, DoNothing, killed, killed, DoNothing, DoNothing, killed
RotateRight90, Shoot, Shoot, killed, killed, RotateRight90, RotateRight90, RotateLeft45, MoveForward, RotateRight90, killed, killed, RotateRight90, killed, RotateRight90 (killed), MoveForward, GetBattleInfo, killed, killed, DoNothing, DoNothing, killed
RotateLeft90, DoNothing, DoNothing, killed, killed, RotateLeft90, RotateLeft90, Shoot, MoveForward, RotateLeft90, killed, killed, MoveForward, killed, killed, MoveForward, MoveForward, killed, killed, GetBattleInfo, DoNothing, killed
Shoot (ignored), DoNothing, DoNothing, killed, killed, Shoot (ignored), Shoot (ignored), MoveForward, MoveForward, Shoot (ignored), killed, killed, MoveForward, killed, killed, Shoot, RotateLeft45, killed, killed, MoveForward, GetBattleInfo, killed
RotateRight90, GetBattleInfo, DoNothing, killed, killed, RotateRight90, killed, MoveForward, Shoot, RotateRight90 (killed), killed, killed, MoveForward, killed, killed, MoveForward, Shoot, killed, killed, RotateRight90, RotateLeft90, killed
RotateLeft90 (killed), MoveForward, GetBattleInfo, killed, killed, RotateLeft90, killed, DoNothing, DoNothing, killed, killed, killed, MoveForward, killed, killed, MoveForward, MoveForward, killed, killed, RotateRight45 (killed), RotateLeft45, killed
killed, RotateRight45, RotateLeft45, killed, killed, Shoot, killed, GetBattleInfo, DoNothing, killed, killed, killed, RotateLeft90, killed, killed, DoNothing, MoveForward, killed, killed, killed, MoveForward, killed
killed, MoveForward (killed), MoveForward (killed), killed, killed, RotateRight90, killed, RotateRight90, GetBattleInfo, killed, killed, killed, Shoot, killed, killed, DoNothing, RotateRight45, killed, killed, killed, MoveForward, killed
killed, killed, killed, killed, killed, RotateLeft90, killed, RotateRight90, RotateLeft90, killed, killed, killed, DoNothing, killed, killed, Shoot, MoveForward, killed, killed, killed, MoveForward, killed
killed, killed, killed, killed, killed, Shoot (ignored) (killed), killed, MoveForward, MoveForward, killed, killed, killed, GetBattleInfo, killed, killed, DoNothing, MoveForward, killed, killed, killed, RotateRight90, killed
Player 2 won with 6 tanks still alive
