Shoot, MoveForward, Shoot, MoveForward, Shoot, MoveForward, Shoot, MoveForward, MoveForward (killed), MoveForward, MoveForward, Shoot, Shoot, MoveForward, MoveForward, Shoot, Shoot, Shoot, Shoot, MoveForward, Shoot, MoveForward, MoveForward, Shoot, MoveForward (ignored)
Shoot (ignored), MoveForward, Shoot (ignored), MoveForward, Shoot (ignored), MoveForward, Shoot (ignored), MoveForward (killed), killed, MoveForward, MoveForward, Shoot (ignored), Shoot (ignored), MoveForward, MoveForward, Shoot (ignored), Shoot (ignored), Shoot (ignored), Shoot (ignored), MoveForward, Shoot (ignored), MoveForward, MoveForward, Shoot (ignored), MoveForward (ignored)
Shoot (ignored), MoveForward, Shoot (ignored) (killed), MoveForward, Shoot (ignored) (killed), MoveForward, Shoot (ignored), killed, killed, MoveForward, MoveForward, Shoot (ignored), Shoot (ignored), MoveForward, MoveForward, Shoot (ignored), Shoot (ignored), Shoot (ignored), Shoot (ignored), MoveForward (killed), Shoot (ignored), MoveForward, MoveForward (killed), Shoot (ignored), MoveForward (ignored)
Shoot (ignored), MoveForward, killed, MoveForward, killed, MoveForward (ignored), Shoot (ignored), killed, killed, MoveForward, MoveForward, Shoot (ignored), Shoot (ignored), MoveForward, MoveForward, Shoot (ignored), Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), MoveForward, killed, Shoot (ignored), MoveForward (ignored)
Shoot (ignored), MoveForward, killed, MoveForward, killed, MoveForward (ignored), Shoot (ignored), killed, killed, MoveForward, MoveForward, Shoot (ignored), Shoot (ignored), MoveForward, MoveForward, killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), MoveForward, killed, Shoot (ignored), MoveForward (ignored)
Shoot, MoveForward, killed, MoveForward (killed), killed, MoveForward (ignored), Shoot, killed, killed, MoveForward, MoveForward, Shoot, Shoot, MoveForward, MoveForward, killed, Shoot, Shoot, Shoot, killed, Shoot, MoveForward, killed, Shoot, MoveForward (ignored)
Shoot (ignored), MoveForward, killed, killed, killed, MoveForward (ignored), Shoot (ignored), killed, killed, MoveForward, MoveForward, Shoot (ignored), Shoot (ignored), MoveForward, MoveForward, killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), MoveForward, killed, Shoot (ignored), MoveForward (ignored)
Shoot (ignored), MoveForward (ignored), killed, killed, killed, MoveForward (ignored), Shoot (ignored), killed, killed, MoveForward, MoveForward (killed), Shoot (ignored), Shoot (ignored), MoveForward (ignored), MoveForward (killed), killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), MoveForward, killed, Shoot (ignored), MoveForward (ignored)
Shoot (ignored), MoveForward (ignored), killed, killed, killed, MoveForward (ignored), killed, killed, killed, MoveForward, killed, Shoot (ignored), Shoot (ignored), MoveForward (ignored), killed, killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), MoveForward, killed, Shoot (ignored), MoveForward (ignored)
Shoot (ignored), MoveForward (ignored), killed, killed, killed, MoveForward (ignored), killed, killed, killed, MoveForward, killed, Shoot (ignored), Shoot (ignored), MoveForward (ignored), killed, killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, Shoot (ignored), MoveForward (killed), killed, Shoot (ignored), MoveForward (ignored)
Shoot, MoveForward (ignored), killed, killed, killed, MoveForward (ignored), killed, killed, killed, MoveForward, killed, Shoot, Shoot, MoveForward (ignored), killed, killed, Shoot, Shoot, Shoot, killed, Shoot, killed, killed, Shoot, MoveForward (ignored)
