Shoot, MoveForward, Shoot, MoveForward (ignored), MoveForward, MoveForward, Shoot, Shoot, Shoot, MoveForward, MoveForward, Shoot, MoveForward, Shoot, MoveForward, Shoot, MoveForward, Shoot, MoveForward, Shoot, MoveForward, MoveForward, MoveForward, Shoot, Shoot
Shoot (ignored), MoveForward, Shoot (ignored), MoveForward (ignored), MoveForward, MoveForward, Shoot (ignored), Shoot (ignored), Shoot (ignored), MoveForward, killed, Shoot (ignored), MoveForward, Shoot (ignored), MoveForward, Shoot (ignored), MoveForward, Shoot (ignored), MoveForward, Shoot (ignored), killed, MoveForward, MoveForward, Shoot (ignored), Shoot (ignored)
Shoot (ignored), MoveForward, Shoot (ignored), MoveForward (ignored), MoveForward, MoveForward, Shoot (ignored), Shoot (ignored), Shoot (ignored), MoveForward, killed, Shoot (ignored), MoveForward, Shoot (ignored), MoveForward, Shoot (ignored), MoveForward, Shoot (ignored), MoveForward, Shoot (ignored), killed, MoveForward, MoveForward, Shoot (ignored), Shoot (ignored)
Shoot (ignored), MoveForward, Shoot (ignored), MoveForward (ignored), MoveForward, MoveForward, Shoot (ignored), Shoot (ignored), Shoot (ignored), MoveForward, killed, Shoot (ignored), MoveForward, Shoot (ignored), MoveForward, Shoot (ignored), MoveForward, Shoot (ignored), MoveForward, Shoot (ignored), killed, MoveForward, MoveForward (ignored), Shoot (ignored), Shoot (ignored)
Shoot (ignored), MoveForward, Shoot (ignored), MoveForward (ignored), MoveForward, MoveForward, killed, Shoot (ignored), Shoot (ignored), MoveForward, killed, Shoot (ignored), MoveForward, Shoot (ignored), MoveForward, Shoot (ignored), MoveForward, Shoot (ignored), MoveForward, Shoot (ignored), killed, MoveForward, MoveForward (ignored), Shoot (ignored), Shoot (ignored)
Shoot, MoveForward, Shoot, MoveForward (ignored), MoveForward, MoveForward, killed, Shoot, Shoot, MoveForward, killed, Shoot, MoveForward, Shoot, MoveForward (killed), Shoot, MoveForward, Shoot, MoveForward, Shoot, killed, MoveForward, MoveForward (ignored), Shoot, Shoot
Shoot (ignored), MoveForward, Shoot (ignored), MoveForward (ignored), MoveForward, MoveForward, killed, Shoot (ignored), Shoot (ignored), MoveForward, killed, Shoot (ignored), MoveForward, Shoot (ignored), killed, Shoot (ignored), MoveForward, Shoot (ignored), MoveForward, Shoot (ignored), killed, MoveForward, MoveForward (ignored), Shoot (ignored), Shoot (ignored)
Shoot (ignored), MoveForward (ignored), Shoot (ignored), MoveForward (ignored), MoveForward, MoveForward (ignored), killed, Shoot (ignored), Shoot (ignored), MoveForward (killed), killed, Shoot (ignored), MoveForward (killed), Shoot (ignored), killed, Shoot (ignored), MoveForward, Shoot (ignored), MoveForward, Shoot (ignored), killed, MoveForward (ignored), MoveForward (ignored), Shoot (ignored), Shoot (ignored)
Shoot (ignored), MoveForward (ignored), Shoot (ignored), MoveForward (ignored), MoveForward, MoveForward (ignored), killed, Shoot (ignored), Shoot (ignored), killed, killed, Shoot (ignored), killed, Shoot (ignored), killed, Shoot (ignored), MoveForward, Shoot (ignored), MoveForward, Shoot (ignored), killed, MoveForward (ignored), MoveForward (ignored), Shoot (ignored), Shoot (ignored)
Shoot (ignored), MoveForward, Shoot (ignored), MoveForward (ignored), MoveForward, MoveForward (ignored), killed, Shoot (ignored), Shoot (ignored), killed, killed, Shoot (ignored), killed, Shoot (ignored), killed, Shoot (ignored), MoveForward (killed), Shoot (ignored), MoveForward, Shoot (ignored), killed, MoveForward (ignored), MoveForward (ignored), Shoot (ignored), Shoot (ignored)
Shoot, MoveForward, Shoot, MoveForward (ignored), MoveForward, MoveForward (ignored), killed, Shoot, Shoot, killed, killed, Shoot, killed, Shoot, killed, Shoot, killed, Shoot, MoveForward (killed), Shoot (killed), killed, MoveForward (ignored), MoveForward (ignored), Shoot, Shoot
