GetBattleInfo, RotateRight90, GetBattleInfo, RotateRight90, RotateRight90, RotateRight90, GetBattleInfo, GetBattleInfo, GetBattleInfo, RotateRight90, RotateRight90, GetBattleInfo, RotateRight90, GetBattleInfo, RotateRight90, GetBattleInfo, RotateRight90, GetBattleInfo, RotateRight90, GetBattleInfo, RotateRight90, RotateRight90, RotateRight90, GetBattleInfo, GetBattleInfo
RotateLeft45, RotateLeft90, RotateRight90, RotateLeft90, RotateLeft90, RotateLeft90, RotateLeft45, RotateLeft45, RotateRight45, RotateLeft90, RotateLeft90, MoveForward, RotateLeft90, RotateLeft90, RotateLeft90, RotateLeft45, RotateLeft90, RotateRight45, RotateLeft90, RotateLeft45, RotateLeft90, RotateLeft90, RotateLeft90, RotateRight90, RotateRight90
RotateLeft90, Shoot, MoveForward, Shoot, Shoot, Shoot, MoveForward, MoveForward, MoveForward, Shoot, Shoot, RotateLeft90, Shoot, Shoot, Shoot, MoveForward, Shoot (killed), MoveForward, Shoot, MoveForward, Shoot, Shoot, Shoot, MoveForward, Shoot
GetBattleInfo, RotateRight90, GetBattleInfo, RotateRight90, RotateRight90, RotateRight90, GetBattleInfo, GetBattleInfo, GetBattleInfo, RotateRight90, RotateRight90, GetBattleInfo, RotateRight90, GetBattleInfo, RotateRight90 (killed), GetBattleInfo, killed, GetBattleInfo, RotateRight90, GetBattleInfo, RotateRight90 (killed), RotateRight90, RotateRight90, GetBattleInfo, GetBattleInfo
MoveForward, RotateLeft90, MoveForward, RotateLeft90, RotateLeft90, RotateLeft90, MoveForward, RotateLeft90, RotateLeft90, RotateLeft90, RotateLeft90, MoveForward, RotateLeft90, MoveForward, killed, MoveForward, killed, RotateLeft90, RotateLeft90, MoveForward, killed, RotateLeft90, RotateLeft90, RotateRight90, DoNothing
MoveForward, Shoot (ignored), RotateRight45, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, Shoot, MoveForward, Shoot (ignored), Shoot (ignored) (killed), MoveForward, Shoot (ignored), RotateRight45, killed, RotateRight45, killed, MoveForward, Shoot (ignored), RotateRight45, killed, Shoot (ignored), Shoot (ignored), Shoot, DoNothing
GetBattleInfo, RotateRight90, GetBattleInfo, RotateRight90, RotateRight90, RotateRight90, killed, GetBattleInfo, GetBattleInfo, RotateRight90, killed, GetBattleInfo, RotateRight90, GetBattleInfo, killed, GetBattleInfo, killed, GetBattleInfo, RotateRight90, GetBattleInfo, killed, RotateRight90, RotateRight90, GetBattleInfo, GetBattleInfo
RotateRight90, RotateLeft90, RotateLeft45, RotateLeft90, RotateLeft90, RotateLeft90, killed, RotateLeft45, RotateLeft45, RotateLeft90, killed, MoveForward, RotateLeft90, RotateRight90, killed, Shoot, killed, MoveForward, RotateLeft90, Shoot, killed, killed, RotateLeft90, DoNothing, RotateLeft90
Shoot, Shoot, RotateLeft90, Shoot, Shoot, Shoot, killed, RotateLeft90, RotateLeft90, Shoot, killed, RotateLeft45, Shoot, MoveForward, killed, DoNothing, killed, MoveForward, killed, DoNothing, killed, killed, Shoot, DoNothing, MoveForward
GetBattleInfo, RotateRight90, GetBattleInfo, RotateRight90, RotateRight90, killed, killed, GetBattleInfo, GetBattleInfo, RotateRight90, killed, GetBattleInfo, RotateRight90, GetBattleInfo, killed, GetBattleInfo, killed, GetBattleInfo, killed, GetBattleInfo, killed, killed, RotateRight90, GetBattleInfo, GetBattleInfo
RotateLeft45, RotateLeft90, RotateLeft45, RotateLeft90, RotateLeft90, killed, killed, MoveForward, MoveForward, RotateLeft90, killed, MoveForward, RotateLeft90, MoveForward, killed, RotateRight45, killed, RotateLeft45, killed, MoveForward, killed, killed, RotateLeft90, killed, RotateLeft45
