GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo
RotateLeft45, RotateRight90, GetBattleInfo, GetBattleInfo, RotateLeft45, RotateRight90, RotateLeft45, RotateLeft45, Shoot, RotateRight90, Shoot, Shoot, Shoot, RotateLeft90, Shoot, Shoot, RotateLeft90, Shoot, MoveForward, RotateLeft45, Shoot, RotateRight90, RotateLeft45, RotateRight90, RotateRight90
Shoot, RotateRight45, RotateRight90, RotateLeft45 (killed), GetBattleInfo, RotateRight45, GetBattleInfo, MoveForward, RotateRight45, RotateRight45, RotateLeft90, RotateLeft45, RotateLeft90, Shoot (killed), RotateRight90, RotateLeft45, Shoot (killed), RotateRight45, MoveForward, MoveForward, MoveForward, RotateRight45, MoveForward, RotateRight45, Shoot
RotateLeft90, MoveForward, RotateRight45, killed, MoveForward, GetBattleInfo, MoveForward, GetBattleInfo, MoveForward, MoveForward, RotateLeft45, MoveForward, RotateLeft45, killed, RotateRight45, MoveForward, killed, MoveForward, RotateLeft45, MoveForward, RotateLeft45, MoveForward, RotateLeft45, MoveForward, RotateRight45
RotateRight90, MoveForward, MoveForward, killed, MoveForward, MoveForward (killed), MoveForward, RotateLeft90 (killed), GetBattleInfo (killed), GetBattleInfo, MoveForward (killed), RotateLeft90, MoveForward, killed, MoveForward (killed), MoveForward (killed), killed, RotateRight90 (killed), Shoot (killed), RotateRight45, MoveForward (killed), RotateRight45, MoveForward, RotateRight45, MoveForward
GetBattleInfo, MoveForward, MoveForward, killed, MoveForward (killed), killed, MoveForward, killed, killed, MoveForward, killed, GetBattleInfo, RotateRight45, killed, killed, killed, killed, killed, killed, Shoot, killed, Shoot (killed), RotateLeft45, Shoot, RotateRight45
RotateRight90, RotateLeft45, RotateLeft45, killed, killed, killed, RotateLeft90, killed, killed, MoveForward, killed, RotateLeft90, GetBattleInfo, killed, killed, killed, killed, killed, killed, RotateLeft45, killed, killed, Shoot, MoveForward, MoveForward
GetBattleInfo, MoveForward, Shoot, killed, killed, killed, MoveForward, killed, killed, MoveForward, killed, MoveForward, Shoot, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, RotateLeft45, RotateLeft45, RotateRight45
RotateRight90, MoveForward, MoveForward, killed, killed, killed, RotateRight90, killed, killed, RotateRight45, killed, GetBattleInfo, GetBattleInfo, killed, killed, killed, killed, killed, killed, RotateRight90, killed, killed, RotateRight45, MoveForward, Shoot
GetBattleInfo, RotateRight45, RotateLeft90, killed, killed, killed, MoveForward (killed), killed, killed, MoveForward, killed, GetBattleInfo, GetBattleInfo (killed), killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, GetBattleInfo, RotateRight90, RotateLeft90
RotateLeft45, MoveForward, RotateRight90, killed, killed, killed, killed, killed, killed, MoveForward (killed), killed, RotateRight45 (killed), killed, killed, killed, killed, killed, killed, killed, RotateRight90, killed, killed, RotateLeft45, GetBattleInfo, RotateRight90
MoveForward, MoveForward, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, Shoot, RotateLeft90, GetBattleInfo
RotateRight45, RotateLeft90, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, GetBattleInfo, RotateLeft45, GetBattleInfo
MoveForward, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, RotateLeft90, MoveForward, GetBattleInfo
RotateLeft45, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight45, killed, killed, GetBattleInfo, MoveForward, RotateLeft90
Shoot, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, RotateRight90 (killed), GetBattleInfo, MoveForward
GetBattleInfo, RotateRight90, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, GetBattleInfo, GetBattleInfo
RotateRight90, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, GetBattleInfo, MoveForward
GetBattleInfo, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, MoveForward, RotateRight45
RotateLeft90, RotateLeft45, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, MoveForward, MoveForward
MoveForward, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, RotateLeft45, GetBattleInfo
RotateRight45, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, RotateRight45, killed, killed, killed, GetBattleInfo, RotateLeft45
GetBattleInfo, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, MoveForward, MoveForward
RotateRight45, MoveForward, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, MoveForward, RotateLeft45
MoveForward, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, MoveForward, GetBattleInfo
