GetBattleInfo, DoNothing, GetBattleInfo, DoNothing, GetBattleInfo, DoNothing, GetBattleInfo, DoNothing, DoNothing, DoNothing, DoNothing, GetBattleInfo, GetBattleInfo, DoNothing, DoNothing, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, DoNothing, GetBattleInfo, DoNothing, DoNothing, GetBattleInfo, DoNothing
RotateLeft90, RotateRight45, GetBattleInfo, RotateRight45, RotateLeft45, RotateRight45, RotateLeft45, RotateRight45, RotateRight45, RotateRight45, RotateRight45, RotateRight45, RotateLeft45, RotateRight45, RotateRight45, RotateLeft90, RotateLeft45, RotateRight45, RotateLeft45, RotateRight45, RotateRight90, RotateRight45, RotateRight45, RotateRight90, RotateRight45
RotateLeft45, DoNothing, RotateRight90, DoNothing, GetBattleInfo, DoNothing, MoveForward, DoNothing, DoNothing, DoNothing, DoNothing, MoveForward, MoveForward, DoNothing, DoNothing, Shoot, MoveForward, MoveForward (ignored), MoveForward, DoNothing, RotateRight45, DoNothing, DoNothing, Shoot, DoNothing
MoveForward, RotateRight45, RotateRight45, RotateRight45, MoveForward, RotateRight45, GetBattleInfo, RotateRight45, RotateRight45, RotateRight45, RotateRight45, RotateLeft90, RotateLeft90, RotateRight45, RotateRight45, RotateLeft90, MoveForward, MoveForward (ignored), MoveForward, RotateRight45, MoveForward, RotateRight45, RotateRight45 (killed), MoveForward, RotateRight45
MoveForward, DoNothing, MoveForward (ignored), DoNothing, MoveForward, DoNothing, MoveForward (ignored), DoNothing, DoNothing, DoNothing, DoNothing, GetBattleInfo, MoveForward (ignored), DoNothing, DoNothing, RotateRight90, RotateRight45, RotateRight90, RotateRight45, DoNothing, RotateRight45, DoNothing, killed, MoveForward, DoNothing
RotateRight90, RotateRight45, RotateLeft45, RotateRight45, MoveForward, RotateRight45, MoveForward (ignored), RotateRight45, RotateRight45, RotateRight45, RotateRight45, RotateRight90, GetBattleInfo, RotateRight45, RotateRight45, GetBattleInfo, Shoot, RotateRight45, Shoot, RotateRight45, Shoot, RotateRight45, killed, RotateLeft90, RotateRight45
Shoot, DoNothing, MoveForward (ignored), DoNothing, RotateLeft90, DoNothing, MoveForward (ignored), DoNothing, DoNothing, DoNothing, DoNothing, MoveForward, RotateRight90, killed, DoNothing, GetBattleInfo, MoveForward, Shoot, RotateLeft45, DoNothing, MoveForward, DoNothing, killed, RotateRight90, DoNothing
MoveForward, killed, MoveForward (ignored), RotateRight45, MoveForward (killed), RotateRight45, RotateLeft90, RotateRight45, RotateRight45 (killed), RotateRight45, RotateRight45, RotateLeft90, RotateRight90, killed, RotateRight45, RotateLeft90, GetBattleInfo, RotateRight90, MoveForward (ignored), RotateRight45, RotateLeft45, RotateRight45, killed, Shoot, RotateRight45
RotateLeft90, killed, RotateRight45, DoNothing, killed, DoNothing, MoveForward, DoNothing, killed, DoNothing, DoNothing, MoveForward, MoveForward (ignored), killed, DoNothing, Shoot, RotateRight45, GetBattleInfo, RotateRight90, DoNothing, MoveForward (ignored), DoNothing, killed, GetBattleInfo, DoNothing
RotateRight90, killed, Shoot, RotateRight45, killed, RotateRight45, RotateRight90, RotateRight45, killed, RotateRight45, RotateRight45, RotateLeft90, RotateLeft90, killed, RotateRight45, RotateLeft45, MoveForward (ignored), RotateRight45, GetBattleInfo, RotateRight45, RotateRight90, RotateRight45, killed, MoveForward, RotateRight45
GetBattleInfo, killed, RotateLeft90, DoNothing, killed, DoNothing, MoveForward, DoNothing, killed, DoNothing, DoNothing, RotateLeft45, MoveForward, killed, DoNothing, MoveForward (ignored), Shoot, MoveForward, RotateRight45, DoNothing, GetBattleInfo, DoNothing, killed, RotateLeft45, DoNothing
RotateLeft45, killed, RotateRight90, RotateRight45, killed, RotateRight45, RotateLeft90, RotateRight45, killed, RotateRight45, RotateRight45, Shoot, RotateLeft90, killed, RotateRight45, RotateRight90, GetBattleInfo, GetBattleInfo, MoveForward (ignored), RotateRight45, RotateRight90, RotateRight45, killed, MoveForward, RotateRight45
MoveForward, killed, GetBattleInfo, DoNothing, killed, DoNothing, Shoot, DoNothing, killed, DoNothing, killed, RotateRight90, RotateLeft45, killed, DoNothing, RotateLeft90, GetBattleInfo, RotateRight90, RotateLeft45, DoNothing, RotateRight90, DoNothing, killed, GetBattleInfo, DoNothing
RotateLeft45, killed, MoveForward (ignored), RotateRight45, killed, RotateRight45, RotateLeft90, RotateRight45 (killed), killed, RotateRight45, killed, RotateRight90, Shoot, killed, RotateRight45, RotateRight90, GetBattleInfo, RotateRight90, GetBattleInfo, RotateRight45, MoveForward, RotateRight45, killed, RotateRight90, RotateRight45
killed, killed, MoveForward (ignored), DoNothing, killed, DoNothing, RotateRight90, killed, killed, DoNothing, killed, RotateLeft90, RotateRight90, killed, DoNothing, Shoot, RotateLeft45, MoveForward, RotateRight90, DoNothing, MoveForward, DoNothing (killed), killed, Shoot, DoNothing
killed, killed, RotateLeft45, RotateRight45, killed, RotateRight45, GetBattleInfo, killed, killed, RotateRight45, killed, RotateRight90, RotateRight90, killed, RotateRight45, GetBattleInfo, MoveForward, RotateLeft90, Shoot, RotateRight45, GetBattleInfo, killed, killed, RotateLeft90, RotateRight45
killed, killed, MoveForward (ignored), DoNothing, killed, DoNothing, MoveForward, killed, killed, DoNothing, killed, GetBattleInfo, RotateLeft90, killed, DoNothing, RotateRight90, RotateLeft45, RotateRight90, RotateLeft45, DoNothing, RotateRight45, killed, killed, RotateRight90, DoNothing
killed, killed, GetBattleInfo, RotateRight45, killed, RotateRight45, MoveForward, killed, killed, RotateRight45, killed, Shoot, GetBattleInfo, killed, RotateRight45, RotateRight45, MoveForward, GetBattleInfo, MoveForward (ignored), RotateRight45, MoveForward (ignored), killed, killed, GetBattleInfo, RotateRight45
killed, killed, RotateRight90, DoNothing, killed, DoNothing, RotateRight90, killed, killed, DoNothing, killed, GetBattleInfo, Shoot, killed, DoNothing, MoveForward, GetBattleInfo, RotateLeft45, GetBattleInfo, DoNothing, MoveForward (ignored), killed, killed, RotateLeft45, DoNothing
killed, killed, MoveForward, RotateRight45, killed, RotateRight45, MoveForward, killed, killed, RotateRight45, killed, GetBattleInfo, GetBattleInfo, killed, RotateRight45, RotateLeft45, RotateRight90, MoveForward (ignored), GetBattleInfo, RotateRight45, MoveForward (ignored), killed, killed, MoveForward, RotateRight45
killed, killed, RotateRight45, DoNothing, killed, DoNothing, GetBattleInfo, killed, killed, DoNothing, killed, GetBattleInfo, GetBattleInfo, killed, DoNothing, MoveForward (ignored), RotateRight90, MoveForward (ignored), MoveForward (ignored), DoNothing, RotateRight45, killed, killed, MoveForward, DoNothing
killed, killed, Shoot, RotateRight45, killed, RotateRight45, RotateRight90, killed, killed, RotateRight45, killed, GetBattleInfo, GetBattleInfo, killed, RotateRight45, GetBattleInfo, MoveForward, RotateLeft45, MoveForward (ignored), RotateRight45, Shoot, killed, killed, RotateLeft45, RotateRight45
killed, killed, RotateLeft90, DoNothing, killed, DoNothing, RotateRight45, killed, killed, DoNothing, killed, Shoot, GetBattleInfo, killed, DoNothing, RotateRight90, RotateRight45, MoveForward (ignored), MoveForward (ignored), DoNothing, GetBattleInfo, killed, killed, MoveForward, DoNothing
killed, killed, RotateRight90, RotateRight45, killed, RotateRight45, RotateLeft90, killed, killed, RotateRight45, killed, GetBattleInfo, RotateLeft90, killed, RotateRight45, RotateRight90, Shoot, MoveForward (ignored), MoveForward (ignored), RotateRight45, MoveForward, killed, killed, MoveForward, RotateRight45
killed, killed, GetBattleInfo, DoNothing, killed, DoNothing, RotateRight90, killed, killed, DoNothing, killed, GetBattleInfo, RotateRight90, killed, DoNothing, MoveForward (ignored), MoveForward, RotateRight45, MoveForward (ignored), DoNothing, MoveForward, killed, killed, RotateRight45, DoNothing
killed, killed, RotateRight90, RotateRight45, killed, RotateRight45, RotateLeft90, killed, killed, RotateRight45, killed, GetBattleInfo, GetBattleInfo, killed, RotateRight45, RotateRight90, RotateLeft45, MoveForward (ignored), MoveForward (ignored), RotateRight45, RotateLeft90, killed, killed, MoveForward, RotateRight45
killed, killed, Shoot, DoNothing, killed, DoNothing, RotateRight90, killed, killed, DoNothing, killed, GetBattleInfo, RotateRight90, killed, DoNothing, MoveForward (ignored), MoveForward (ignored), GetBattleInfo, RotateRight45, DoNothing, RotateRight90, killed, killed, MoveForward, DoNothing
killed, killed, GetBattleInfo, RotateRight45, killed, RotateRight45, RotateRight45, killed, killed, RotateRight45, killed, Shoot, RotateRight45, killed, RotateRight45, MoveForward (ignored), RotateRight45, RotateRight45, Shoot, RotateRight45, Shoot, killed, killed, GetBattleInfo, RotateRight45
killed, killed, killed, DoNothing, killed, DoNothing, RotateRight45, killed, killed, DoNothing, killed, GetBattleInfo, Shoot, killed, DoNothing, RotateLeft45, GetBattleInfo, MoveForward, MoveForward, DoNothing, GetBattleInfo, killed, killed, RotateRight45, DoNothing
killed, killed, killed, RotateRight45, killed, RotateRight45, RotateLeft90, killed, killed, RotateRight45, killed, RotateLeft90, RotateRight90, killed, RotateRight45, MoveForward, RotateLeft45, RotateLeft90, GetBattleInfo, RotateRight45, GetBattleInfo, killed, killed, Shoot, RotateRight45
killed, killed, killed, DoNothing, killed, DoNothing, GetBattleInfo, killed, killed, DoNothing, killed, RotateLeft45, RotateRight90, killed, DoNothing, MoveForward, MoveForward (ignored), MoveForward, GetBattleInfo, DoNothing (killed), GetBattleInfo, killed, killed, MoveForward, DoNothing
killed, killed, killed, RotateRight45, killed, RotateRight45, GetBattleInfo, killed, killed, RotateRight45, killed, GetBattleInfo, GetBattleInfo, killed, RotateRight45, GetBattleInfo, RotateLeft90, RotateLeft45, MoveForward, killed, GetBattleInfo, killed, killed, MoveForward, RotateRight45
killed, killed, killed, DoNothing, killed, DoNothing, GetBattleInfo, killed, killed, DoNothing, killed, GetBattleInfo, GetBattleInfo, killed, DoNothing, RotateLeft45, MoveForward (ignored), Shoot, GetBattleInfo, killed, Shoot, killed, killed, RotateLeft90, DoNothing
killed, killed, killed, RotateRight45, killed, RotateRight45, MoveForward (ignored), killed, killed, RotateRight45, killed, RotateLeft90, RotateLeft90, killed, RotateRight45, GetBattleInfo, RotateLeft45, MoveForward, Shoot, killed, GetBattleInfo, killed, killed, RotateRight90, RotateRight45
killed, killed, killed, DoNothing, killed, DoNothing, GetBattleInfo, killed, killed, DoNothing, killed, GetBattleInfo, GetBattleInfo, killed, DoNothing, GetBattleInfo, Shoot, RotateRight45, GetBattleInfo, killed, GetBattleInfo, killed, killed, Shoot, DoNothing
killed, killed, killed, RotateRight45, killed, RotateRight45, RotateRight90, killed, killed, RotateRight45, killed, MoveForward, MoveForward, killed, RotateRight45, RotateRight45, MoveForward, MoveForward (ignored), RotateLeft90, killed, GetBattleInfo, killed, killed, GetBattleInfo, RotateRight45
killed, killed, killed, DoNothing, killed, DoNothing, RotateRight90, killed, killed, DoNothing, killed, RotateRight90, RotateRight90, killed, DoNothing, RotateRight45, RotateRight45, GetBattleInfo, RotateRight90, killed, GetBattleInfo, killed, killed, RotateLeft45, DoNothing
killed, killed, killed, RotateRight45, killed, RotateRight45, MoveForward (ignored), killed, killed, RotateRight45, killed, MoveForward, MoveForward (ignored), killed, RotateRight45, RotateLeft45, GetBattleInfo, MoveForward (ignored), GetBattleInfo, killed, Shoot, killed, killed, MoveForward, RotateRight45
killed, killed, killed, DoNothing, killed, DoNothing, RotateRight90, killed, killed, DoNothing, killed, RotateRight45, MoveForward (ignored), killed, DoNothing, RotateRight45, RotateRight90, RotateRight45, Shoot, killed, GetBattleInfo, killed, killed, MoveForward, DoNothing
killed, killed, killed, RotateRight45, killed, RotateRight45, RotateLeft90, killed, killed, RotateRight45, killed, MoveForward (killed), RotateLeft45, killed, RotateRight45, RotateLeft45, RotateRight90, MoveForward (ignored), GetBattleInfo, killed, GetBattleInfo, killed, killed, MoveForward, RotateRight45
killed, killed, killed, DoNothing, killed, DoNothing, RotateLeft45, killed, killed, DoNothing, killed, killed, MoveForward, killed, DoNothing, RotateRight45, MoveForward, MoveForward (ignored), GetBattleInfo, killed, GetBattleInfo, killed, killed, RotateRight45, DoNothing
killed, killed, killed, RotateRight45, killed, RotateRight45, RotateLeft90, killed, killed, RotateRight45, killed, killed, MoveForward, killed, RotateRight45, RotateLeft45, RotateRight90, MoveForward (ignored), GetBattleInfo, killed, GetBattleInfo, killed, killed, Shoot, RotateRight45
killed, killed, killed, DoNothing, killed, DoNothing, RotateRight90, killed, killed, DoNothing, killed, killed, RotateLeft45, killed, DoNothing, RotateRight45, MoveForward, MoveForward (ignored), GetBattleInfo, killed, GetBattleInfo, killed, killed, MoveForward, DoNothing (killed)
