GetBattleInfo, MoveForward, GetBattleInfo, MoveForward (ignored), MoveForward, MoveForward, GetBattleInfo, GetBattleInfo, GetBattleInfo, MoveForward, MoveForward, GetBattleInfo, MoveForward, GetBattleInfo, MoveForward, GetBattleInfo, MoveForward, GetBattleInfo, MoveForward, GetBattleInfo, MoveForward, MoveForward, MoveForward, GetBattleInfo, GetBattleInfo
RotateLeft90, MoveForward, GetBattleInfo, MoveForward (ignored), MoveForward, MoveForward, RotateRight90, RotateLeft45, RotateLeft45, MoveForward, MoveForward, Shoot, MoveForward, Shoot, MoveForward, RotateLeft90, MoveForward, Shoot, MoveForward, Shoot, MoveForward (killed), MoveForward, MoveForward, RotateLeft45, RotateRight90
RotateLeft45, RotateRight90, RotateRight90, RotateRight90, RotateRight90, RotateRight90, GetBattleInfo, MoveForward, MoveForward (ignored), RotateRight90, RotateRight90, RotateRight45, RotateRight90, RotateLeft45, RotateRight90, Shoot, RotateRight90, RotateLeft45, RotateRight90, RotateLeft90, killed, RotateRight90, RotateRight90, MoveForward, MoveForward
MoveForward, MoveForward (ignored), MoveForward, MoveForward, MoveForward (ignored), MoveForward (ignored), RotateRight45, GetBattleInfo, RotateLeft90, MoveForward (ignored), MoveForward (ignored), MoveForward, MoveForward (ignored), MoveForward, MoveForward (ignored), RotateLeft90, MoveForward, MoveForward, MoveForward (ignored), RotateLeft45, killed, MoveForward, MoveForward, MoveForward, MoveForward
MoveForward, MoveForward (ignored), RotateLeft45, MoveForward, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), RotateLeft90, GetBattleInfo, MoveForward (ignored), MoveForward (ignored), RotateLeft90, MoveForward (ignored), RotateLeft90, MoveForward (ignored), RotateRight90, MoveForward, MoveForward, MoveForward (ignored), MoveForward (ignored), killed, MoveForward (ignored), MoveForward, RotateRight45, RotateRight45
RotateRight90, RotateRight90, MoveForward, RotateRight90, RotateRight90, RotateRight90, RotateLeft45, MoveForward, RotateLeft45, RotateRight90, RotateRight90, GetBattleInfo, RotateRight90, MoveForward (ignored), RotateRight90, GetBattleInfo, RotateRight90, RotateRight45, RotateRight90, RotateRight45, killed, RotateRight90, RotateRight90, Shoot, Shoot
Shoot, MoveForward, MoveForward (ignored), MoveForward, MoveForward, MoveForward, MoveForward (ignored), RotateLeft45, Shoot, MoveForward, MoveForward, RotateRight90, MoveForward, GetBattleInfo, MoveForward, RotateLeft90, MoveForward, Shoot, MoveForward, Shoot, killed, MoveForward, MoveForward, RotateLeft90, RotateLeft90
MoveForward, MoveForward, RotateLeft45, MoveForward, MoveForward, MoveForward, RotateRight45, Shoot (killed), MoveForward, MoveForward, MoveForward (killed), RotateRight45, MoveForward, RotateRight90, MoveForward, GetBattleInfo, MoveForward, MoveForward, MoveForward, MoveForward (ignored), killed, MoveForward, MoveForward (ignored), RotateRight90, RotateRight90
RotateLeft90, RotateRight90, killed, RotateRight90, RotateRight90, RotateRight90, MoveForward (ignored), killed, MoveForward, RotateRight90, killed, MoveForward, RotateRight90, Shoot, RotateRight90, Shoot, RotateRight90, GetBattleInfo, RotateRight90, RotateRight45, killed, RotateRight90, RotateRight90, GetBattleInfo, GetBattleInfo
RotateRight90, MoveForward, killed, MoveForward, MoveForward (ignored), MoveForward, MoveForward (ignored), killed, RotateLeft45 (killed), MoveForward (ignored), killed, RotateLeft45, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), RotateRight90, MoveForward (ignored), RotateRight90, MoveForward (ignored), GetBattleInfo, killed, MoveForward, MoveForward, RotateLeft45, RotateLeft45
GetBattleInfo, MoveForward, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, killed, MoveForward (ignored), killed, MoveForward, MoveForward (ignored), RotateLeft90, MoveForward (ignored), RotateRight45, MoveForward (ignored) (killed), GetBattleInfo, MoveForward (ignored), RotateRight90, killed, MoveForward (ignored), MoveForward, MoveForward, Shoot
