GetBattleInfo, Shoot, GetBattleInfo, Shoot, Shoot, Shoot, GetBattleInfo, GetBattleInfo, GetBattleInfo, Shoot, Shoot, GetBattleInfo, Shoot, GetBattleInfo, Shoot, GetBattleInfo, Shoot, GetBattleInfo, Shoot, GetBattleInfo, Shoot, Shoot, Shoot, GetBattleInfo, GetBattleInfo
GetBattleInfo, Shoot (ignored), RotateRight90, Shoot (ignored), Shoot (ignored), Shoot (ignored), MoveForward, Shoot, MoveForward (killed), Shoot (ignored), Shoot (ignored), MoveForward, Shoot (ignored), RotateLeft90, Shoot (ignored) (killed), RotateLeft45, Shoot (ignored), MoveForward (killed), Shoot (ignored), RotateRight90, Shoot (ignored), Shoot (ignored), Shoot (ignored), RotateRight90, MoveForward
RotateRight45, Shoot (ignored), GetBattleInfo, Shoot (ignored), Shoot (ignored), Shoot (ignored), RotateRight90, RotateRight90, killed, Shoot (ignored), Shoot (ignored), RotateRight90, Shoot (ignored), RotateLeft45, killed, MoveForward, Shoot (ignored), killed, Shoot (ignored), RotateRight90, Shoot (ignored), Shoot (ignored), Shoot (ignored), MoveForward, RotateLeft45
MoveForward, Shoot (ignored), RotateRight45 (killed), Shoot (ignored), Shoot (ignored), Shoot (ignored), MoveForward, RotateRight90, killed, Shoot (ignored), Shoot (ignored), RotateRight90, Shoot (ignored), Shoot, killed, MoveForward, Shoot (ignored), killed, Shoot (ignored), MoveForward, Shoot (ignored), Shoot (ignored), Shoot (ignored), RotateLeft45, Shoot
MoveForward, Shoot (ignored), killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), MoveForward, MoveForward, killed, Shoot (ignored), Shoot (ignored), MoveForward, Shoot (ignored), MoveForward, killed, RotateLeft90, Shoot (ignored), killed, Shoot (ignored), MoveForward, Shoot (ignored), Shoot (ignored), Shoot (ignored), MoveForward, DoNothing
MoveForward, Shoot, killed, Shoot, Shoot, Shoot, GetBattleInfo, GetBattleInfo, killed, Shoot, Shoot, MoveForward, Shoot, MoveForward, killed, MoveForward (killed), Shoot, killed, Shoot, MoveForward, Shoot, Shoot, Shoot, RotateRight90 (killed), DoNothing
RotateLeft90, Shoot (ignored), killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), MoveForward, MoveForward, killed, Shoot (ignored), Shoot (ignored), MoveForward, Shoot (ignored), DoNothing, killed, killed, Shoot (ignored), killed, Shoot (ignored), RotateRight90, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, DoNothing
RotateLeft45, Shoot (ignored), killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), MoveForward, RotateRight90, killed, Shoot (ignored), Shoot (ignored), GetBattleInfo, Shoot (ignored), DoNothing, killed, killed, Shoot (ignored), killed, Shoot (ignored), MoveForward, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, DoNothing
Shoot, Shoot (ignored), killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), MoveForward, MoveForward, killed, Shoot (ignored), killed, MoveForward, Shoot (ignored), GetBattleInfo, killed, killed, Shoot (ignored), killed, Shoot (ignored), MoveForward (killed), Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, Shoot
MoveForward, Shoot (ignored), killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), MoveForward, RotateRight90, killed, Shoot (ignored), killed, RotateLeft90, Shoot (ignored), RotateRight90, killed, killed, Shoot (ignored), killed, Shoot (ignored), killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, DoNothing
RotateRight45, Shoot, killed, Shoot, Shoot, Shoot, MoveForward, RotateRight90, killed, Shoot, killed, MoveForward, Shoot, Shoot, killed, killed, Shoot, killed, Shoot, killed, Shoot, Shoot, Shoot, killed, DoNothing
MoveForward (killed), Shoot (ignored), killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), RotateRight45, MoveForward, killed, Shoot (ignored), killed, MoveForward, Shoot (ignored), MoveForward, killed, killed, Shoot (ignored), killed, Shoot (ignored), killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, DoNothing (killed)
killed, Shoot (ignored), killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), MoveForward, MoveForward, killed, Shoot (ignored), killed, RotateRight45, Shoot (ignored), RotateLeft45, killed, killed, Shoot (ignored), killed, Shoot (ignored), killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, killed
killed, Shoot (ignored), killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), RotateRight45, MoveForward, killed, Shoot (ignored), killed, MoveForward, Shoot (ignored), MoveForward, killed, killed, Shoot (ignored), killed, Shoot (ignored), killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, killed
killed, Shoot (ignored), killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), Shoot, killed, killed, Shoot (ignored) (killed), killed, MoveForward, Shoot (ignored), RotateRight90, killed, killed, Shoot (ignored), killed, Shoot (ignored), killed, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, killed
