GetBattleInfo, MoveForward, GetBattleInfo, MoveForward (ignored), MoveForward, MoveForward, GetBattleInfo, GetBattleInfo, GetBattleInfo, MoveForward, MoveForward, GetBattleInfo, MoveForward, GetBattleInfo, MoveForward, GetBattleInfo, MoveForward, GetBattleInfo, MoveForward, GetBattleInfo, MoveForward, MoveForward, MoveForward, GetBattleInfo, GetBattleInfo
GetBattleInfo, MoveForward, RotateRight90, MoveForward (ignored), MoveForward, MoveForward, RotateRight90, Shoot, RotateRight45, MoveForward, MoveForward, RotateRight90, MoveForward, RotateLeft90, MoveForward, RotateLeft45, MoveForward, RotateRight45, MoveForward, RotateRight90, MoveForward, MoveForward, MoveForward, RotateRight90, MoveForward
RotateRight45, MoveForward, GetBattleInfo, MoveForward (ignored), MoveForward, MoveForward, RotateRight90, RotateRight90, MoveForward, MoveForward, MoveForward, RotateRight90, MoveForward, RotateLeft45, MoveForward, MoveForward, MoveForward, Shoot (killed), MoveForward, RotateRight90, MoveForward (killed), MoveForward, MoveForward, MoveForward, RotateLeft45
MoveForward, MoveForward, MoveForward, MoveForward (ignored), MoveForward, MoveForward, Shoot, RotateRight90, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, Shoot (killed), MoveForward, RotateLeft45, MoveForward, killed, MoveForward, MoveForward, killed, MoveForward, MoveForward (ignored), RotateLeft45, Shoot
MoveForward, MoveForward, MoveForward, MoveForward (ignored), MoveForward, MoveForward, MoveForward, MoveForward (killed), RotateLeft45 (killed), MoveForward, MoveForward, MoveForward, MoveForward, killed, MoveForward, MoveForward, MoveForward, killed, MoveForward, MoveForward, killed, MoveForward, MoveForward (ignored), MoveForward, DoNothing
RotateLeft90, MoveForward, RotateRight45, MoveForward (ignored), MoveForward, MoveForward, GetBattleInfo, killed, killed, MoveForward, MoveForward, RotateRight45, MoveForward, killed, MoveForward, MoveForward (killed), MoveForward, killed, MoveForward, RotateRight45, killed, MoveForward, MoveForward (ignored), RotateRight90 (killed), DoNothing
Shoot, MoveForward, MoveForward, MoveForward (ignored), MoveForward, MoveForward, MoveForward, killed, killed, MoveForward, MoveForward, Shoot, MoveForward, killed, MoveForward, killed, MoveForward, killed, MoveForward, MoveForward, killed, MoveForward, killed, killed, DoNothing
DoNothing, MoveForward (ignored), RotateRight90, MoveForward (ignored), MoveForward, MoveForward (ignored), RotateLeft45, killed, killed, MoveForward (killed), MoveForward, GetBattleInfo, MoveForward (killed), killed, MoveForward (killed), killed, MoveForward, killed, MoveForward (ignored), RotateRight45, killed, MoveForward (ignored), killed, killed, DoNothing
DoNothing, MoveForward (ignored), RotateRight45, MoveForward (ignored), MoveForward, MoveForward (ignored), MoveForward, killed, killed, killed, MoveForward, MoveForward, killed, killed, killed, killed, MoveForward, killed, MoveForward (ignored), MoveForward (killed), killed, MoveForward (ignored) (killed), killed, killed, Shoot
DoNothing, MoveForward (ignored), Shoot, MoveForward (ignored), MoveForward, MoveForward (ignored), RotateLeft45, killed, killed, killed, MoveForward, RotateLeft90, killed, killed, killed, killed, MoveForward, killed, MoveForward (ignored), killed, killed, killed, killed, killed, DoNothing
DoNothing, MoveForward (ignored), MoveForward, MoveForward (ignored), MoveForward (killed), MoveForward (ignored), MoveForward (killed), killed, killed, killed, MoveForward (killed), MoveForward, killed, killed, killed, killed, MoveForward, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed
Shoot, MoveForward (ignored), DoNothing, MoveForward (ignored), killed, MoveForward (ignored), killed, killed, killed, killed, killed, RotateRight45, killed, killed, killed, killed, MoveForward, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed
DoNothing, MoveForward (ignored), DoNothing, MoveForward (ignored), killed, MoveForward (ignored), killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, MoveForward, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed
DoNothing, MoveForward (ignored), DoNothing, MoveForward (ignored), killed, MoveForward (ignored), killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, MoveForward, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed
DoNothing, MoveForward (ignored), Shoot, MoveForward (ignored), killed, MoveForward (ignored), killed, killed, killed, killed, killed, RotateLeft45, killed, killed, killed, killed, MoveForward, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed
GetBattleInfo, MoveForward (ignored), DoNothing, MoveForward (ignored), killed, MoveForward (ignored), killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, MoveForward, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed
RotateRight90, MoveForward (ignored), GetBattleInfo, MoveForward (ignored), killed, MoveForward (ignored), killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, MoveForward, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed
MoveForward, MoveForward (ignored), MoveForward, MoveForward (ignored), killed, MoveForward (ignored), killed, killed, killed, killed, killed, RotateRight45, killed, killed, killed, killed, MoveForward, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed
RotateLeft90, MoveForward (ignored), MoveForward, MoveForward (ignored), killed, MoveForward (ignored), killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, MoveForward, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed
Shoot, MoveForward (ignored), MoveForward, MoveForward (ignored), killed, MoveForward (ignored), killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, MoveForward, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed
DoNothing, MoveForward (ignored), MoveForward, MoveForward (ignored), killed, MoveForward (ignored), killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, MoveForward, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed
GetBattleInfo, MoveForward (ignored), MoveForward, MoveForward (ignored), killed, MoveForward (ignored), killed, killed, killed, killed, killed, RotateLeft45, killed, killed, killed, killed, MoveForward, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed
RotateLeft45, MoveForward (ignored), GetBattleInfo, MoveForward (ignored), killed, MoveForward (ignored), killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, MoveForward, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed
MoveForward, MoveForward (ignored), RotateLeft90, MoveForward (ignored), killed, MoveForward (ignored), killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, MoveForward, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed
MoveForward, MoveForward (ignored), RotateLeft45, MoveForward (ignored), killed, MoveForward (ignored), killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, MoveForward, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed
MoveForward, MoveForward (ignored), MoveForward, MoveForward (ignored), killed, MoveForward (ignored), killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, MoveForward, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed
RotateRight45, MoveForward (ignored), MoveForward, MoveForward (ignored), killed, MoveForward (ignored), killed, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, MoveForward (killed), killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed
GetBattleInfo, MoveForward (ignored), RotateLeft45, MoveForward (ignored), killed, MoveForward (ignored), killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed
RotateLeft90, MoveForward (ignored), GetBattleInfo, MoveForward (ignored), killed, MoveForward (ignored), killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed
Shoot, MoveForward (ignored), RotateLeft45 (killed), MoveForward (ignored), killed, MoveForward (ignored), killed, killed, killed, killed, killed, RotateLeft90, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed
DoNothing, MoveForward (ignored), killed, MoveForward (ignored), killed, MoveForward (ignored), killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed
DoNothing, MoveForward (ignored), killed, MoveForward (ignored), killed, MoveForward (ignored), killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed
GetBattleInfo, MoveForward (ignored), killed, MoveForward (ignored), killed, MoveForward (ignored), killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed
RotateRight90, MoveForward (ignored), killed, MoveForward (ignored), killed, MoveForward (ignored), killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed
RotateRight45, MoveForward (ignored), killed, MoveForward (ignored), killed, MoveForward (ignored), killed, killed, killed, killed, killed, RotateLeft45, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed
MoveForward, MoveForward (ignored), killed, MoveForward (ignored), killed, MoveForward (ignored), killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, killed, killed, killed, MoveForward (ignored), killed, killed, killed, killed, killed, killed
