MoveForward, RotateRight90, MoveForward, RotateRight90, MoveForward, RotateRight90, MoveForward, RotateRight90, RotateRight90, RotateRight90, RotateRight90, MoveForward, MoveForward, RotateRight90, RotateRight90, MoveForward, MoveForward, MoveForward, MoveForward, RotateRight90, MoveForward, RotateRight90, RotateRight90, MoveForward, RotateRight90
MoveForward (killed), RotateLeft90, MoveForward, RotateLeft90, MoveForward, RotateLeft90, MoveForward, RotateLeft90, RotateLeft90 (killed), RotateLeft90, RotateLeft90, MoveForward, MoveForward, RotateLeft90, RotateLeft90, MoveForward, MoveForward, MoveForward, MoveForward, RotateLeft90, MoveForward (ignored), RotateLeft90, RotateLeft90, MoveForward, RotateLeft90
killed, Shoot, MoveForward, Shoot, MoveForward (killed), Shoot, MoveForward, Shoot, killed, Shoot, Shoot, MoveForward, MoveForward, Shoot, Shoot, MoveForward, MoveForward, MoveForward, MoveForward, Shoot, MoveForward (ignored), Shoot, Shoot, MoveForward, Shoot
killed, RotateRight90, MoveForward, RotateRight90 (killed), killed, RotateRight90, MoveForward, RotateRight90, killed, RotateRight90, RotateRight90, MoveForward, MoveForward, RotateRight90, RotateRight90, MoveForward (ignored), MoveForward (ignored), MoveForward, MoveForward, RotateRight90, MoveForward (ignored), RotateRight90, RotateRight90, MoveForward, RotateRight90
killed, RotateLeft90, MoveForward, killed, killed, RotateLeft90, MoveForward, RotateLeft90, killed, RotateLeft90, RotateLeft90, MoveForward, MoveForward, RotateLeft90, RotateLeft90, MoveForward (ignored), MoveForward (ignored), MoveForward, MoveForward, RotateLeft90, MoveForward (ignored), RotateLeft90, RotateLeft90, MoveForward, RotateLeft90
killed, Shoot (ignored), MoveForward, killed, killed, Shoot (ignored), MoveForward, Shoot (ignored), killed, Shoot (ignored), Shoot (ignored), MoveForward, MoveForward, Shoot (ignored), Shoot (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward, MoveForward, Shoot (ignored), MoveForward (ignored), Shoot (ignored), Shoot (ignored), MoveForward, Shoot (ignored)
killed, RotateRight90, MoveForward, killed, killed, RotateRight90, MoveForward, RotateRight90, killed, RotateRight90, RotateRight90, MoveForward (killed), MoveForward, RotateRight90, RotateRight90, MoveForward (ignored), MoveForward (ignored), MoveForward, MoveForward, RotateRight90, MoveForward (ignored), RotateRight90, RotateRight90, MoveForward, RotateRight90
killed, RotateLeft90, MoveForward (killed), killed, killed, RotateLeft90, MoveForward (killed), RotateLeft90, killed, RotateLeft90, RotateLeft90, killed, MoveForward (ignored), RotateLeft90, RotateLeft90, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward, RotateLeft90, MoveForward (ignored), RotateLeft90, RotateLeft90, MoveForward (ignored), RotateLeft90
killed, Shoot, killed, killed, killed, Shoot, killed, Shoot, killed, Shoot, Shoot, killed, MoveForward (ignored), Shoot, Shoot, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward, Shoot, MoveForward (ignored), Shoot, Shoot, MoveForward (ignored), Shoot
killed, RotateRight90, killed, killed, killed, RotateRight90, killed, RotateRight90, killed, RotateRight90, RotateRight90, killed, MoveForward (ignored), RotateRight90, RotateRight90, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward, RotateRight90, MoveForward (ignored), RotateRight90, RotateRight90, MoveForward (ignored), RotateRight90
killed, RotateLeft90, killed, killed, killed, RotateLeft90, killed, RotateLeft90, killed, RotateLeft90, RotateLeft90, killed, MoveForward (ignored), RotateLeft90, RotateLeft90, MoveForward (ignored) (killed), MoveForward (ignored), MoveForward (ignored), MoveForward (killed), killed, MoveForward (ignored), RotateLeft90, RotateLeft90, MoveForward (ignored), RotateLeft90
killed, Shoot (ignored), killed, killed, killed, Shoot (ignored), killed, Shoot (ignored), killed, Shoot (ignored), Shoot (ignored), killed, MoveForward (ignored), Shoot (ignored), Shoot (ignored), killed, MoveForward (ignored), MoveForward (ignored), killed, killed, MoveForward (ignored), Shoot (ignored), Shoot (ignored), MoveForward (ignored), Shoot (ignored)
killed, RotateRight90, killed, killed, killed, RotateRight90, killed, RotateRight90, killed, RotateRight90, RotateRight90, killed, MoveForward (ignored), RotateRight90, RotateRight90, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, MoveForward (ignored), RotateRight90, RotateRight90, MoveForward (ignored), RotateRight90
killed, RotateLeft90, killed, killed, killed, RotateLeft90, killed, RotateLeft90, killed, RotateLeft90, RotateLeft90, killed, MoveForward (ignored), RotateLeft90, RotateLeft90, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, MoveForward (ignored), RotateLeft90, RotateLeft90, MoveForward (ignored), RotateLeft90
killed, Shoot, killed, killed, killed, Shoot, killed, Shoot, killed, Shoot, Shoot, killed, MoveForward (ignored), Shoot, Shoot, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, MoveForward (ignored), Shoot, Shoot, MoveForward (ignored), Shoot
killed, RotateRight90, killed, killed, killed, RotateRight90, killed, RotateRight90, killed, RotateRight90, RotateRight90, killed, MoveForward (ignored), RotateRight90, RotateRight90, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, MoveForward (ignored), RotateRight90, RotateRight90, MoveForward (ignored), RotateRight90
killed, RotateLeft90, killed, killed, killed, RotateLeft90, killed, RotateLeft90, killed, RotateLeft90, RotateLeft90, killed, MoveForward (ignored), RotateLeft90, RotateLeft90, killed, MoveForward (ignored), MoveForward (ignored), killed, killed, MoveForward (ignored), RotateLeft90, RotateLeft90, MoveForward (ignored), RotateLeft90
killed, Shoot (ignored), killed, killed, killed, Shoot (ignored), killed, Shoot (ignored), killed, Shoot (ignored), Shoot (ignored) (killed), killed, MoveForward (ignored), Shoot (ignored), Shoot (ignored), killed, MoveForward (ignored), MoveForward (ignored), killed, killed, MoveForward (ignored), Shoot (ignored), Shoot (ignored), MoveForward (ignored), Shoot (ignored)
killed, RotateRight90, killed, killed, killed, RotateRight90, killed, RotateRight90, killed, RotateRight90, killed, killed, MoveForward (ignored), RotateRight90, RotateRight90, killed, MoveForward, MoveForward (ignored), killed, killed, MoveForward (ignored), RotateRight90, RotateRight90, MoveForward (ignored), RotateRight90
killed, RotateLeft90, killed, killed, killed, RotateLeft90, killed, RotateLeft90, killed, RotateLeft90, killed, killed, MoveForward (ignored), RotateLeft90, RotateLeft90 (killed), killed, MoveForward, MoveForward (ignored), killed, killed, MoveForward (ignored), RotateLeft90, RotateLeft90, MoveForward (ignored), RotateLeft90
killed, Shoot, killed, killed, killed, Shoot, killed, Shoot, killed, Shoot, killed, killed, MoveForward (ignored), Shoot, killed, killed, MoveForward, MoveForward (ignored), killed, killed, MoveForward (ignored), Shoot, Shoot, MoveForward (ignored), Shoot
killed, RotateRight90, killed, killed, killed, RotateRight90, killed, RotateRight90 (killed), killed, RotateRight90, killed, killed, MoveForward (ignored), RotateRight90, killed, killed, MoveForward, MoveForward (ignored), killed, killed, MoveForward (ignored), RotateRight90, RotateRight90, MoveForward (ignored), RotateRight90
killed, RotateLeft90, killed, killed, killed, RotateLeft90, killed, killed, killed, RotateLeft90, killed, killed, MoveForward (ignored), RotateLeft90, killed, killed, MoveForward (killed), MoveForward (ignored), killed, killed, MoveForward (ignored), RotateLeft90, RotateLeft90, MoveForward (ignored), RotateLeft90
killed, Shoot (ignored), killed, killed, killed, Shoot (ignored), killed, killed, killed, Shoot (ignored), killed, killed, MoveForward (ignored), Shoot (ignored), killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), Shoot (ignored), Shoot (ignored), MoveForward (ignored), Shoot (ignored)
killed, RotateRight90, killed, killed, killed, RotateRight90, killed, killed, killed, RotateRight90, killed, killed, MoveForward, RotateRight90, killed, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), RotateRight90, RotateRight90, MoveForward (ignored), RotateRight90
