DoNothing, GetBattleInfo, DoNothing, GetBattleInfo, GetBattleInfo, GetBattleInfo, DoNothing, DoNothing, DoNothing, GetBattleInfo, GetBattleInfo, DoNothing, GetBattleInfo, DoNothing, GetBattleInfo, DoNothing, GetBattleInfo, DoNothing, GetBattleInfo, DoNothing, GetBattleInfo, GetBattleInfo, GetBattleInfo, DoNothing, DoNothing
RotateRight45, GetBattleInfo, RotateRight45, RotateLeft45, RotateLeft45, RotateRight90, RotateRight45, RotateRight45, RotateRight45, RotateRight90, Shoot, RotateRight45, Shoot, RotateRight45, Shoot, RotateRight45, RotateLeft90, RotateRight45, MoveForward, RotateRight45, Shoot, RotateRight45, RotateRight90, RotateRight45, RotateRight45
DoNothing (killed), MoveForward, DoNothing, GetBattleInfo, MoveForward, RotateRight45, DoNothing, DoNothing, DoNothing (killed), RotateRight45, RotateLeft90, DoNothing, RotateLeft90, DoNothing (killed), RotateRight90, DoNothing, Shoot, DoNothing (killed), MoveForward, DoNothing, RotateRight90, MoveForward, Shoot, DoNothing, DoNothing
killed, RotateLeft45, RotateRight45, RotateLeft90, GetBattleInfo, MoveForward, RotateRight45, RotateRight45, killed, MoveForward, RotateLeft45, RotateRight45, RotateLeft45, killed, RotateRight45, RotateRight45, DoNothing, killed, RotateLeft45, RotateRight45, MoveForward, RotateLeft90, DoNothing, RotateRight45, RotateRight45
killed, Shoot, DoNothing, MoveForward, RotateLeft45, GetBattleInfo, DoNothing, DoNothing, killed, MoveForward, MoveForward, DoNothing, MoveForward, killed, MoveForward, DoNothing, DoNothing, killed, Shoot, DoNothing, MoveForward, Shoot, DoNothing, DoNothing (killed), DoNothing
killed, DoNothing, RotateRight45, Shoot, MoveForward, RotateRight90, RotateRight45, RotateRight45, killed, GetBattleInfo, RotateRight90, RotateRight45, RotateRight90, killed, RotateLeft90, killed, DoNothing, killed, MoveForward, RotateRight45 (killed), DoNothing, MoveForward, DoNothing, killed, RotateRight45 (killed)
killed, DoNothing, DoNothing, DoNothing, RotateLeft45, MoveForward, DoNothing, DoNothing, killed, MoveForward, GetBattleInfo, DoNothing, MoveForward, killed, Shoot, killed, DoNothing, killed, DoNothing, killed, Shoot, MoveForward, DoNothing, killed, killed
killed, DoNothing, RotateRight45, DoNothing, Shoot, RotateLeft45, RotateRight45, RotateRight45 (killed), killed, MoveForward, Shoot, RotateRight45, GetBattleInfo, killed, DoNothing, killed, Shoot, killed, DoNothing, killed, DoNothing, DoNothing, Shoot, killed, killed
killed, DoNothing, DoNothing, DoNothing, DoNothing, Shoot, DoNothing, killed, killed, RotateRight45, DoNothing, DoNothing, RotateLeft90, killed, GetBattleInfo, killed, DoNothing, killed, DoNothing, killed, DoNothing, DoNothing, DoNothing, killed, killed
killed, Shoot, RotateRight45, DoNothing, DoNothing, DoNothing, RotateRight45, killed, killed, MoveForward, DoNothing, RotateRight45, MoveForward, killed, RotateRight90, killed, GetBattleInfo, killed, Shoot, killed, DoNothing, Shoot, DoNothing, killed, killed
killed, DoNothing, DoNothing, Shoot, DoNothing, DoNothing, DoNothing, killed, killed, RotateLeft45, DoNothing, DoNothing, RotateRight90, killed, MoveForward, killed, MoveForward, killed, GetBattleInfo, killed, DoNothing, DoNothing, DoNothing, killed, killed
killed, DoNothing, RotateRight45, DoNothing, DoNothing, DoNothing, RotateRight45, killed, killed, RotateLeft45, DoNothing, RotateRight45, Shoot, killed, MoveForward, killed, RotateRight90, killed, RotateLeft90, killed, GetBattleInfo, DoNothing, DoNothing, killed, killed
killed, DoNothing, DoNothing, DoNothing, Shoot, DoNothing, DoNothing (killed), killed, killed, RotateLeft90, Shoot, DoNothing (killed), MoveForward, killed, MoveForward, killed, RotateRight90, killed, MoveForward, killed, RotateRight45, GetBattleInfo, Shoot, killed, killed
killed, DoNothing, RotateRight45, DoNothing, DoNothing, Shoot, killed, killed, killed, MoveForward, DoNothing, killed, MoveForward, killed, RotateLeft45, killed, MoveForward, killed, MoveForward, killed, Shoot, MoveForward, GetBattleInfo, killed, killed
Player 2 won with 13 tanks still alive
