MoveForward (ignored), GetBattleInfo, MoveForward, GetBattleInfo, GetBattleInfo, GetBattleInfo, MoveForward, MoveForward, MoveForward, GetBattleInfo, GetBattleInfo, MoveForward, GetBattleInfo, MoveForward, GetBattleInfo, MoveForward, GetBattleInfo, MoveForward, GetBattleInfo, MoveForward, GetBattleInfo, GetBattleInfo, GetBattleInfo, MoveForward, MoveForward
MoveForward (ignored), RotateLeft45, MoveForward, GetBattleInfo, RotateRight90, RotateLeft45, MoveForward, MoveForward, MoveForward, RotateLeft90, RotateRight90, MoveForward, Shoot, MoveForward (ignored), Shoot, MoveForward, RotateLeft90, MoveForward (killed), Shoot, MoveForward, MoveForward (killed), Shoot, MoveForward, MoveForward, MoveForward
MoveForward (ignored), MoveForward, MoveForward, RotateRight90, GetBattleInfo, MoveForward, MoveForward, MoveForward, MoveForward (killed), MoveForward (ignored), RotateRight45 (killed), MoveForward, MoveForward, MoveForward (ignored), RotateLeft90, MoveForward, RotateLeft45, killed, RotateLeft45, MoveForward, killed, MoveForward, MoveForward, MoveForward, MoveForward
MoveForward (ignored), RotateLeft45, MoveForward, Shoot, RotateLeft90, GetBattleInfo, MoveForward (ignored), MoveForward, killed, RotateRight45, killed, MoveForward, RotateLeft45, MoveForward (ignored) (killed), RotateLeft45, MoveForward, Shoot, killed, MoveForward (ignored), MoveForward (ignored), killed, RotateLeft45, RotateLeft45, MoveForward, MoveForward
MoveForward (ignored), MoveForward, MoveForward, MoveForward, RotateLeft45, RotateRight45, MoveForward (ignored), MoveForward, killed, GetBattleInfo, killed, MoveForward, RotateRight45, killed, MoveForward, MoveForward, RotateLeft90, killed, MoveForward (ignored), MoveForward (ignored), killed, RotateRight45, MoveForward, MoveForward, MoveForward
MoveForward (ignored), RotateLeft45, MoveForward, RotateLeft45, MoveForward, MoveForward, MoveForward (ignored), MoveForward, killed, RotateLeft90, killed, MoveForward, GetBattleInfo, killed, RotateRight45, MoveForward, RotateRight90, killed, RotateRight45, MoveForward (ignored), killed, GetBattleInfo, RotateLeft45, MoveForward, MoveForward
MoveForward (ignored), Shoot, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward (ignored), MoveForward, killed, RotateLeft45, killed, MoveForward, RotateRight90, killed, MoveForward, killed, GetBattleInfo, killed, MoveForward, MoveForward (ignored), killed, RotateRight90, Shoot, MoveForward, MoveForward
MoveForward (ignored), RotateLeft45, MoveForward (ignored), RotateLeft90, MoveForward, RotateLeft45, MoveForward (ignored), MoveForward, killed, Shoot, killed, MoveForward (killed), RotateRight45, killed, GetBattleInfo, killed, RotateRight45, killed, MoveForward, MoveForward (ignored), killed, RotateRight45, RotateLeft45, MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), RotateRight45, MoveForward (ignored), MoveForward, RotateRight90, MoveForward, MoveForward (ignored), MoveForward, killed, MoveForward, killed, killed, MoveForward (ignored), killed, RotateRight90, killed, MoveForward, killed, RotateLeft45, MoveForward (ignored), killed, MoveForward, RotateRight45, MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), GetBattleInfo, MoveForward (ignored), RotateLeft45, RotateRight90, RotateRight90, MoveForward (ignored), MoveForward, killed, RotateRight45, killed, killed, RotateLeft90, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, GetBattleInfo, MoveForward (ignored), killed, MoveForward, GetBattleInfo, MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), RotateRight45, MoveForward (ignored), MoveForward, MoveForward, MoveForward (ignored), MoveForward (ignored) (killed), MoveForward (killed), killed, MoveForward (ignored), killed, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, MoveForward (ignored), killed, MoveForward, MoveForward (ignored), killed, MoveForward, RotateLeft45, MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), MoveForward, MoveForward (ignored), RotateLeft45, RotateRight90, GetBattleInfo, killed, killed, killed, RotateRight45, killed, killed, RotateRight90, killed, MoveForward (ignored), killed, MoveForward (ignored), killed, RotateRight45, MoveForward (ignored), killed, RotateRight45, MoveForward, MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored) (killed), RotateLeft45, MoveForward (ignored), Shoot, GetBattleInfo, RotateRight90, killed, killed, killed, GetBattleInfo, killed, killed, MoveForward (ignored), killed, RotateLeft45, killed, MoveForward (ignored), killed, MoveForward (ignored), MoveForward (ignored), killed, Shoot, RotateLeft45, MoveForward (ignored), MoveForward (ignored)
killed, Shoot, MoveForward (ignored), RotateRight45, MoveForward, RotateRight45, killed, killed, killed, MoveForward, killed, killed, GetBattleInfo, killed, MoveForward (ignored), killed, RotateRight45, killed, MoveForward (ignored), MoveForward (ignored), killed, RotateLeft45, Shoot, MoveForward (ignored), MoveForward (ignored)
killed, RotateRight45, MoveForward (ignored), GetBattleInfo, Shoot, MoveForward, killed, killed, killed, RotateRight45, killed, killed, RotateLeft45, killed, RotateRight90, killed, MoveForward, killed, RotateLeft45, MoveForward (ignored), killed, GetBattleInfo, RotateRight90, MoveForward (ignored), MoveForward (ignored)
