MoveForward (ignored), GetBattleInfo, MoveForward, GetBattleInfo, GetBattleInfo, GetBattleInfo, MoveForward, MoveForward, MoveForward, GetBattleInfo, GetBattleInfo, MoveForward, GetBattleInfo, MoveForward, GetBattleInfo, MoveForward, GetBattleInfo, MoveForward, GetBattleInfo, MoveForward, GetBattleInfo, GetBattleInfo, GetBattleInfo, MoveForward, MoveForward
MoveForward (ignored), RotateLeft45, MoveForward, RotateLeft45, RotateLeft45, RotateRight45, MoveForward, MoveForward, MoveForward, RotateRight45, RotateLeft45, MoveForward, RotateLeft45, MoveForward (ignored), RotateRight45, MoveForward, RotateLeft90, MoveForward (killed), MoveForward, MoveForward, MoveForward (killed), RotateRight90, MoveForward, MoveForward, MoveForward
RotateRight90, RotateLeft45, RotateRight90, RotateLeft90, MoveForward, RotateRight90, RotateRight90, RotateRight90, RotateRight90, RotateRight90, RotateLeft90, RotateRight90, RotateLeft90, RotateRight90, RotateRight90, RotateRight90, Shoot, killed, MoveForward, RotateRight90, killed, MoveForward, RotateLeft45, RotateRight90, RotateRight90
MoveForward, GetBattleInfo, MoveForward, GetBattleInfo, GetBattleInfo, GetBattleInfo, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), GetBattleInfo, GetBattleInfo, MoveForward (ignored), GetBattleInfo, MoveForward, GetBattleInfo, MoveForward, GetBattleInfo, killed, GetBattleInfo, MoveForward (ignored), killed, GetBattleInfo, GetBattleInfo, MoveForward, MoveForward
MoveForward (ignored), RotateLeft45, MoveForward (ignored), RotateLeft45, MoveForward, RotateRight90, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), RotateLeft45, RotateLeft45, MoveForward (ignored), MoveForward, MoveForward (ignored), RotateRight90, MoveForward, RotateLeft45, killed, RotateLeft45, MoveForward (ignored), killed, RotateLeft90, RotateLeft45, MoveForward (ignored), MoveForward (ignored)
RotateRight90, RotateLeft45, RotateRight90, RotateLeft90, MoveForward, MoveForward, RotateRight90, RotateRight90, RotateRight90, RotateLeft45, Shoot, RotateRight90, MoveForward, RotateRight90, MoveForward, RotateRight90, DoNothing, killed, MoveForward, RotateRight90, killed, MoveForward, RotateLeft45, RotateRight90, RotateRight90
MoveForward (killed), GetBattleInfo, MoveForward, GetBattleInfo, GetBattleInfo, GetBattleInfo, MoveForward, MoveForward, MoveForward, GetBattleInfo, GetBattleInfo, MoveForward, GetBattleInfo, MoveForward (ignored), GetBattleInfo, MoveForward, GetBattleInfo, killed, GetBattleInfo, MoveForward, killed, GetBattleInfo, GetBattleInfo (killed), MoveForward, MoveForward
killed, MoveForward, MoveForward, MoveForward, MoveForward, RotateLeft90, MoveForward, MoveForward, MoveForward, RotateRight90, DoNothing, MoveForward, RotateRight90, MoveForward (ignored), RotateLeft90, MoveForward (ignored), MoveForward, killed, MoveForward, MoveForward, killed, RotateLeft45, killed, MoveForward, MoveForward
killed, RotateRight45, RotateRight90, RotateLeft45, RotateLeft45, RotateLeft90, RotateRight90, RotateRight90, RotateRight90, MoveForward, DoNothing, RotateRight90, MoveForward, RotateRight90, MoveForward, RotateRight90, RotateRight45, killed, RotateLeft90, RotateRight90, killed, MoveForward, killed, RotateRight90, RotateRight90
killed, GetBattleInfo, MoveForward, GetBattleInfo, GetBattleInfo, GetBattleInfo, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), GetBattleInfo, GetBattleInfo, MoveForward (ignored), GetBattleInfo, MoveForward (killed), GetBattleInfo, MoveForward, GetBattleInfo (killed), killed, GetBattleInfo, MoveForward (ignored), killed, GetBattleInfo, killed, MoveForward, MoveForward
killed, RotateLeft45, MoveForward, RotateRight90, RotateLeft90, MoveForward, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), RotateRight45, RotateRight45, MoveForward (ignored), Shoot, killed, RotateRight90, MoveForward, killed, killed, MoveForward, MoveForward (ignored), killed, Shoot, killed, MoveForward, MoveForward
killed, RotateLeft45, RotateRight90, Shoot, Shoot, RotateRight45, RotateRight90 (killed), RotateRight90, RotateRight90, RotateRight90, MoveForward, RotateRight90, DoNothing, killed, Shoot, RotateRight90, killed, killed, RotateRight45, killed, killed, DoNothing, killed, RotateRight90, RotateRight90
killed, GetBattleInfo, MoveForward, GetBattleInfo, GetBattleInfo, GetBattleInfo, killed, killed, MoveForward, GetBattleInfo, GetBattleInfo, MoveForward, GetBattleInfo, killed, GetBattleInfo, MoveForward, killed, killed, GetBattleInfo, killed, killed, GetBattleInfo, killed, MoveForward, MoveForward
killed, RotateLeft45, MoveForward (ignored), RotateRight90, MoveForward, RotateRight45, killed, killed, MoveForward, Shoot, RotateRight45, MoveForward, RotateLeft90, killed, RotateLeft45, MoveForward, killed, killed, RotateLeft90, killed, killed, MoveForward, killed, MoveForward, MoveForward
killed, RotateLeft90, RotateRight90, DoNothing, MoveForward, MoveForward, killed, killed, RotateRight90, DoNothing, MoveForward, RotateRight90, MoveForward, killed, MoveForward, RotateRight90, killed, killed, RotateLeft90, killed, killed, MoveForward, killed, RotateRight90, RotateRight90
killed, GetBattleInfo, MoveForward, GetBattleInfo, GetBattleInfo, GetBattleInfo, killed, killed, MoveForward (ignored), GetBattleInfo, GetBattleInfo, MoveForward (ignored), GetBattleInfo, killed, GetBattleInfo, MoveForward, killed, killed, GetBattleInfo, killed, killed, GetBattleInfo, killed, MoveForward, MoveForward
