MoveForward (ignored), DoNothing, MoveForward, DoNothing, DoNothing, DoNothing, MoveForward, MoveForward, MoveForward, DoNothing, DoNothing, MoveForward, DoNothing, MoveForward, DoNothing, MoveForward, DoNothing, MoveForward, DoNothing, MoveForward, DoNothing, DoNothing, DoNothing, MoveForward, MoveForward
MoveForward (ignored), RotateRight45, MoveForward, RotateRight45, RotateRight45, RotateRight45, MoveForward, MoveForward, MoveForward, RotateRight45, RotateRight45, MoveForward, RotateRight45, MoveForward (ignored), RotateRight45, MoveForward, RotateRight45, MoveForward, RotateRight45, MoveForward, RotateRight45, RotateRight45, RotateRight45, MoveForward, MoveForward
MoveForward (ignored), DoNothing, MoveForward, DoNothing, DoNothing, DoNothing, MoveForward, MoveForward, MoveForward (killed), DoNothing, DoNothing (killed), MoveForward, DoNothing, MoveForward (ignored), DoNothing, MoveForward, DoNothing, MoveForward (killed), DoNothing, MoveForward, DoNothing (killed), DoNothing, DoNothing, MoveForward, MoveForward
MoveForward (ignored), RotateRight45, MoveForward, RotateRight45, RotateRight45, RotateRight45, MoveForward (ignored), MoveForward, killed, RotateRight45, killed, MoveForward, RotateRight45, MoveForward (ignored), RotateRight45, MoveForward, RotateRight45, killed, RotateRight45, MoveForward (ignored), killed, RotateRight45, RotateRight45, MoveForward, MoveForward
MoveForward (ignored), DoNothing, MoveForward, DoNothing, DoNothing, DoNothing, MoveForward (ignored), MoveForward, killed, DoNothing, killed, MoveForward, DoNothing, MoveForward (ignored), DoNothing, MoveForward, DoNothing, killed, DoNothing, MoveForward (ignored), killed, DoNothing, DoNothing, MoveForward, MoveForward
MoveForward (ignored), RotateRight45, MoveForward, RotateRight45, RotateRight45, RotateRight45, MoveForward (ignored), MoveForward, killed, RotateRight45, killed, MoveForward, RotateRight45, MoveForward (ignored), RotateRight45, MoveForward, RotateRight45, killed, RotateRight45, MoveForward (ignored), killed, RotateRight45, RotateRight45, MoveForward, MoveForward
MoveForward (ignored), DoNothing, MoveForward, DoNothing, DoNothing, DoNothing, MoveForward (ignored), MoveForward, killed, DoNothing, killed, MoveForward, DoNothing, MoveForward (ignored), DoNothing, MoveForward, DoNothing, killed, DoNothing, MoveForward (ignored), killed, DoNothing, DoNothing, MoveForward, MoveForward
MoveForward (ignored), RotateRight45, MoveForward (ignored), RotateRight45, RotateRight45, RotateRight45, MoveForward (ignored), MoveForward, killed, RotateRight45, killed, MoveForward (killed), RotateRight45, MoveForward (ignored), RotateRight45, MoveForward (killed), RotateRight45, killed, RotateRight45, MoveForward (ignored), killed, RotateRight45, RotateRight45, MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), DoNothing, MoveForward (ignored), DoNothing, DoNothing, DoNothing, MoveForward (ignored), MoveForward, killed, DoNothing, killed, killed, DoNothing, MoveForward (ignored), DoNothing, killed, DoNothing, killed, DoNothing, MoveForward (ignored), killed, DoNothing, DoNothing, MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), RotateRight45, MoveForward (ignored), RotateRight45, RotateRight45, RotateRight45, MoveForward (ignored), MoveForward, killed, RotateRight45, killed, killed, RotateRight45, MoveForward (ignored), RotateRight45, killed, RotateRight45, killed, RotateRight45, MoveForward (ignored), killed, RotateRight45, RotateRight45, MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), DoNothing, MoveForward (ignored), DoNothing, DoNothing, DoNothing, MoveForward (ignored) (killed), MoveForward (killed), killed, DoNothing, killed, killed, DoNothing, MoveForward (ignored), DoNothing, killed, DoNothing, killed, DoNothing, MoveForward (ignored), killed, DoNothing, DoNothing, MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), RotateRight45, MoveForward (ignored), RotateRight45, RotateRight45, RotateRight45, killed, killed, killed, RotateRight45, killed, killed, RotateRight45, MoveForward (ignored), RotateRight45, killed, RotateRight45, killed, RotateRight45, MoveForward (ignored), killed, RotateRight45, RotateRight45, MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), DoNothing, MoveForward (ignored), DoNothing, DoNothing, DoNothing, killed, killed, killed, DoNothing, killed, killed, DoNothing, MoveForward (ignored), DoNothing, killed, DoNothing, killed, DoNothing, MoveForward (ignored), killed, DoNothing, DoNothing, MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), RotateRight45, MoveForward (ignored), RotateRight45, RotateRight45, RotateRight45, killed, killed, killed, RotateRight45, killed, killed, RotateRight45, MoveForward (ignored), RotateRight45, killed, RotateRight45, killed, RotateRight45, MoveForward (ignored), killed, RotateRight45, RotateRight45, MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), DoNothing, MoveForward (ignored), DoNothing, DoNothing, DoNothing, killed, killed, killed, DoNothing, killed, killed, DoNothing, MoveForward (ignored), DoNothing, killed, DoNothing, killed, DoNothing, MoveForward (ignored), killed, DoNothing, DoNothing, MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), RotateRight45, MoveForward (ignored), RotateRight45, RotateRight45, RotateRight45, killed, killed, killed, RotateRight45, killed, killed, RotateRight45, MoveForward (ignored), RotateRight45, killed, RotateRight45, killed, RotateRight45, MoveForward (ignored), killed, RotateRight45, RotateRight45, MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), DoNothing, MoveForward (ignored), DoNothing, DoNothing, DoNothing, killed, killed, killed, DoNothing, killed, killed, DoNothing, MoveForward (ignored), DoNothing, killed, DoNothing, killed, DoNothing, MoveForward (ignored), killed, DoNothing, DoNothing, MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), RotateRight45, MoveForward (ignored), RotateRight45, RotateRight45, RotateRight45, killed, killed, killed, RotateRight45, killed, killed, RotateRight45, MoveForward (ignored), RotateRight45, killed, RotateRight45, killed, RotateRight45, MoveForward (ignored), killed, RotateRight45, RotateRight45, MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), DoNothing, MoveForward (ignored), DoNothing, DoNothing, DoNothing, killed, killed, killed, DoNothing, killed, killed, DoNothing, MoveForward (ignored), DoNothing, killed, DoNothing, killed, DoNothing, MoveForward (ignored), killed, DoNothing, DoNothing, MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), RotateRight45, MoveForward (ignored), RotateRight45, RotateRight45, RotateRight45, killed, killed, killed, RotateRight45, killed, killed, RotateRight45, MoveForward (ignored), RotateRight45, killed, RotateRight45, killed, RotateRight45, MoveForward (ignored), killed, RotateRight45, RotateRight45, MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), DoNothing, MoveForward (ignored), DoNothing, DoNothing, DoNothing, killed, killed, killed, DoNothing, killed, killed, DoNothing, MoveForward (ignored), DoNothing, killed, DoNothing, killed, DoNothing, MoveForward (ignored), killed, DoNothing, DoNothing, MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), RotateRight45, MoveForward (ignored), RotateRight45, RotateRight45, RotateRight45, killed, killed, killed, RotateRight45, killed, killed, RotateRight45, MoveForward (ignored), RotateRight45, killed, RotateRight45, killed, RotateRight45, MoveForward (ignored), killed, RotateRight45, RotateRight45, MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), DoNothing, MoveForward (ignored), DoNothing, DoNothing, DoNothing, killed, killed, killed, DoNothing, killed, killed, DoNothing, MoveForward (ignored), DoNothing, killed, DoNothing, killed, DoNothing, MoveForward (ignored), killed, DoNothing, DoNothing, MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), RotateRight45, MoveForward (ignored), RotateRight45, RotateRight45, RotateRight45, killed, killed, killed, RotateRight45, killed, killed, RotateRight45, MoveForward (ignored), RotateRight45, killed, RotateRight45, killed, RotateRight45, MoveForward (ignored), killed, RotateRight45, RotateRight45, MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), DoNothing, MoveForward (ignored), DoNothing, DoNothing, DoNothing, killed, killed, killed, DoNothing, killed, killed, DoNothing, MoveForward (ignored), DoNothing, killed, DoNothing, killed, DoNothing, MoveForward (ignored), killed, DoNothing, DoNothing, MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), RotateRight45, MoveForward (ignored), RotateRight45, RotateRight45, RotateRight45, killed, killed, killed, RotateRight45, killed, killed, RotateRight45, MoveForward (ignored), RotateRight45, killed, RotateRight45, killed, RotateRight45, MoveForward (ignored), killed, RotateRight45, RotateRight45, MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), DoNothing, MoveForward (ignored), DoNothing, DoNothing, DoNothing, killed, killed, killed, DoNothing, killed, killed, DoNothing, MoveForward (ignored), DoNothing, killed, DoNothing, killed, DoNothing, MoveForward (ignored), killed, DoNothing, DoNothing, MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), RotateRight45, MoveForward (ignored), RotateRight45, RotateRight45, RotateRight45, killed, killed, killed, RotateRight45, killed, killed, RotateRight45, MoveForward (ignored), RotateRight45, killed, RotateRight45, killed, RotateRight45, MoveForward (ignored), killed, RotateRight45, RotateRight45, MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), DoNothing, MoveForward (ignored), DoNothing, DoNothing, DoNothing, killed, killed, killed, DoNothing, killed, killed, DoNothing, MoveForward (ignored), DoNothing, killed, DoNothing, killed, DoNothing, MoveForward (ignored), killed, DoNothing, DoNothing, MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), RotateRight45, MoveForward (ignored), RotateRight45, RotateRight45, RotateRight45, killed, killed, killed, RotateRight45, killed, killed, RotateRight45, MoveForward (ignored), RotateRight45, killed, RotateRight45, killed, RotateRight45, MoveForward (ignored), killed, RotateRight45, RotateRight45, MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), DoNothing, MoveForward (ignored), DoNothing, DoNothing, DoNothing, killed, killed, killed, DoNothing, killed, killed, DoNothing, MoveForward (ignored), DoNothing, killed, DoNothing, killed, DoNothing, MoveForward (ignored), killed, DoNothing, DoNothing, MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), RotateRight45, MoveForward (ignored), RotateRight45, RotateRight45, RotateRight45, killed, killed, killed, RotateRight45, killed, killed, RotateRight45, MoveForward (ignored), RotateRight45, killed, RotateRight45, killed, RotateRight45, MoveForward (ignored), killed, RotateRight45, RotateRight45, MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), DoNothing, MoveForward (ignored), DoNothing, DoNothing, DoNothing, killed, killed, killed, DoNothing, killed, killed, DoNothing, MoveForward (ignored), DoNothing, killed, DoNothing, killed, DoNothing, MoveForward (ignored), killed, DoNothing, DoNothing, MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), RotateRight45, MoveForward (ignored), RotateRight45, RotateRight45, RotateRight45, killed, killed, killed, RotateRight45, killed, killed, RotateRight45, MoveForward (ignored), RotateRight45, killed, RotateRight45, killed, RotateRight45, MoveForward (ignored), killed, RotateRight45, RotateRight45, MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), DoNothing, MoveForward (ignored), DoNothing, DoNothing, DoNothing, killed, killed, killed, DoNothing, killed, killed, DoNothing, MoveForward (ignored), DoNothing, killed, DoNothing, killed, DoNothing, MoveForward (ignored), killed, DoNothing, DoNothing, MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), RotateRight45, MoveForward (ignored), RotateRight45, RotateRight45, RotateRight45, killed, killed, killed, RotateRight45, killed, killed, RotateRight45, MoveForward (ignored), RotateRight45, killed, RotateRight45, killed, RotateRight45, MoveForward (ignored), killed, RotateRight45, RotateRight45, MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), DoNothing, MoveForward (ignored), DoNothing, DoNothing, DoNothing, killed, killed, killed, DoNothing, killed, killed, DoNothing, MoveForward (ignored), DoNothing, killed, DoNothing, killed, DoNothing, MoveForward (ignored), killed, DoNothing, DoNothing, MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), RotateRight45, MoveForward (ignored), RotateRight45, RotateRight45, RotateRight45, killed, killed, killed, RotateRight45, killed, killed, RotateRight45, MoveForward (ignored), RotateRight45, killed, RotateRight45, killed, RotateRight45, MoveForward (ignored), killed, RotateRight45, RotateRight45, MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), DoNothing, MoveForward (ignored), DoNothing, DoNothing, DoNothing, killed, killed, killed, DoNothing, killed, killed, DoNothing, MoveForward (ignored), DoNothing, killed, DoNothing, killed, DoNothing, MoveForward (ignored), killed, DoNothing, DoNothing, MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), RotateRight45, MoveForward (ignored), RotateRight45, RotateRight45, RotateRight45, killed, killed, killed, RotateRight45, killed, killed, RotateRight45, MoveForward (ignored), RotateRight45, killed, RotateRight45, killed, RotateRight45, MoveForward (ignored), killed, RotateRight45, RotateRight45, MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), DoNothing, MoveForward (ignored), DoNothing, DoNothing, DoNothing, killed, killed, killed, DoNothing, killed, killed, DoNothing, MoveForward (ignored), DoNothing, killed, DoNothing, killed, DoNothing, MoveForward (ignored), killed, DoNothing, DoNothing, MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), RotateRight45, MoveForward (ignored), RotateRight45, RotateRight45, RotateRight45, killed, killed, killed, RotateRight45, killed, killed, RotateRight45, MoveForward (ignored), RotateRight45, killed, RotateRight45, killed, RotateRight45, MoveForward (ignored), killed, RotateRight45, RotateRight45, MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), DoNothing, MoveForward (ignored), DoNothing, DoNothing, DoNothing, killed, killed, killed, DoNothing, killed, killed, DoNothing, MoveForward (ignored), DoNothing, killed, DoNothing, killed, DoNothing, MoveForward (ignored), killed, DoNothing, DoNothing, MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), RotateRight45, MoveForward (ignored), RotateRight45, RotateRight45, RotateRight45, killed, killed, killed, RotateRight45, killed, killed, RotateRight45, MoveForward (ignored), RotateRight45, killed, RotateRight45, killed, RotateRight45, MoveForward (ignored), killed, RotateRight45, RotateRight45, MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), DoNothing, MoveForward (ignored), DoNothing, DoNothing, DoNothing, killed, killed, killed, DoNothing, killed, killed, DoNothing, MoveForward (ignored), DoNothing, killed, DoNothing, killed, DoNothing, MoveForward (ignored), killed, DoNothing, DoNothing, MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), RotateRight45, MoveForward (ignored), RotateRight45, RotateRight45, RotateRight45, killed, killed, killed, RotateRight45, killed, killed, RotateRight45, MoveForward (ignored), RotateRight45, killed, RotateRight45, killed, RotateRight45, MoveForward (ignored), killed, RotateRight45, RotateRight45, MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), DoNothing, MoveForward (ignored), DoNothing, DoNothing, DoNothing, killed, killed, killed, DoNothing, killed, killed, DoNothing, MoveForward (ignored), DoNothing, killed, DoNothing, killed, DoNothing, MoveForward (ignored), killed, DoNothing, DoNothing, MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), RotateRight45, MoveForward (ignored), RotateRight45, RotateRight45, RotateRight45, killed, killed, killed, RotateRight45, killed, killed, RotateRight45, MoveForward (ignored), RotateRight45, killed, RotateRight45, killed, RotateRight45, MoveForward (ignored), killed, RotateRight45, RotateRight45, MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), DoNothing, MoveForward (ignored), DoNothing, DoNothing, DoNothing, killed, killed, killed, DoNothing, killed, killed, DoNothing, MoveForward (ignored), DoNothing, killed, DoNothing, killed, DoNothing, MoveForward (ignored), killed, DoNothing, DoNothing, MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), RotateRight45, MoveForward (ignored), RotateRight45, RotateRight45, RotateRight45, killed, killed, killed, RotateRight45, killed, killed, RotateRight45, MoveForward (ignored), RotateRight45, killed, RotateRight45, killed, RotateRight45, MoveForward (ignored), killed, RotateRight45, RotateRight45, MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), DoNothing, MoveForward (ignored), DoNothing, DoNothing, DoNothing, killed, killed, killed, DoNothing, killed, killed, DoNothing, MoveForward (ignored), DoNothing, killed, DoNothing, killed, DoNothing, MoveForward (ignored), killed, DoNothing, DoNothing, MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), RotateRight45, MoveForward (ignored), RotateRight45, RotateRight45, RotateRight45, killed, killed, killed, RotateRight45, killed, killed, RotateRight45, MoveForward (ignored), RotateRight45, killed, RotateRight45, killed, RotateRight45, MoveForward (ignored), killed, RotateRight45, RotateRight45, MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), DoNothing, MoveForward (ignored), DoNothing, DoNothing, DoNothing, killed, killed, killed, DoNothing, killed, killed, DoNothing, MoveForward (ignored), DoNothing, killed, DoNothing, killed, DoNothing, MoveForward (ignored), killed, DoNothing, DoNothing, MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), RotateRight45, MoveForward (ignored), RotateRight45, RotateRight45, RotateRight45, killed, killed, killed, RotateRight45, killed, killed, RotateRight45, MoveForward (ignored), RotateRight45, killed, RotateRight45, killed, RotateRight45, MoveForward (ignored), killed, RotateRight45, RotateRight45, MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), DoNothing, MoveForward (ignored), DoNothing, DoNothing, DoNothing, killed, killed, killed, DoNothing, killed, killed, DoNothing, MoveForward (ignored), DoNothing, killed, DoNothing, killed, DoNothing, MoveForward (ignored), killed, DoNothing, DoNothing, MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), RotateRight45, MoveForward (ignored), RotateRight45, RotateRight45, RotateRight45, killed, killed, killed, RotateRight45, killed, killed, RotateRight45, MoveForward (ignored), RotateRight45, killed, RotateRight45, killed, RotateRight45, MoveForward (ignored), killed, RotateRight45, RotateRight45, MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), DoNothing, MoveForward (ignored), DoNothing, DoNothing, DoNothing, killed, killed, killed, DoNothing, killed, killed, DoNothing, MoveForward (ignored), DoNothing, killed, DoNothing, killed, DoNothing, MoveForward (ignored), killed, DoNothing, DoNothing, MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), RotateRight45, MoveForward (ignored), RotateRight45, RotateRight45, RotateRight45, killed, killed, killed, RotateRight45, killed, killed, RotateRight45, MoveForward (ignored), RotateRight45, killed, RotateRight45, killed, RotateRight45, MoveForward (ignored), killed, RotateRight45, RotateRight45, MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), DoNothing, MoveForward (ignored), DoNothing, DoNothing, DoNothing, killed, killed, killed, DoNothing, killed, killed, DoNothing, MoveForward (ignored), DoNothing, killed, DoNothing, killed, DoNothing, MoveForward (ignored), killed, DoNothing, DoNothing, MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), RotateRight45, MoveForward (ignored), RotateRight45, RotateRight45, RotateRight45, killed, killed, killed, RotateRight45, killed, killed, RotateRight45, MoveForward (ignored), RotateRight45, killed, RotateRight45, killed, RotateRight45, MoveForward (ignored), killed, RotateRight45, RotateRight45, MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), DoNothing, MoveForward (ignored), DoNothing, DoNothing, DoNothing, killed, killed, killed, DoNothing, killed, killed, DoNothing, MoveForward (ignored), DoNothing, killed, DoNothing, killed, DoNothing, MoveForward (ignored), killed, DoNothing, DoNothing, MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), RotateRight45, MoveForward (ignored), RotateRight45, RotateRight45, RotateRight45, killed, killed, killed, RotateRight45, killed, killed, RotateRight45, MoveForward (ignored), RotateRight45, killed, RotateRight45, killed, RotateRight45, MoveForward (ignored), killed, RotateRight45, RotateRight45, MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), DoNothing, MoveForward (ignored), DoNothing, DoNothing, DoNothing, killed, killed, killed, DoNothing, killed, killed, DoNothing, MoveForward (ignored), DoNothing, killed, DoNothing, killed, DoNothing, MoveForward (ignored), killed, DoNothing, DoNothing, MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), RotateRight45, MoveForward (ignored), RotateRight45, RotateRight45, RotateRight45, killed, killed, killed, RotateRight45, killed, killed, RotateRight45, MoveForward (ignored), RotateRight45, killed, RotateRight45, killed, RotateRight45, MoveForward (ignored), killed, RotateRight45, RotateRight45, MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), DoNothing, MoveForward (ignored), DoNothing, DoNothing, DoNothing, killed, killed, killed, DoNothing, killed, killed, DoNothing, MoveForward (ignored), DoNothing, killed, DoNothing, killed, DoNothing, MoveForward (ignored), killed, DoNothing, DoNothing, MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), RotateRight45, MoveForward (ignored), RotateRight45, RotateRight45, RotateRight45, killed, killed, killed, RotateRight45, killed, killed, RotateRight45, MoveForward (ignored), RotateRight45, killed, RotateRight45, killed, RotateRight45, MoveForward (ignored), killed, RotateRight45, RotateRight45, MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), DoNothing, MoveForward (ignored), DoNothing, DoNothing, DoNothing, killed, killed, killed, DoNothing, killed, killed, DoNothing, MoveForward (ignored), DoNothing, killed, DoNothing, killed, DoNothing, MoveForward (ignored), killed, DoNothing, DoNothing, MoveForward (ignored), MoveForward (ignored)
