MoveForward (ignored), RotateRight90, MoveForward, RotateRight90, RotateRight90, RotateRight90, MoveForward, MoveForward, MoveForward, RotateRight90, RotateRight90, MoveForward, RotateRight90, MoveForward, RotateRight90, MoveForward, RotateRight90, MoveForward, RotateRight90, MoveForward, RotateRight90, RotateRight90, RotateRight90, MoveForward, MoveForward
MoveForward (ignored), RotateLeft90, MoveForward, RotateLeft90, RotateLeft90, RotateLeft90, MoveForward, MoveForward, MoveForward, RotateLeft90, RotateLeft90, MoveForward, RotateLeft90, MoveForward (ignored), RotateLeft90, MoveForward, RotateLeft90, MoveForward, RotateLeft90, MoveForward, RotateLeft90, RotateLeft90, RotateLeft90, MoveForward, MoveForward
MoveForward (ignored), Shoot, MoveForward, Shoot, Shoot, Shoot, MoveForward, MoveForward, MoveForward (killed), Shoot, Shoot (killed), MoveForward, Shoot, MoveForward (ignored), Shoot, MoveForward, Shoot, MoveForward (killed), Shoot, MoveForward, Shoot (killed), Shoot, Shoot, MoveForward, MoveForward
MoveForward (ignored), RotateRight90, MoveForward, RotateRight90, RotateRight90, RotateRight90, MoveForward (ignored), MoveForward, killed, RotateRight90, killed, MoveForward, RotateRight90, MoveForward (ignored), RotateRight90 (killed), MoveForward, RotateRight90, killed, RotateRight90, MoveForward (ignored), killed, RotateRight90, RotateRight90, MoveForward, MoveForward
MoveForward (ignored), RotateLeft90, MoveForward, RotateLeft90, RotateLeft90, RotateLeft90, MoveForward (ignored), MoveForward, killed, RotateLeft90, killed, MoveForward, RotateLeft90, MoveForward (ignored), killed, MoveForward, RotateLeft90, killed, RotateLeft90, MoveForward (ignored), killed, RotateLeft90, RotateLeft90, MoveForward, MoveForward
MoveForward (ignored), Shoot (ignored), MoveForward, Shoot (ignored), Shoot (ignored), Shoot (ignored), MoveForward (ignored), MoveForward, killed, Shoot (ignored), killed, MoveForward, Shoot (ignored), MoveForward (ignored), killed, MoveForward, Shoot (ignored), killed, Shoot (ignored), MoveForward (ignored), killed, Shoot (ignored), Shoot (ignored), MoveForward, MoveForward
MoveForward (ignored), RotateRight90, MoveForward, RotateRight90, RotateRight90, RotateRight90, MoveForward (ignored), MoveForward, killed, RotateRight90, killed, MoveForward, RotateRight90, MoveForward (ignored), killed, MoveForward (killed), RotateRight90, killed, RotateRight90, MoveForward (ignored), killed, RotateRight90, RotateRight90, MoveForward, MoveForward
MoveForward (ignored), RotateLeft90, MoveForward (ignored), RotateLeft90, RotateLeft90, RotateLeft90, MoveForward (ignored), MoveForward, killed, RotateLeft90, killed, MoveForward (killed), RotateLeft90, MoveForward (ignored), killed, killed, RotateLeft90, killed, RotateLeft90, MoveForward (ignored), killed, RotateLeft90, RotateLeft90, MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), Shoot, MoveForward (ignored), Shoot, Shoot, Shoot, MoveForward (ignored), MoveForward, killed, Shoot, killed, killed, Shoot, MoveForward (ignored), killed, killed, Shoot, killed, Shoot, MoveForward (ignored), killed, Shoot, Shoot, MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), RotateRight90, MoveForward (ignored), RotateRight90, RotateRight90, RotateRight90, MoveForward (ignored), MoveForward, killed, RotateRight90, killed, killed, RotateRight90, MoveForward (ignored), killed, killed, RotateRight90, killed, RotateRight90, MoveForward (ignored), killed, RotateRight90, RotateRight90, MoveForward (ignored), MoveForward (ignored)
MoveForward (ignored), RotateLeft90, MoveForward (ignored), RotateLeft90, RotateLeft90, RotateLeft90, MoveForward (ignored) (killed), MoveForward (killed), killed, RotateLeft90, killed, killed, RotateLeft90, MoveForward (ignored), killed, killed, RotateLeft90, killed, RotateLeft90, MoveForward (ignored), killed, RotateLeft90, RotateLeft90, MoveForward (ignored), MoveForward (ignored)
