RotateRight90, GetBattleInfo, RotateRight90, GetBattleInfo, GetBattleInfo, GetBattleInfo, RotateRight90, RotateRight90, RotateRight90, GetBattleInfo, GetBattleInfo, RotateRight90, GetBattleInfo, RotateRight90, GetBattleInfo, RotateRight90, GetBattleInfo, RotateRight90, GetBattleInfo, RotateRight90, GetBattleInfo, GetBattleInfo, GetBattleInfo, RotateRight90, RotateRight90
RotateLeft90, RotateRight45, RotateLeft90, RotateLeft45, RotateLeft45, RotateLeft45, RotateLeft90, RotateLeft90, RotateLeft90, RotateLeft45, RotateLeft90, RotateLeft90, RotateLeft45, RotateLeft90, RotateLeft45, RotateLeft90, Shoot, RotateLeft90, RotateLeft90, RotateLeft90, RotateLeft90, RotateLeft90, Shoot, RotateLeft90, RotateLeft90
Shoot (killed), MoveForward, Shoot, MoveForward (killed), MoveForward, MoveForward, Shoot, Shoot, Shoot, MoveForward (ignored), RotateLeft45, Shoot, MoveForward (ignored), Shoot, MoveForward (killed), Shoot, RotateLeft45, Shoot, RotateLeft45, Shoot, RotateLeft45, RotateLeft45, RotateLeft90, Shoot, Shoot
killed, RotateRight90, RotateRight90, killed, RotateRight45, RotateLeft45, RotateRight90, RotateRight90, RotateRight90, MoveForward (ignored), MoveForward (killed), RotateRight90, MoveForward (ignored), RotateRight90, killed, RotateRight90, MoveForward, RotateRight90, MoveForward, RotateRight90, MoveForward (killed), MoveForward, MoveForward (ignored), RotateRight90, RotateRight90
killed, MoveForward, RotateLeft90, killed, RotateRight45, RotateLeft45, RotateLeft90, RotateLeft90, RotateLeft90, MoveForward (ignored), killed, RotateLeft90, MoveForward (ignored), RotateLeft90, killed, RotateLeft90, RotateLeft45, RotateLeft90, MoveForward, RotateLeft90, killed, MoveForward, RotateLeft45, RotateLeft90, RotateLeft90
killed, GetBattleInfo, Shoot (ignored), killed, MoveForward, MoveForward (ignored), Shoot (ignored), Shoot (ignored), Shoot (ignored), MoveForward (ignored), killed, Shoot (ignored), MoveForward (ignored), Shoot (ignored), killed, Shoot (ignored), RotateLeft45, Shoot (ignored), killed, Shoot (ignored), killed, RotateLeft90, MoveForward, Shoot (ignored), Shoot (ignored)
killed, RotateRight45, RotateRight90, killed, RotateLeft45, RotateRight45, killed, RotateRight90, RotateRight90, RotateLeft45, killed, RotateRight90, RotateLeft45, RotateRight90, killed, RotateRight90, MoveForward (ignored), RotateRight90, killed, RotateRight90, killed, MoveForward (ignored), MoveForward, RotateRight90, RotateRight90
killed, MoveForward, RotateLeft90, killed, GetBattleInfo, Shoot, killed, RotateLeft90, RotateLeft90, Shoot, killed, RotateLeft90, Shoot, RotateLeft90, killed, RotateLeft90, RotateLeft45, RotateLeft90, killed, RotateLeft90, killed, RotateRight45, MoveForward, RotateLeft90, RotateLeft90
killed, MoveForward, Shoot, killed, RotateRight45, GetBattleInfo, killed, Shoot, Shoot, MoveForward (ignored), killed, Shoot, MoveForward (ignored), Shoot, killed, Shoot, RotateLeft45, Shoot, killed, Shoot, killed, RotateRight45, RotateLeft45, Shoot, Shoot
killed, RotateLeft45, RotateRight90, killed, MoveForward, RotateLeft45, killed, RotateRight90, RotateRight90, GetBattleInfo, killed, RotateRight90, RotateLeft45, RotateRight90, killed, RotateRight90, MoveForward, RotateRight90, killed, RotateRight90, killed, MoveForward (ignored), MoveForward (killed), RotateRight90, RotateRight90
killed, GetBattleInfo, RotateLeft90, killed, RotateLeft45, MoveForward (ignored), killed, RotateLeft90, RotateLeft90, RotateLeft45, killed, RotateLeft90, RotateLeft45, RotateLeft90, killed, RotateLeft90, RotateRight45, RotateLeft90, killed, RotateLeft90, killed, RotateRight45, killed, RotateLeft90, RotateLeft90
