RotateRight90, GetBattleInfo, RotateRight90, GetBattleInfo, RotateRight90, GetBattleInfo, RotateRight90, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, RotateRight90, RotateRight90, GetBattleInfo, GetBattleInfo, RotateRight90, RotateRight90, RotateRight90, RotateRight90, GetBattleInfo, RotateRight90, GetBattleInfo, GetBattleInfo, RotateRight90, GetBattleInfo
RotateLeft90, RotateLeft45, RotateLeft90, GetBattleInfo, RotateLeft90, RotateRight90, RotateLeft90, RotateLeft45, RotateRight90, RotateRight90, RotateLeft90, RotateLeft90, RotateLeft90, RotateLeft90, RotateLeft90, RotateLeft90, RotateLeft90, RotateLeft90, RotateLeft90, RotateRight90, RotateLeft90, MoveForward, RotateLeft90, RotateLeft90, RotateRight90
Shoot, MoveForward, Shoot, RotateRight90, Shoot, GetBattleInfo, Shoot, MoveForward (ignored), RotateRight45, RotateRight45, RotateLeft45, Shoot, Shoot, RotateLeft45, Shoot, Shoot, Shoot, Shoot, Shoot, RotateRight45, Shoot, MoveForward, RotateLeft45, Shoot, RotateRight45
RotateRight90, RotateLeft45, RotateRight90, RotateRight45, RotateRight90, RotateRight45, RotateRight90, GetBattleInfo, killed, MoveForward, MoveForward, RotateRight90, RotateRight90, MoveForward, RotateLeft90, RotateRight90, RotateRight90, RotateRight90, RotateRight90, MoveForward, RotateRight90, RotateLeft45, MoveForward, RotateRight90, MoveForward
RotateLeft90, MoveForward, RotateLeft90, MoveForward, RotateLeft90, MoveForward, RotateLeft90, killed, killed, MoveForward, RotateRight90, RotateLeft90, RotateLeft90, RotateRight45, RotateRight90, RotateLeft90, RotateLeft90, RotateLeft90, RotateLeft90, RotateRight90, RotateLeft90, Shoot, RotateRight45, RotateLeft90, RotateRight45
Shoot (ignored), RotateLeft45, Shoot (ignored), RotateLeft45, Shoot (ignored), MoveForward, Shoot (ignored), killed, killed, GetBattleInfo, Shoot, Shoot (ignored), Shoot (ignored), MoveForward, GetBattleInfo, Shoot (ignored), Shoot (ignored), Shoot (ignored), Shoot (ignored), Shoot, Shoot (ignored), MoveForward (ignored), MoveForward, Shoot (ignored), Shoot
RotateRight90, Shoot, RotateRight90, MoveForward, RotateRight90, MoveForward, RotateRight90, killed, killed, RotateRight90, GetBattleInfo, RotateRight90, RotateRight90, MoveForward, RotateRight45, killed, RotateRight90, RotateRight90, RotateRight90, MoveForward, RotateRight90, RotateLeft90, RotateRight45, RotateRight90, RotateLeft45
RotateLeft90, RotateLeft45, RotateLeft90, RotateRight45, RotateLeft90, RotateLeft45, RotateLeft90, killed, killed, RotateRight45, RotateRight90, RotateLeft90, RotateLeft90, GetBattleInfo, Shoot, killed, RotateLeft90, RotateLeft90, RotateLeft90, RotateLeft45, RotateLeft90 (killed), RotateRight90, Shoot, RotateLeft90, MoveForward
Shoot, RotateRight45, Shoot, Shoot (killed), Shoot, MoveForward (ignored), Shoot, killed, killed, MoveForward (ignored), RotateRight90, Shoot, Shoot, RotateRight45, GetBattleInfo, killed, Shoot, Shoot, Shoot, RotateRight45, killed, GetBattleInfo, RotateLeft45, Shoot, RotateRight90
RotateRight90, GetBattleInfo, RotateRight90, killed, RotateRight90, MoveForward (ignored), RotateRight90, killed, killed, MoveForward (ignored), MoveForward, RotateRight90, RotateRight90, Shoot, RotateRight90, killed, RotateRight90, RotateRight90, RotateRight90, GetBattleInfo, killed, Shoot, RotateRight45, RotateRight90, RotateRight90
RotateLeft90, RotateRight45, killed, killed, RotateLeft90, RotateRight45, killed, killed, killed, RotateRight45, MoveForward, RotateLeft90, RotateLeft90, RotateLeft45, GetBattleInfo, killed, RotateLeft90, RotateLeft90, RotateLeft90, MoveForward (ignored), killed, GetBattleInfo, GetBattleInfo, RotateLeft90, MoveForward
