RotateRight90, MoveForward, RotateRight90, MoveForward (ignored), MoveForward, MoveForward, RotateRight90, RotateRight90, RotateRight90, MoveForward, MoveForward, RotateRight90, MoveForward, RotateRight90, MoveForward, RotateRight90, MoveForward, RotateRight90, MoveForward, RotateRight90, MoveForward, MoveForward, MoveForward, RotateRight90, RotateRight90
RotateLeft90, MoveForward, RotateLeft90, MoveForward (ignored), MoveForward, MoveForward, RotateLeft90, RotateLeft90, RotateLeft90, MoveForward, MoveForward, RotateLeft90, MoveForward, RotateLeft90, MoveForward, RotateLeft90, MoveForward, RotateLeft90, MoveForward, RotateLeft90, MoveForward, MoveForward, MoveForward, RotateLeft90, RotateLeft90
Shoot, MoveForward, Shoot, MoveForward (ignored), MoveForward, MoveForward, Shoot, Shoot, Shoot (killed), MoveForward, MoveForward (killed), Shoot, MoveForward, Shoot, MoveForward, Shoot, MoveForward, Shoot (killed), MoveForward, Shoot, MoveForward (killed), MoveForward, MoveForward, Shoot, Shoot
RotateRight90, MoveForward, RotateRight90, MoveForward (ignored), MoveForward, MoveForward, RotateRight90, RotateRight90, killed, MoveForward, killed, RotateRight90, MoveForward, RotateRight90, MoveForward, RotateRight90, MoveForward, killed, MoveForward, RotateRight90, killed, MoveForward, MoveForward (ignored), RotateRight90, RotateRight90
RotateLeft90, MoveForward, RotateLeft90, MoveForward (ignored), MoveForward, MoveForward, RotateLeft90, RotateLeft90, killed, MoveForward, killed, RotateLeft90, MoveForward, RotateLeft90, MoveForward, RotateLeft90, MoveForward, killed, MoveForward, RotateLeft90, killed, MoveForward, MoveForward (ignored), RotateLeft90, RotateLeft90
Shoot (ignored), MoveForward, Shoot (ignored), MoveForward (ignored), MoveForward, MoveForward, Shoot (ignored), Shoot (ignored), killed, MoveForward, killed, Shoot (ignored), MoveForward, Shoot (ignored), MoveForward, Shoot (ignored), MoveForward, killed, MoveForward, Shoot (ignored), killed, MoveForward, MoveForward (ignored), Shoot (ignored), Shoot (ignored)
RotateRight90, MoveForward, RotateRight90, MoveForward (ignored), MoveForward, MoveForward, killed, RotateRight90, killed, MoveForward, killed, RotateRight90, MoveForward, RotateRight90, MoveForward (killed), RotateRight90, MoveForward, killed, MoveForward, RotateRight90, killed, MoveForward, MoveForward (ignored), RotateRight90, RotateRight90
RotateLeft90, MoveForward (ignored), RotateLeft90, MoveForward (ignored), MoveForward, MoveForward (ignored), killed, RotateLeft90, killed, MoveForward (killed), killed, RotateLeft90, MoveForward (killed), RotateLeft90, killed, RotateLeft90, MoveForward, killed, MoveForward (ignored), RotateLeft90 (killed), killed, MoveForward (ignored), MoveForward (ignored), RotateLeft90, RotateLeft90
Shoot, MoveForward (ignored), Shoot, MoveForward (ignored), MoveForward, MoveForward (ignored), killed, Shoot, killed, killed, killed, Shoot, killed, Shoot, killed, Shoot, MoveForward, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), MoveForward (ignored), Shoot, Shoot
RotateRight90, MoveForward (ignored), RotateRight90, MoveForward (ignored), MoveForward, MoveForward (ignored), killed, RotateRight90, killed, killed, killed, RotateRight90, killed, RotateRight90, killed, RotateRight90, MoveForward, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), MoveForward (ignored), RotateRight90, RotateRight90
RotateLeft90, MoveForward (ignored), RotateLeft90, MoveForward (ignored), MoveForward, MoveForward (ignored), killed, RotateLeft90, killed, killed, killed, RotateLeft90, killed, RotateLeft90, killed, RotateLeft90, MoveForward (killed), killed, MoveForward (ignored), killed, killed, MoveForward (ignored), MoveForward (ignored), RotateLeft90, RotateLeft90
Shoot (ignored), MoveForward (ignored), Shoot (ignored), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, Shoot (ignored), killed, killed, killed, Shoot (ignored), killed, Shoot (ignored), killed, Shoot (ignored), killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), MoveForward (ignored), Shoot (ignored), Shoot (ignored)
RotateRight90, MoveForward, RotateRight90, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, RotateRight90, killed, killed, killed, RotateRight90, killed, RotateRight90, killed, RotateRight90, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), MoveForward (ignored), RotateRight90, RotateRight90
RotateLeft90, MoveForward, RotateLeft90, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, RotateLeft90, killed, killed, killed, RotateLeft90, killed, RotateLeft90, killed, RotateLeft90, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), MoveForward (ignored), RotateLeft90, RotateLeft90
Shoot, MoveForward, Shoot, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, Shoot, killed, killed, killed, Shoot, killed, Shoot, killed, Shoot, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), MoveForward (ignored), Shoot, Shoot
RotateRight90, MoveForward, RotateRight90, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, RotateRight90, killed, killed, killed, RotateRight90, killed, RotateRight90, killed, RotateRight90, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), MoveForward (ignored), RotateRight90, RotateRight90
RotateLeft90, MoveForward (killed), RotateLeft90 (killed), MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, RotateLeft90, killed, killed, killed, RotateLeft90, killed, RotateLeft90, killed, RotateLeft90, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), MoveForward (ignored), RotateLeft90, RotateLeft90
Shoot (ignored), killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, Shoot (ignored), killed, killed, killed, Shoot (ignored), killed, Shoot (ignored), killed, Shoot (ignored), killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), MoveForward (ignored), Shoot (ignored), Shoot (ignored)
RotateRight90, killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, RotateRight90, killed, killed, killed, RotateRight90, killed, RotateRight90, killed, RotateRight90, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), MoveForward (ignored), RotateRight90, RotateRight90
RotateLeft90, killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, RotateLeft90, killed, killed, killed, RotateLeft90 (killed), killed, RotateLeft90, killed, RotateLeft90, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), MoveForward (ignored), RotateLeft90, RotateLeft90
Shoot, killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, Shoot, killed, killed, killed, killed, killed, Shoot, killed, Shoot, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), MoveForward (ignored), Shoot, Shoot
RotateRight90, killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, RotateRight90, killed, killed, killed, killed, killed, RotateRight90, killed, RotateRight90, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), MoveForward (ignored), RotateRight90, RotateRight90
RotateLeft90, killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, RotateLeft90, killed, killed, killed, killed, killed, RotateLeft90, killed, RotateLeft90, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), MoveForward (ignored), killed, RotateLeft90
Shoot (ignored), killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, Shoot (ignored), killed, killed, killed, killed, killed, Shoot (ignored), killed, Shoot (ignored), killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), MoveForward (ignored), killed, Shoot (ignored)
RotateRight90, killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, RotateRight90, killed, killed, killed, killed, killed, RotateRight90, killed, RotateRight90, killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), MoveForward (ignored), killed, RotateRight90
RotateLeft90, killed, killed, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), killed, RotateLeft90, killed, killed, killed, killed, killed, RotateLeft90, killed, RotateLeft90 (killed), killed, killed, MoveForward (ignored), killed, killed, MoveForward (ignored), MoveForward (ignored), killed, RotateLeft90
