GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo
RotateLeft45, MoveForward, RotateLeft90, GetBattleInfo, RotateLeft90, MoveForward, RotateLeft90, RotateLeft90, RotateRight45, RotateRight90, RotateLeft45, RotateRight90, RotateRight45, MoveForward, RotateLeft90, RotateLeft90, RotateLeft45, RotateLeft90, RotateLeft45, RotateLeft90, RotateRight90, RotateLeft90
RotateLeft90, MoveForward, Shoot, RotateLeft90 (killed), RotateLeft90, RotateLeft90, GetBattleInfo, MoveForward, MoveForward, RotateRight90, MoveForward, Shoot, MoveForward, MoveForward, MoveForward, MoveForward (killed), MoveForward (killed), MoveForward, MoveForward, Shoot (killed), Shoot, Shoot (killed)
GetBattleInfo, MoveForward, GetBattleInfo, killed, GetBattleInfo, GetBattleInfo, RotateLeft45, GetBattleInfo, GetBattleInfo, MoveForward, GetBattleInfo, RotateRight45, GetBattleInfo, RotateRight45, MoveForward, killed, killed, GetBattleInfo, RotateLeft45, killed, GetBattleInfo, killed
MoveForward, MoveForward, MoveForward, killed, MoveForward, Shoot (killed), MoveForward, Shoot (killed), RotateRight90, GetBattleInfo, RotateLeft90, MoveForward, RotateRight45, Shoot, RotateRight45, killed, killed, RotateRight90, MoveForward, killed, DoNothing, killed
MoveForward, RotateRight45, RotateRight90, killed, RotateRight45, killed, RotateLeft45, killed, MoveForward, RotateLeft45, MoveForward, GetBattleInfo, MoveForward, RotateLeft45, MoveForward, killed, killed, MoveForward, RotateRight45, killed, DoNothing, killed
GetBattleInfo, MoveForward, GetBattleInfo, killed, GetBattleInfo, killed, MoveForward, killed, GetBattleInfo, MoveForward, GetBattleInfo, RotateRight45, GetBattleInfo, GetBattleInfo, RotateLeft90, killed, killed, GetBattleInfo, MoveForward, killed, GetBattleInfo, killed
RotateRight45, RotateLeft90, MoveForward, killed, Shoot, killed, RotateRight45, killed, Shoot, MoveForward, RotateLeft90, GetBattleInfo, RotateRight45, RotateLeft90, GetBattleInfo, killed, killed, RotateRight45, MoveForward, killed, RotateLeft45, killed
MoveForward, MoveForward, MoveForward, killed, DoNothing, killed, Shoot, killed, DoNothing, MoveForward, Shoot (killed), Shoot, MoveForward, GetBattleInfo, RotateLeft90 (killed), killed, killed, MoveForward, MoveForward (killed), killed, MoveForward, killed
GetBattleInfo, RotateRight45, GetBattleInfo, killed, GetBattleInfo, killed, RotateLeft90, killed, GetBattleInfo, GetBattleInfo, killed, GetBattleInfo, GetBattleInfo, MoveForward, killed, killed, killed, GetBattleInfo, killed, killed, GetBattleInfo, killed
MoveForward, Shoot, RotateRight45, killed, RotateRight45, killed, RotateRight90, killed, RotateLeft45, GetBattleInfo, killed, RotateLeft90, RotateRight45, GetBattleInfo, killed, killed, killed, RotateRight45, killed, killed, RotateRight45, killed
MoveForward, GetBattleInfo, RotateRight90, killed, DoNothing, killed, GetBattleInfo, killed, DoNothing, RotateLeft45, killed, GetBattleInfo, RotateRight90, MoveForward, killed, killed, killed, Shoot, killed, killed, Shoot, killed
GetBattleInfo, RotateRight90, GetBattleInfo, killed, GetBattleInfo, killed, RotateRight45, killed, GetBattleInfo, GetBattleInfo (killed), killed, RotateLeft45 (killed), GetBattleInfo, GetBattleInfo, killed, killed, killed, GetBattleInfo, killed, killed, GetBattleInfo, killed
RotateLeft45, GetBattleInfo (killed), Shoot, killed, Shoot (killed), killed, Shoot (killed), killed, Shoot, killed, killed, killed, MoveForward, RotateLeft45, killed, killed, killed, DoNothing, killed, killed, DoNothing, killed
Shoot, killed, DoNothing, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed, RotateLeft45, MoveForward, killed, killed, killed, DoNothing, killed, killed, DoNothing, killed
GetBattleInfo, killed, GetBattleInfo, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, GetBattleInfo, MoveForward, killed, killed, killed, GetBattleInfo, killed, killed, GetBattleInfo, killed
RotateLeft45, killed, RotateLeft45, killed, killed, killed, killed, killed, RotateLeft45, killed, killed, killed, RotateRight90, MoveForward, killed, killed, killed, RotateLeft45, killed, killed, RotateLeft45, killed
RotateLeft45, killed, RotateLeft45, killed, killed, killed, killed, killed, RotateLeft90, killed, killed, killed, MoveForward, GetBattleInfo, killed, killed, killed, RotateLeft45, killed, killed, RotateLeft45, killed
GetBattleInfo, killed, GetBattleInfo, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, GetBattleInfo, GetBattleInfo, killed, killed, killed, GetBattleInfo, killed, killed, GetBattleInfo, killed
RotateLeft45, killed, RotateLeft45, killed, killed, killed, killed, killed, MoveForward (killed), killed, killed, killed, MoveForward, MoveForward (killed), killed, killed, killed, RotateLeft45, killed, killed, RotateLeft45, killed
Player 1 won with 5 tanks still alive
