GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo
RotateLeft45, MoveForward, RotateLeft90, GetBattleInfo, RotateLeft90, MoveForward, RotateLeft90, RotateLeft90, RotateRight45, RotateRight90, RotateLeft45, RotateRight90, RotateRight45, MoveForward, RotateLeft90, RotateLeft90, RotateLeft45, RotateLeft90, RotateLeft45, RotateLeft90, RotateRight90, RotateLeft90
RotateLeft90, MoveForward, Shoot, RotateLeft90 (killed), RotateLeft90, RotateLeft90, GetBattleInfo, MoveForward, MoveForward, RotateRight90, MoveForward, Shoot, MoveForward, MoveForward, MoveForward, MoveForward (killed), MoveForward (killed), MoveForward, MoveForward, Shoot, Shoot, Shoot
GetBattleInfo, MoveForward, GetBattleInfo, killed, GetBattleInfo, GetBattleInfo, RotateLeft45, GetBattleInfo, GetBattleInfo, MoveForward, GetBattleInfo, RotateRight45, GetBattleInfo, RotateRight45, MoveForward, killed, killed, GetBattleInfo, RotateLeft45, GetBattleInfo, GetBattleInfo, RotateLeft90
MoveForward, MoveForward, MoveForward, killed, MoveForward, Shoot, MoveForward, Shoot, RotateRight90, GetBattleInfo, RotateLeft90, MoveForward, RotateRight45, Shoot, RotateRight45, killed, killed, RotateLeft45, MoveForward, DoNothing, DoNothing, RotateRight90
MoveForward, RotateRight45, RotateRight90, killed, RotateRight45, DoNothing, RotateLeft45, RotateRight45, MoveForward, RotateLeft45, MoveForward, GetBattleInfo, MoveForward, RotateLeft45, MoveForward, killed, killed, Shoot, RotateRight45, DoNothing, DoNothing, GetBattleInfo (killed)
GetBattleInfo, MoveForward, GetBattleInfo, killed, GetBattleInfo, GetBattleInfo, MoveForward, RotateLeft45, GetBattleInfo, MoveForward, GetBattleInfo, RotateRight45, GetBattleInfo, GetBattleInfo, RotateLeft90, killed, killed, GetBattleInfo, MoveForward, GetBattleInfo, GetBattleInfo, killed
RotateRight45, RotateLeft90, MoveForward, killed, Shoot, DoNothing, RotateRight45, GetBattleInfo, Shoot, MoveForward, RotateLeft90, MoveForward, RotateRight45, RotateLeft90, GetBattleInfo, killed, killed, RotateRight45, MoveForward, RotateRight45, RotateLeft45, killed
MoveForward, MoveForward, MoveForward, killed, DoNothing, DoNothing, Shoot, GetBattleInfo, DoNothing, MoveForward, Shoot (killed), RotateRight45, MoveForward, GetBattleInfo, RotateLeft90 (killed), killed, killed, RotateRight90, MoveForward (killed), MoveForward, MoveForward, killed
GetBattleInfo, RotateRight45, GetBattleInfo, killed, GetBattleInfo, GetBattleInfo (killed), RotateLeft90, Shoot, GetBattleInfo, MoveForward, killed, MoveForward, GetBattleInfo, MoveForward, killed, killed, killed, GetBattleInfo, killed, GetBattleInfo, GetBattleInfo, killed
RotateRight45, Shoot, RotateRight45, killed, RotateRight45, killed, RotateRight90, GetBattleInfo, RotateLeft45, GetBattleInfo, killed, MoveForward, RotateRight45, RotateRight45, killed, killed, killed, MoveForward, killed, RotateRight45, RotateRight45, killed
Shoot, GetBattleInfo, RotateRight90, killed, DoNothing, killed, GetBattleInfo, RotateRight45, DoNothing, RotateRight90, killed, GetBattleInfo, RotateRight90, GetBattleInfo, killed, killed, killed, MoveForward, killed, MoveForward, MoveForward, killed
GetBattleInfo, RotateRight90, GetBattleInfo, killed, GetBattleInfo, killed, RotateRight45, GetBattleInfo (killed), GetBattleInfo, RotateRight45, killed, RotateRight45, GetBattleInfo, RotateLeft45, killed, killed, killed, GetBattleInfo, killed, GetBattleInfo, GetBattleInfo, killed
DoNothing, RotateRight45 (killed), Shoot, killed, Shoot, killed, Shoot (killed), killed, Shoot, GetBattleInfo, killed, MoveForward, RotateLeft45, MoveForward, killed, killed, killed, RotateRight45, killed, RotateRight90, MoveForward, killed
DoNothing, killed, DoNothing, killed, DoNothing, killed, killed, killed, DoNothing, MoveForward, killed, RotateLeft45, MoveForward, RotateLeft45, killed, killed, killed, MoveForward, killed, MoveForward, MoveForward, killed
GetBattleInfo, killed, GetBattleInfo, killed, GetBattleInfo, killed, killed, killed, GetBattleInfo, GetBattleInfo, killed, MoveForward, GetBattleInfo, MoveForward, killed, killed, killed, GetBattleInfo, killed, GetBattleInfo, GetBattleInfo, killed
MoveForward, killed, RotateLeft45, killed, RotateRight45, killed, killed, killed, RotateLeft45, Shoot, killed, GetBattleInfo, RotateRight45, MoveForward, killed, killed, killed, RotateRight45, killed, RotateLeft45, MoveForward, killed
RotateLeft90, killed, RotateLeft45, killed, MoveForward, killed, killed, killed, RotateLeft90, MoveForward, killed, MoveForward, Shoot (killed), GetBattleInfo, killed, killed, killed, Shoot, killed, MoveForward, MoveForward, killed
GetBattleInfo, killed, GetBattleInfo, killed, GetBattleInfo, killed, killed, killed, GetBattleInfo, GetBattleInfo, killed, RotateRight45, killed, MoveForward, killed, killed, killed, GetBattleInfo, killed, GetBattleInfo, GetBattleInfo, killed
Shoot, killed, RotateLeft45, killed, MoveForward, killed, killed, killed, MoveForward (killed), RotateLeft90 (killed), killed, GetBattleInfo (killed), killed, MoveForward (killed), killed, killed, killed, DoNothing, killed, MoveForward, RotateLeft45, killed
Player 1 won with 6 tanks still alive
