GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo
RotateRight90, RotateLeft45, RotateLeft90, GetBattleInfo, RotateLeft90, RotateLeft90, RotateLeft90, RotateLeft45, RotateRight90, MoveForward, MoveForward, RotateRight45, RotateRight90, RotateLeft90, RotateLeft90, RotateRight45, RotateLeft45, RotateLeft90, RotateRight45, RotateLeft45, RotateLeft90, RotateRight45, MoveForward, RotateRight45, RotateRight45, RotateLeft45
RotateRight45, Shoot, RotateLeft45, RotateRight45, Shoot, GetBattleInfo (killed), RotateLeft90, MoveForward, RotateRight90, RotateLeft45, RotateRight90, MoveForward, RotateRight90, RotateLeft90, MoveForward, RotateRight90, Shoot, RotateLeft45, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward (killed), RotateRight90, MoveForward (killed), MoveForward
MoveForward, GetBattleInfo, GetBattleInfo, MoveForward, GetBattleInfo, killed, GetBattleInfo, GetBattleInfo, MoveForward, GetBattleInfo, GetBattleInfo, MoveForward, MoveForward, GetBattleInfo, RotateRight45, GetBattleInfo, GetBattleInfo, MoveForward, MoveForward, GetBattleInfo, MoveForward, GetBattleInfo, killed, GetBattleInfo, killed, RotateLeft90
RotateRight45, RotateRight45, MoveForward (killed), MoveForward, MoveForward, killed, MoveForward, MoveForward (killed), GetBattleInfo, RotateLeft90, RotateRight45, RotateRight90, MoveForward, MoveForward (killed), MoveForward, MoveForward, RotateLeft90, MoveForward (killed), RotateRight45, RotateLeft45, RotateRight45, RotateLeft45, killed, MoveForward, killed, MoveForward
Shoot, MoveForward, killed, RotateRight90, MoveForward, killed, MoveForward, killed, MoveForward, MoveForward (killed), MoveForward, GetBattleInfo, MoveForward, killed, RotateLeft90, RotateRight45, RotateLeft90, killed, MoveForward (killed), MoveForward (killed), MoveForward, Shoot, killed, RotateLeft90 (killed), killed, RotateRight45 (killed)
RotateLeft45, GetBattleInfo, killed, MoveForward, GetBattleInfo, killed, GetBattleInfo, killed, RotateRight45, killed, GetBattleInfo, Shoot, GetBattleInfo, killed, Shoot, GetBattleInfo, GetBattleInfo, killed, killed, killed, RotateLeft90, GetBattleInfo, killed, killed, killed, killed
MoveForward, RotateLeft90, killed, MoveForward, RotateRight45, killed, MoveForward, killed, MoveForward, killed, RotateRight90, MoveForward, GetBattleInfo (killed), killed, GetBattleInfo, Shoot, GetBattleInfo (killed), killed, killed, killed, Shoot, RotateLeft90, killed, killed, killed, killed
RotateRight45, MoveForward, killed, RotateLeft45, MoveForward, killed, RotateRight90, killed, RotateLeft45, killed, MoveForward, RotateLeft90, killed, killed, GetBattleInfo, GetBattleInfo, killed, killed, killed, killed, RotateLeft90, RotateLeft45, killed, killed, killed, killed
MoveForward, GetBattleInfo, killed, Shoot, GetBattleInfo, killed, GetBattleInfo, killed, MoveForward, killed, GetBattleInfo, GetBattleInfo, killed, killed, RotateRight45, MoveForward, killed, killed, killed, killed, RotateRight90, GetBattleInfo, killed, killed, killed, killed
RotateRight45, RotateRight45, killed, RotateLeft45, MoveForward, killed, RotateRight45, killed, RotateRight45, killed, RotateRight45 (killed), RotateRight90, killed, killed, MoveForward (killed), MoveForward, killed, killed, killed, killed, GetBattleInfo, MoveForward, killed, killed, killed, killed
