GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo
RotateLeft45, RotateRight90, GetBattleInfo, GetBattleInfo, RotateLeft45, RotateRight90, RotateLeft45, RotateLeft45, Shoot, RotateRight90, Shoot, Shoot, Shoot, RotateLeft90, Shoot, Shoot, RotateLeft90, Shoot, MoveForward, RotateLeft45, Shoot, RotateRight90, RotateLeft45, RotateRight90, RotateRight90
Shoot, RotateRight45, RotateRight90, RotateLeft45 (killed), GetBattleInfo, RotateRight45, GetBattleInfo, MoveForward, RotateRight45, RotateRight45, RotateLeft90, RotateLeft45, RotateLeft90, Shoot, RotateRight90, RotateLeft45, Shoot, RotateRight45, MoveForward, MoveForward, MoveForward, RotateRight45, MoveForward, RotateRight45, Shoot
RotateLeft90, MoveForward, RotateRight45, killed, MoveForward, GetBattleInfo, MoveForward, GetBattleInfo, MoveForward, MoveForward, RotateLeft45, MoveForward, RotateLeft45, RotateLeft90, RotateRight45, MoveForward, RotateLeft90, MoveForward, RotateLeft45, MoveForward, RotateLeft45, MoveForward, RotateLeft45, MoveForward, RotateRight45
RotateRight90, MoveForward, MoveForward, killed, MoveForward, MoveForward (killed), MoveForward, RotateLeft90 (killed), GetBattleInfo (killed), GetBattleInfo, MoveForward (killed), RotateLeft90, MoveForward, RotateRight90, MoveForward (killed), MoveForward (killed), RotateRight90, RotateRight90 (killed), Shoot, RotateRight45, MoveForward (killed), RotateRight45, MoveForward, RotateRight45, MoveForward
GetBattleInfo, MoveForward, MoveForward, killed, MoveForward (killed), killed, MoveForward, killed, killed, MoveForward, killed, GetBattleInfo, RotateRight45, GetBattleInfo, killed, killed, GetBattleInfo, killed, MoveForward, Shoot, killed, Shoot (killed), RotateLeft45, Shoot, RotateRight45
RotateRight90, RotateLeft45, RotateLeft45, killed, killed, killed, RotateRight90, killed, killed, MoveForward, killed, MoveForward, GetBattleInfo, GetBattleInfo, killed, killed, GetBattleInfo, killed, RotateLeft90, RotateLeft45, killed, killed, Shoot, MoveForward, MoveForward
RotateRight90, MoveForward, Shoot, killed, killed, killed, RotateRight45, killed, killed, MoveForward, killed, RotateLeft45, Shoot, Shoot, killed, killed, GetBattleInfo (killed), killed, RotateRight90, MoveForward, killed, killed, RotateLeft45, RotateLeft45, RotateRight45
GetBattleInfo, MoveForward, MoveForward, killed, killed, killed, MoveForward (killed), killed, killed, RotateRight45, killed, MoveForward, MoveForward, GetBattleInfo (killed), killed, killed, killed, killed, GetBattleInfo, RotateRight90, killed, killed, RotateRight45, MoveForward, Shoot
RotateRight90, RotateRight45, RotateLeft90, killed, killed, killed, killed, killed, killed, MoveForward, killed, GetBattleInfo, RotateLeft90, killed, killed, killed, killed, killed, RotateRight90, GetBattleInfo, killed, killed, GetBattleInfo, RotateRight90, RotateLeft90
MoveForward, MoveForward, RotateRight90, killed, killed, killed, killed, killed, killed, Shoot, killed, MoveForward, RotateRight90, killed, killed, killed, killed, killed, GetBattleInfo, RotateLeft90, killed, killed, RotateLeft45, GetBattleInfo, RotateRight90
GetBattleInfo, MoveForward, GetBattleInfo, killed, killed, killed, killed, killed, killed, MoveForward, killed, RotateRight45, GetBattleInfo, killed, killed, killed, killed, killed, MoveForward, MoveForward, killed, killed, GetBattleInfo, RotateRight90, GetBattleInfo
MoveForward, RotateLeft90, RotateRight90, killed, killed, killed, killed, killed, killed, RotateLeft45, killed, GetBattleInfo, GetBattleInfo, killed, killed, killed, killed, killed, GetBattleInfo, RotateLeft90, killed, killed, Shoot, RotateRight90, RotateLeft90
MoveForward, GetBattleInfo, Shoot, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, Shoot, GetBattleInfo, killed, killed, killed, killed, killed, GetBattleInfo, GetBattleInfo, killed, killed, GetBattleInfo, MoveForward, MoveForward
MoveForward, MoveForward, RotateLeft45, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, MoveForward, MoveForward, killed, killed, killed, killed, killed, RotateLeft45, MoveForward, killed, killed, MoveForward (killed), GetBattleInfo, RotateRight45 (killed)
GetBattleInfo, RotateLeft45, MoveForward, killed, killed, killed, killed, killed, killed, RotateLeft90, killed, MoveForward, RotateRight45, killed, killed, killed, killed, killed, MoveForward (killed), MoveForward, killed, killed, killed, RotateLeft45, killed
RotateLeft45, MoveForward, GetBattleInfo, killed, killed, killed, killed, killed, killed, RotateLeft45, killed, MoveForward, MoveForward, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, Shoot, killed
MoveForward, MoveForward, MoveForward, killed, killed, killed, killed, killed, killed, MoveForward, killed, RotateLeft90, MoveForward, killed, killed, killed, killed, killed, killed, MoveForward, killed, killed, killed, MoveForward, killed
